id,name,price,rating,review_count,brand,seller,url,kw,group,page,brand_detail,seller_detail,categories,short_description
20680352,Combo 5 bẫy diệt chuột thông minh,85000,4.5,56,OEM,,https://tiki.vn/combo-5-bay-diet-chuot-thong-minh-p20680352.html?spid=191344848,"dụng cụ diệt chuột, côn trùng",Dụng cụ & Thiết bị tiện ích,1,OEM,Smart Trading,Dụng cụ diệt côn trùng khác,Mô tả sản phẩm- Dụng cụ bẫy chuột thông minh (loại chốt tốt)- Tiện lợi dễ sử dụng Không cần mồi vẫn có thể bẫy chuột (Đặt bẫy ở những nơi chuột hay đi qua lại)- Hoặc sử dụng thức ăn ưa thích của c...
275352092,"Combo 2 Thuốc diệt chuột, Kẹo diệt chuột tiêu diệt cả đàn chuột hàng Thái Lan Tặng kèm Bẫy Chuột Thông Minh ",115000,5.0,3,ratoff-ars,,https://tiki.vn/combo-2-thuoc-diet-chuot-keo-diet-chuot-tieu-diet-ca-dan-chuot-hang-thai-lan-tang-kem-bay-chuot-thong-minh-p275352092.html?spid=275352093,"dụng cụ diệt chuột, côn trùng",Dụng cụ & Thiết bị tiện ích,1,ratoff-ars,Smart Trading,Dụng cụ diệt chuột,"Đây là thuốc diệt chuộc đa liều, Chuột ăn thuốc và chết sau 1 -3 ngày.Sau khi ăn thuốc, chuột không có biểu hiện gì, chúng và đồng loại vẫn tiếp tục ăn mà không đề phòng.Sau 1-3 ngày chúng sẽ chết. Vì..."
275263278,"Thuốc diệt chuột, Kẹo diệt chuột tiêu diệt cả đàn chuột hàng Thái Lan",75000,5.0,20,ratoff-ars,,https://tiki.vn/thuoc-diet-chuot-keo-diet-chuot-tieu-diet-ca-dan-chuot-hang-thai-lan-p275263278.html?spid=275263279,"dụng cụ diệt chuột, côn trùng",Dụng cụ & Thiết bị tiện ích,1,ratoff-ars,Smart Trading,Dụng cụ diệt côn trùng khác,"Đây là thuốc diệt chuộc đa liều, Chuột ăn thuốc và chết sau 1 -3 ngày.Sau khi ăn thuốc, chuột không có biểu hiện gì, chúng và đồng loại vẫn tiếp tục ăn mà không đề phòng.Sau 1-3 ngày chúng sẽ chết. Vì..."
273792609,"Máy Đuổi Chuột Thế Hệ Mới, Đèn Đuổi Muỗi Và Côn Trùng, Sử Dụng Sóng Siêu Âm, Xua Đuổi Côn Trùng",249000,3.7,17,Gubix,,https://tiki.vn/may-duoi-chuot-the-he-moi-den-duoi-muoi-va-con-trung-su-dung-song-sieu-am-xua-duoi-con-trung-p273792609.html?spid=273792610,"dụng cụ diệt chuột, côn trùng",Dụng cụ & Thiết bị tiện ích,1,Gubix,Gubix,Dụng cụ diệt côn trùng khác,"Máy Xua Đuổi Chuột, Đuổi Côn Trùng bằng sóng siêu âm, ,hiệu quả cao,không mùi,không độc,không gây hại cho sức khỏe,Bảo Hành Lên Đến 12 Tháng Tác dụng diệt côn trùng, an toàn cho sức khỏe :Đây là loạ..."
157345857,Bẫy Keo Dính Diệt Ruồi Và Các Côn Trùng Gây Hại,39500,4.0,1,Sanada Seiko,,https://tiki.vn/bay-keo-dinh-diet-ruoi-va-cac-con-trung-gay-hai-p157345857.html?spid=157345858,"dụng cụ diệt chuột, côn trùng",Dụng cụ & Thiết bị tiện ích,1,Sanada Seiko,Khải Minh Store,Dụng cụ diệt côn trùng khác,"BẪY KEO DÍNH DIỆT RUỒI VÀ CÁC CÔN TRÙNG GÂY HẠI  **KHẢI MINH STORE - HÀNG NỘI ĐỊA NHẬT CHÍNH HÃNG**- Cam kết 100% hàng chính hãng có nguồn gốc xuất xứ rõ ràng.- Giá cả tốt nhất thị trường, mẫu mã..."
243088589,"Dụng cụ đuổi chuột,gián,rắn côn trùng tự động năng lượng mặt trời hàng chất lượng cao",189000,5.0,1,OEM,,https://tiki.vn/dung-cu-duoi-chuot-gian-ran-con-trung-tu-dong-nang-luong-mat-troi-hang-chat-luong-cao-p243088589.html?spid=243088590,"dụng cụ diệt chuột, côn trùng",Dụng cụ & Thiết bị tiện ích,1,OEM,HoangTrung Shop,Dụng cụ diệt côn trùng khác,"Hàng mới 100%, chất lượng cao.Dễ sử dụng, an toàn.Không độc tố, không có hóa chất.Sạc năng lượng mặt trời Pin niken-cadmium.Không ảnh hưởng đến người, động vật hoặc vật nuôi.Sóng âm thanh 2 giây ..."
26242002,Dụng Cụ Bẫy Chuột Thông Minh Siêu Mạnh (Màu Đen),7000,4.7,7,OEM,,https://tiki.vn/dung-cu-bay-chuot-thong-minh-sieu-manh-mau-den-p26242002.html?spid=181784355,"dụng cụ diệt chuột, côn trùng",Dụng cụ & Thiết bị tiện ích,1,OEM,Smart Trading,Dụng cụ diệt côn trùng khác,Dụng Cụ Bẫy Chuột Thông Minh Siêu Mạnh (Màu Đen)   - Diệt chuột luôn là vấn đề quan tâm của hầu hết các gia đình. Bởi vì chuột gây hại; phá phách làm hỏng vật dụng và còn gây ra các bệnh truyền nh...
158633732,Keo Dán Diệt Côn Trùng 2 Mặt Tiện Dụng Thân Thiện Với Môi Trường,40000,0.0,0,Sanada Seiko,,https://tiki.vn/keo-dan-diet-con-trung-2-mat-tien-dung-than-thien-voi-moi-truong-p158633732.html?spid=158633733,"dụng cụ diệt chuột, côn trùng",Dụng cụ & Thiết bị tiện ích,1,Sanada Seiko,Hàng tiêu dùng nhập khẩu Shop,Dụng cụ diệt côn trùng khác,"[CHUYÊN NHẬP KHẨU & PHÂN PHỐI HÀNG TIÊU DÙNG CHÍNH HÃNG UY TÍN - CHẤT LƯỢNG]1. Shop cam kết bán hàng nội địa chính hãng 100%.2. Hình ảnh sản phẩm, chất lượng, mô tả chân thực, đúng với thực tế...."
10645248,"Viên Diệt Chuột Nhật Bản Hộp 4 Vỉ Sạch Sẽ, An Toàn Và Hiệu Quả",155000,5.0,1,OEM,,https://tiki.vn/vien-diet-chuot-nhat-ban-hop-4-vi-sach-se-an-toan-va-hieu-qua-p10645248.html?spid=59553917,"dụng cụ diệt chuột, côn trùng",Dụng cụ & Thiết bị tiện ích,1,OEM,The True Japan,Dụng cụ diệt côn trùng khác,"Viên Diệt Chuột Dethmor Nhật Bản Hộp 4 VỉViên diệt chuột Dethmor là sản phẩm mang tính ưu việt cao nhờ đặc tính làm chuột chết từ từ khiến chúng mất cảnh giác với sản phẩm, tăng hiệu quả diệt cả đàn ..."
274174765,Chuột đèn DIANHUI ( dùng cho đèn diệt côn trùng ),30000,0.0,0,DIANHUI,,https://tiki.vn/chuot-den-dianhui-dung-cho-den-diet-con-trung-p274174765.html?spid=274174766,"dụng cụ diệt chuột, côn trùng",Dụng cụ & Thiết bị tiện ích,1,DIANHUI,ĐÈN BẮT MUỖI KTP,Dụng cụ diệt côn trùng khác,"DÙNG CHO TẤT CẢ ĐÈN DIỆT CÔN TRÙNGNhãn hiệu : DIANHIUCông xuất : 4-40WKích thước : 3,2 x1,8 ( cm)Bảo hành : khôngXuất xứ     : China..."
