id,name,price,rating,review_count,brand,seller,url,kw,group,page,brand_detail,seller_detail,categories,short_description
273570265,Bộ dao kéo 05 món Elmich diamond EL-8404 - Hàng Chính Hãng,681720,5.0,12,Elmich,,https://tiki.vn/bo-dao-keo-05-mon-elmich-diamond-el-8404-hang-chinh-hang-p273570265.html?spid=274054611,"dao, kéo và phụ kiện",Dụng cụ nhà bếp,1,Elmich,Tiki Trading,Nhà Cửa - Đời Sống,"1. Dao được làm từ chất lượng thép Diamond cao cấp, loại thép thường được dùng cho dao của đầu bếp với lưỡi dao sắc bén và bền theo thời gian đảm bảoKhả năng giữ cạnh sắc bén theo thời gianĐộ cứng ..."
271392163,Dụng Cụ Mài Dao Kéo TOKDODO Đa Năng 3 Ngăn,15000,5.0,2,TOK DO DO TOKDODO TOK DO DO,,https://tiki.vn/dung-cu-mai-dao-keo-tokdodo-da-nang-3-ngan-p271392163.html?spid=271392164,"dao, kéo và phụ kiện",Dụng cụ nhà bếp,1,TOK DO DO TOKDODO TOK DO DO,TOKDODO Official Store,Dụng cụ mài dao,"Dụng cụ mài dao kéo 3 cấp độ cầm tay, mài dao cầm tay nhanh bén siêu tiện lợi-Số lượng sản phẩm: 1 dụng cụ mài dao- Kích thước: 21 x 5 cm- Chất liệu: Thép không rỉ sét -Lưỡi mài: : hợp kim Vonf..."
275695273,Đá Mài Dao Kéo Có Đế Mài Cực Nhanh Cực Sắc PaKaSa,29000,5.0,1,PaKaSa,,https://tiki.vn/da-mai-dao-keo-co-de-mai-cuc-nhanh-cuc-sac-pakasa-p275695273.html?spid=275695274,"dao, kéo và phụ kiện",Dụng cụ nhà bếp,1,PaKaSa,Phụ Kiện Store 76,Dụng cụ mài dao,"Đá Mài Dao Kéo Có Đế Mài Cực Nhanh Cực SắcDụng Cụ Mài Dao Bằng Đá Chuyên Dụng thiết kế nhỏ, gọn và rất dễ sử dụng. Mài sắc được tất cả các loại dao - kéo với nhiều kích cỡ, chủng loại khác nhau. K..."
275224021,Dụng Cụ Mài Dao Kéo 3 Rãnh Cầm Tay Mài Dao Nhanh Bén Siêu Tiện Lợi,49000,5.0,1,PEAFLO,,https://tiki.vn/dung-cu-mai-dao-keo-3-ranh-cam-tay-mai-dao-nhanh-ben-sieu-tien-loi-p275224021.html?spid=275224022,"dao, kéo và phụ kiện",Dụng cụ nhà bếp,1,PEAFLO,Tiện ích 1708,Dụng cụ mài dao,- Tên sản phẩm: Dụng Cụ Mài Dao Kéo 3 Cấp Độ Cầm Tay Mài Dao Nhanh Bén Siêu Tiện Lợi- Số lượng sản phẩm: 1 dụng cụ mài dao- Kích thước: 21 x 5 cm- Chất liệu: Thép không rỉ sét- Lưỡi mài: : hợp ki...
133859142,Kệ Dán Tường Đựng Dao Kéo Có 6 Móc - Chính Hãng ( Giao màu ngẫu nhiên),69000,5.0,2,PaKaSa,,https://tiki.vn/ke-dan-tuong-dung-dao-keo-co-6-moc-chinh-hang-giao-mau-ngau-nhien-p133859142.html?spid=133859144,"dao, kéo và phụ kiện",Dụng cụ nhà bếp,1,PaKaSa,Phụ Kiện Store 76,Kệ để dao,"Với thiết kế lạ mắt và xinh xắn, bộ sản phẩm này sẽ là giải pháp cho những gia đình cần nhiều diện tích lưu trữ phòng bếp….Kệ treo được thiết kế vô cùng độc đáo với miếng dán tường tiện dụng bạn tha..."
85482946,Dụng Cụ Mài Dao Kéo Lock&Lock 4 Lớp CKK114 - Màu Đen,179000,4.8,56,LocknLock,,https://tiki.vn/dung-cu-mai-dao-keo-lock-lock-4-lop-ckk114-mau-den-p85482946.html?spid=132708212,"dao, kéo và phụ kiện",Dụng cụ nhà bếp,1,LocknLock,LATH SHOP,Dụng cụ mài dao,"Thương hiệu: Lock&Lock (Hàn Quốc)Xuất xứ: Trung QuốcMàu sắc: ĐenChất liệu: Nhựa ABS, nhựa TPE, thép không gỉ, kim cương, tungsten carbige, gốm.Kích thước: 222x53x64mmCách sử dụng: Đặt dụng c..."
275224019,Dụng Cụ Mài Dao Kéo 3 Cấp Độ Cầm Tay Mài Dao Nhanh Bén Siêu Tiện Lợi,45000,0.0,0,PEAFLO,,https://tiki.vn/dung-cu-mai-dao-keo-3-cap-do-cam-tay-mai-dao-nhanh-ben-sieu-tien-loi-p275224019.html?spid=275224020,"dao, kéo và phụ kiện",Dụng cụ nhà bếp,1,PEAFLO,Gold,Dụng cụ mài dao,- Tên sản phẩm: Dụng Cụ Mài Dao Kéo 3 Cấp Độ Cầm Tay Mài Dao Nhanh Bén Siêu Tiện Lợi- Số lượng sản phẩm: 1 dụng cụ mài dao- Kích thước: 21 x 5 cm- Chất liệu: Thép không rỉ sét- Lưỡi mài: : hợp ki...
278453987,"Bộ Dao Kéo Nhà Bếp 6 món , dao thép không gỉ gợn sóng chống dính siêu bén - Chính Hãng",162000,0.0,0,PaKaSa,,https://tiki.vn/bo-dao-keo-nha-bep-6-mon-dao-thep-khong-gi-gon-song-chong-dinh-sieu-ben-chinh-hang-p278453987.html?spid=278453988,"dao, kéo và phụ kiện",Dụng cụ nhà bếp,1,PaKaSa,Phụ Kiện Store 76,Dao các loại,Bộ Dao 6 Món Gợn Sóng là bộ dao chất lượng giúp công việc sơ chế thức ăn rở nên nhẹ nhàng và thú vị hơn. Bộ Dao 6 Món Gợn Sóng làm bằng chất liệu thép không gỉ và được phủ một lớp kháng khuẩn cao cấp....
107017551,Bộ dao kéo  Nirosta ,480000,0.0,0,Nirosta,,https://tiki.vn/bo-dao-keo-nirosta-p107017551.html?spid=107017552,"dao, kéo và phụ kiện",Dụng cụ nhà bếp,1,Nirosta,Tổng kho gia dụng toàn quốc,Bộ dao bếp,"Xuất xứ: GermanyPhân loại: dao tỉa, dao thái, dao gọt, kéo.Nhắc tới Đức chắc hẳn các bạn đều ấn tượng với những thanh kiếm Katana huyền thoại vô cùng nổi tiếng về độ bền, sắc được chế tạo bởi những sả..."
108174856,Combo dụng cụ mài dao kéo cao cấp Satomi Kamizak + khay làm đá 8 viên - made in Japan,268500,5.0,1,Shimomura,,https://tiki.vn/combo-dung-cu-mai-dao-keo-cao-cap-satomi-kamizak-khay-lam-da-8-vien-made-in-japan-p108174856.html?spid=108174857,"dao, kéo và phụ kiện",Dụng cụ nhà bếp,1,Shimomura,Hàng tiêu dùng nhập khẩu Shop,Dụng cụ mài dao,"Combo dụng cụ mài dao kéo cao cấp Satomi Kamizak + khay làm đá 8 viên+ Sản phẩm được nhập khẩu trực tiếp từ thị trường Nhật Bản chính hãng 100%.+ Đảm bảo chất lượng, dịch vụ tốt nhất, hàng được giao..."
