id,name,price,rating,review_count,brand,seller,url,kw,group,page,brand_detail,seller_detail,categories,short_description
273134463,Truyền Thuyết Về Cội Nguồn Các Dân Tộc: Sự Tích Các Nhạc Cụ,27000,0.0,0,,,https://tiki.vn/truyen-thuyet-ve-coi-nguon-cac-dan-toc-su-tich-cac-nhac-cu-p273134463.html?spid=274166109,nhạc cụ dân tộc,Nhạc cụ,1,,An Lạc,Truyện tranh thiếu nhi,"Truyền Thuyết Về Cội Nguồn Các Dân Tộc: Sự Tích Các Nhạc Cụ Thể loại: truyện tranh thiếu nhiSố trang: 40; Khổ: 14,5 x 20,5 cmTác giả: Mai Quyên (sưu tầm và biên soạn), Tammy DO minh họaSách màu,..."
277212515,Sách - Mẹ Kể Con Nghe: Truyền Thuyết Về Cội Nguồn Các Dân Tộc - Sự Tích Các Nhạc Cụ - NXB Phụ Nữ,30000,0.0,0,,,https://tiki.vn/sach-me-ke-con-nghe-truyen-thuyet-ve-coi-nguon-cac-dan-toc-su-tich-cac-nhac-cu-nxb-phu-nu-p277212515.html?spid=277212516,nhạc cụ dân tộc,Nhạc cụ,1,,Bamboo Books,Sách Kiến Thức Tổng Hợp,"    Thông tin sách:  Tên tác phẩm: Mẹ kể con nghe: TRUYỀN THUYẾT VỀ CỘI NGUỒN CÁC DÂN TỘC   Thể loại: tranh truyện thiếu nhi  Số trang: 10 tập, mỗi tập 40 trang in 4 màu; Khổ: 14,5 x 20,5 cm  T..."
248363351,Nhà ở cổ truyền các dân tộc Việt Nam,559000,4.8,8,,,https://tiki.vn/nha-o-co-truyen-cac-dan-toc-viet-nam-p248363351.html?spid=248363352,nhạc cụ dân tộc,Nhạc cụ,1,,MaiHaBooks,Mỹ thuật - Kiến trúc Việt Nam,"Tác giả: PGS. TS. Nguyễn Khắc TụngTrong đời sống văn hóa của dân tộc Việt Nam hay bất kỳ một dân tộc nào trên thế giới, vấn đề “Mặt bằng sinh hoạt” vẫn luôn là một điều phức tạp và được nhiều học giả..."
278517495,Giới Thiệu 152 Nhạc Khí Và 24 Dàn Nhạc Dân Tộc Việt Nam (bìa cứng) - Minh Hiến (Trung tâm Nghiên cứu Quốc Học),200000,0.0,0,,,https://tiki.vn/gioi-thieu-152-nhac-khi-va-24-dan-nhac-dan-toc-viet-nam-bia-cung-minh-hien-trung-tam-nghien-cuu-quoc-hoc-p278517495.html?spid=278517496,nhạc cụ dân tộc,Nhạc cụ,1,,SÁCH ĐẠI NAM,Âm nhạc - điện ảnh - khác,"Giới Thiệu 152 Nhạc Khí Và 24 Dàn Nhạc Dân Tộc Việt NamViệt Nam là quốc gia thống nhất đa dân tộc, mỗi dân tộc lại có nhiều sắc tộc khác nhau, sống đan xen nhau ở nhiều khu vực trên toàn cõi đất nước..."
272187153,Mẹ kể con nghe: TRUYỀN THUYẾT VỀ CỘI NGUỒN CÁC DÂN TỘC : Sự tích các nhạc cụ,25500,0.0,0,,,https://tiki.vn/me-ke-con-nghe-truyen-thuyet-ve-coi-nguon-cac-dan-toc-su-tich-cac-nhac-cu-p272187153.html?spid=272187154,nhạc cụ dân tộc,Nhạc cụ,1,,Nhà Xuất Bản Phụ Nữ Việt Nam,Truyện tranh thiếu nhi,"Thông tin sách:Tên tác phẩm:  Mẹ kể con nghe: TRUYỀN THUYẾT VỀ CỘI NGUỒN CÁC DÂN TỘC           Thể loại: tranh truyện thiếu nhiSố trang: 10 tập, mỗi tập 40 trang in 4 màu; Khổ: 14,5 x 20,5 cmTác g..."
10565347,Các dân tộc Tây Nguyên,414000,4.2,6,,,https://tiki.vn/cac-dan-toc-tay-nguyen-p10565347.html?spid=10565348,nhạc cụ dân tộc,Nhạc cụ,1,,Nhà sách 30 Hàn Thuyên,Châu Á,"Những ai đã từng ở Tây Nguyên chừng 30-40 năm trước thôi, nay trở lại chắc hẳn không khỏi ngỡ ngàng bởi thấy từ cảnh vật cho đến con người và cuộc sống đều khác hẳn. Nhiều cái mới đã thay thế hoặc lấn..."
198509479,Bộ các dân tộc ở Việt Nam (6 tập),2215000,0.0,0,,,https://tiki.vn/cac-dan-toc-o-viet-nam-bo-6-tap-p198509479.html?spid=230308492,nhạc cụ dân tộc,Nhạc cụ,1,,Nhà Sách Lao Động,Sách Phong Tục - Tập Quán,"Cuốn sách trình bày tình hình nghiên cứu của từng dân tộc, từ đó đi sâu phân tích hoạt động kinh tế, đời sống xã hội, đời sống văn hóa và những biến đổi của dân tộc trong bối cảnh mới.Bộ sách là nguồn..."
278451610,Nguồn Gốc Dân Tộc Việt Nam,77600,0.0,0,,,https://tiki.vn/nguon-goc-dan-toc-viet-nam-p278451610.html?spid=278529037,nhạc cụ dân tộc,Nhạc cụ,1,,Nhà sách NetaBooks,Lịch Sử Việt Nam,"Nguồn Gốc Dân Tộc Việt NamDân tộc Việt Nam, theo học giả Đào Duy Anh, có một vận mệnh đặc biệt khi trở thành đại biểu duy nhất trong nhóm Bách Việt không bị Hán hóa và đã kiên cường thoát khỏi ách đô..."
272942519,Tín Ngưỡng Của Các Dân Tộc Việt Nam,163020,0.0,0,,,https://tiki.vn/tin-nguong-cua-cac-dan-toc-viet-nam-p272942519.html?spid=272942520,nhạc cụ dân tộc,Nhạc cụ,1,,VIETNAMBOOK,Sách tiếng Việt,...
273698622,Tín Ngưỡng Của Các Dân Tộc Việt Nam,163020,5.0,1,,,https://tiki.vn/tin-nguong-cua-cac-dan-toc-viet-nam-p273698622.html?spid=277600621,nhạc cụ dân tộc,Nhạc cụ,1,,VIETNAMBOOK,Sách Phong Tục - Tập Quán Việt Nam,"Tín Ngưỡng Của Các Dân Tộc Việt NamBằng lối trình bày súc tích, văn phong cô đọng và nguồn tư liệu phong phú, tác giả Ngô Đức Thịnh đã mang đến cho bạn đọc những hiểu biết về đời sống văn hoá tín ngư..."
