id,name,price,rating,review_count,brand,seller,url,kw,group,page,brand_detail,seller_detail,categories,short_description
275724242,[FLASH SALE] Capo kẹp đàn guitar(trắng) - phụ kiện guitar - nhạc cụ - 206437,38660,0.0,0,TLG Thành Long,,https://tiki.vn/flash-sale-capo-kep-dan-guitar-trang-phu-kien-guitar-nhac-cu-206437-p275724242.html?spid=275724244,phụ kiện nhạc cụ,Nhạc cụ,1,TLG Thành Long,ĐỒ DA THÀNH LONG TLG,Phụ kiện nhạc cụ khác,Mô tả sản phẩm [FLASH SALE] Capo kẹp đàn guitar(trắng) - phụ kiện guitar - nhạc cụ - 206437 - White Chất liệu cao cấp- Độ bền cao- Hình thức đẹp- Capo với thiết kế hướng đến tính khả dụng cao...
5812515,Giá để sách nhạc đàn Guitar,97000,4.7,6,OEM,,https://tiki.vn/gia-de-sach-nhac-dan-guitar-p5812515.html?spid=72496976,phụ kiện nhạc cụ,Nhạc cụ,1,OEM,Guitar MinMusic,Nhà Cửa - Đời Sống,Chất liệu cao cấpĐộ bền caoThiết kế đẹp mắtDễ dàng sử dụngCần thiết cho người chơi guitar...
2822805,"Ghế đàn organ, piano",370000,4.6,39,Vines,,https://tiki.vn/ghe-dan-organ-piano-p2822805.html?spid=2822807,phụ kiện nhạc cụ,Nhạc cụ,1,Vines,Sol.g,Nhà Cửa - Đời Sống,"PF-F10 là loại ghế đàn dành cho organ hoặc pianoHình thức đẹpDễ dàng sử dụng, có thể gấp lại khi không dùng nữa ..."
143226572,Set 6 Tròn Phụ Kiện Kim Loại,19000,0.0,0,Kềm Nhật,,https://tiki.vn/set-6-tron-phu-kien-kim-loai-p143226572.html?spid=143226600,phụ kiện nhạc cụ,Nhạc cụ,1,Kềm Nhật,Kềm Nhật,"Bộ dụng cụ, phụ kiện làm móng","       SET PHỤ KIỆN TRANG TRÍ MÓNG   1. Phụ kiện trang trí móng nghệ thuật này được làm bằng chất liệu hợp kim cao cấp, bền, hình dạng đẹp mắt với bề mặt cắt đẹp, thích hợp cho làm móng nghệ ..."
191644228,Phụ kiện chụp hình - đồ chơi bắn giấy - phụ kiện cưới Giang,155000,0.0,0,OEM,,https://tiki.vn/phu-kien-chup-hinh-do-choi-ban-giay-phu-kien-cuoi-giang-p191644228.html?spid=191644229,phụ kiện nhạc cụ,Nhạc cụ,1,OEM,Phụ kiện cưới Giang,Root,     ...
277212590,Sách - Thiên Nhạc - NXB Phụ Nữ,75000,0.0,0,,,https://tiki.vn/sach-thien-nhac-nxb-phu-nu-p277212590.html?spid=277212591,phụ kiện nhạc cụ,Nhạc cụ,1,,Bamboo Books,Sách Kiến Thức Tổng Hợp,"    Thiên Nhạc  Truyền thuyết kể rằng, có những nữ linh được tạo thành từ mây, nước, ánh sáng, hương thơm, dùng âm nhạc để chiêu hồn tử sĩ trên các chiến trường.  Nguyên soái lần đầu nhìn thấy cô..."
273867239,"Thảm đàn âm nhạc cho bé chơi nhảy 8 nhạc cụ: đàn Piano, Guitar, Violin, kèn Saxophone, sáo Flute, Accordi",249000,0.0,0,MySun,,https://tiki.vn/tham-nhay-choi-nhac-cho-be-van-dong-gia-am-thanh-8-nhac-cu-dan-piano-guitar-violin-ken-saxophone-sao-flute-accordion-clarinet-tang-pin-aa-mysun-p273867239.html?spid=273877101,phụ kiện nhạc cụ,Nhạc cụ,1,MySun,MySun Vietnam,Nhạc cụ đàn Piano,"Âm nhạc không đơn thuần chỉ là một hình thức nghệ thuật sử dụng âm thanh để tạo ra trải nghiệm cảm xúc. Mà nó như một chiếc chìa khóa vạn năng giúp con người mở ra nhiều điều mới mẻ, đặc biệt. Đặc biệ..."
278538560,Đàn Kalimba 17 Phím - Nhạc Cụ Gỗ Dùng Ngón Tay Chơi Nhạc,600000,0.0,0,OEM,,https://tiki.vn/dan-kalimba-17-phim-nhac-cu-go-dung-ngon-tay-choi-nhac-p278538560.html?spid=278538570,phụ kiện nhạc cụ,Nhạc cụ,1,OEM,Guitar MinMusic,Các loại đàn khác,"Kalimba sản phẩm full phụ kiệnNhạc Cụ Min MusicC----- SHOP ĐẢM BẢO ------ Hình ảnh sản phẩm giống hình 100% Chất lượng sản phẩm đúng như mô tả Sản phẩm được kiểm tra kĩ càng, nghiêm ngặt trước khi gia..."
47078463,"Bộ Microphone không dây Wireless dùng cho Đàn Violin, Guitar, Kèn, Sáo, Nhị, Saxophone, Mic Nhạc cụ Dân Tộc và Mọi loại Nhạc Cụ khác Dr.MIC W8-8+B10 - Kèm Móng Gảy DreamMaker",1499000,0.0,0,Dr.MIC,,https://tiki.vn/bo-microphone-khong-day-dung-cho-dan-violin-guitar-nhi-va-moi-loai-nhac-cu-khac-dr-mic-w8-8-b10-kem-mong-gay-dreammaker-p47078463.html?spid=47078464,phụ kiện nhạc cụ,Nhạc cụ,1,Dr.MIC,Tiến Mạnh Music,Kèn Saxophone,"Thông số kỹ thuật: Bộ thu: Dải tần số sóng mang: UHF600 ~ 700MHZ (đã chọn)Kênh: Một kênhĐộ nhạy: Khi đầu vào 6dBv, S / N> 60D6Độ rộng băng tần: 30MHZPhạm vi độ lệch tối đa: + 45KHZTỷ lệ S / ..."
2410845,Combo Bộ phụ kiện đàn Ukulele (Capo + Bộ dây dự phòng + Phím gảy) ,134000,0.0,0,Việt Hoàng Phong,,https://tiki.vn/combo-bo-phu-kien-dan-ukulele-capo-bo-day-du-phong-phim-gay-p2410845.html?spid=4794031,phụ kiện nhạc cụ,Nhạc cụ,1,Việt Hoàng Phong,Piano Lovers,Nhà Cửa - Đời Sống,"Một combo phụ kiện đàn - hết sức tiện lợi cho người chơi đàn!  Đàn ukulele có một đặc điểm thế mạnh là nhỏ gọn, dễ dàng mang theo, thuận tiện cho những người thích giao du, hay đi du lịch, hay phải ..."
