id,name,price,rating,review_count,brand,seller,url,kw,group,page,brand_detail,seller_detail,categories,short_description
50456425,Đàn Ukulele Concert Woim,379000,4.0,4,Woim,,https://tiki.vn/dan-ukulele-concert-woim-p50456425.html?spid=277723493,"đàn guitar, ukulele",Nhạc cụ,1,Woim,WOIM World of Instrumental Music,Đàn ukulele,"KHI MUA ĐÀN UKULELE CONCERT, BẠN SẼ ĐƯỢC NHẬN NHIỀU QUÀ TẶNG: - Phụ kiện bao gồm : đàn ukulele concert + dây dự phòng + sách hướng dẫn gửi qua mail + phím gảy + thùng carton1- Dây dự phòng được tặ..."
6139717,Đàn Ukulele Concert BWS Kèm Móng gẩy,600000,4.5,2,BWS,,https://tiki.vn/dan-ukulele-concert-bws-kem-mong-gay-p6139717.html?spid=6185817,"đàn guitar, ukulele",Nhạc cụ,1,BWS,Tiến Mạnh Music,Đàn ukulele,"Đàn Ukulele Concert BWS Kèm Móng gẩy được làm bằng gỗ Mahogany bền đẹp, chắc chắn, không bị biến dạng, cong vênh trong quá trình sử dụng.Chất liệu gỗ đã được xử lý chống ẩm mốc, bề mặt trơn nhẵn, dễ..."
173450362,Đàn Ukulele Soprano Woim 35A15,190000,4.0,10,Woim,,https://tiki.vn/dan-ukulele-soprano-woim-35a15-p173450362.html?spid=173450401,"đàn guitar, ukulele",Nhạc cụ,1,Woim,WOIM World of Instrumental Music,Đàn ukulele,"Đàn Ukulele Soprano Woim 35A15 được làm bằng gỗ bền đẹp, chắc chắn, không bị biến dạng, cong vênh trong quá trình sử dụngĐàn làm từ chất liệu gỗ đã được xử lý chống ẩm mốc, bề mặt trơn nhẵn, dễ dàng ..."
17393346,"Đàn Ukulele Tenor 26 inch BWS B01-26 Kèm Móng gẩy, Giáo trình học online",650000,5.0,6,BWS,,https://tiki.vn/dan-ukulele-tenor-26-inch-bws-b01-26-kem-mong-gay-giao-trinh-hoc-online-p17393346.html?spid=17393347,"đàn guitar, ukulele",Nhạc cụ,1,BWS,Tiến Mạnh Music,Đàn ukulele,"Đàn Ukulele Tenor BWS Kèm Móng gẩy được làm bằng gỗ Mahogany bền đẹp, chắc chắn, không bị biến dạng, cong vênh trong quá trình sử dụng.Chất liệu..."
2081885,Đàn ukulele soprano KBD US-35 ,249000,0.0,0,KBD,,https://tiki.vn/dan-ukulele-soprano-kbd-us-35-p2081885.html?spid=2081887,"đàn guitar, ukulele",Nhạc cụ,1,KBD,Piano Lovers,Đàn ukulele,"Chất liệu bền đẹp, chắc chắnUkulele Soprano Mặt Gỗ KBD 33A15 được làm bằng gỗ bền đẹp, chắc chắn, không bị biến dạng, cong vênh trong quá trình sử dụng. Chất liệu gỗ đã được xử lý chống ẩm mốc, bề mặ..."
1260275,Đàn Ukulele Ukaku C10F,1050000,4.0,1,Ukaku,,https://tiki.vn/dan-ukulele-ukaku-c10f-p1260275.html?spid=1279517,"đàn guitar, ukulele",Nhạc cụ,1,Ukaku,Sol.g,Đàn ukulele,"Đàn Ukulele Ukaku C10F là dụng cụ đã được lên đầy đủ các dây Sol, Do, Mi, La và là lựa chọn thích hợp dành cho những người mới bắt đầu chơi.Sản phẩm có kiểu dáng đơn giản với mặt đàn làm bằng gỗ ép ..."
50428851,Đàn Ukulele Soprano Woim 35A15 tặng kèm máy lên dây điện tử,295000,5.0,1,Woim,,https://tiki.vn/dan-ukulele-soprano-woim-35a15-tang-kem-may-len-day-dien-tu-p50428851.html?spid=50428861,"đàn guitar, ukulele",Nhạc cụ,1,Woim,WOIM World of Instrumental Music,Đàn ukulele,"Đàn Ukulele Soprano Woim 35A15 Size 21 được làm từ chất liệu bền đẹp, chắc chắn, tránh được tình trạng bị biến dạng, cong vênh trong quá trình sử dụngĐàn cho chất âm vui nhộn vì Soprano nhỏ, nên nó t..."
134776111,Đàn Ukulele WOIM Soprano 21 Inch Signature,275000,4.0,2,Woim,,https://tiki.vn/dan-ukulele-woim-soprano-21-inch-signature-p134776111.html?spid=134776115,"đàn guitar, ukulele",Nhạc cụ,1,Woim,WOIM World of Instrumental Music,Nhà Cửa - Đời Sống,"HÀNG CÓ SẴN TẠI SHOP - GỬI HÀNG NHANH CHÓNG TRONG VÒNG 2H TRONG NỘI THÀNH GIỜ HÀNH CHÍNH, NGOẠI THÀNH TRONG VÒNG 24H. Đàn Ukulele Soprano size 21 của Piano Lovers được làm từ gỗ ép nguyên tấm, âm th..."
7627211,Móc treo guitar - ukulele - giá treo guitar và ukulele ,38900,4.6,7,Duy Guitar,,https://tiki.vn/moc-treo-guitar-ukulele-gia-treo-guitar-va-ukulele-p7627211.html?spid=7627212,"đàn guitar, ukulele",Nhạc cụ,1,Duy Guitar,Duy Guitar,Nhà Cửa - Đời Sống,"Giá treo đàn guitar, móc treo đàn guitar, ukulele Chất liệu tốtSử dụng treo đàn guitar và ukulele, guitar điện, bassThiết kế trục xoay khớp vừa cần đànMàu đen, tay ngắn, nhỏ gọnCó thể treo guitar..."
50410847,Đàn Ukulele Soprano Woim 35A15 tặng kèm bao da và capo nâng tông,379000,5.0,4,Woim,,https://tiki.vn/dan-ukulele-soprano-woim-35a15-tang-kem-bao-da-va-capo-nang-tong-p50410847.html?spid=50410859,"đàn guitar, ukulele",Nhạc cụ,1,Woim,WOIM World of Instrumental Music,Đàn ukulele,"Đàn Ukulele Soprano Woim 35A15 Size 21 được làm từ chất liệu bền đẹp, chắc chắn, tránh được tình trạng bị biến dạng, cong vênh trong quá trình sử dụngĐàn cho chất âm vui nhộn vì Soprano nhỏ, nên nó t..."
51029488,"Đàn Ukulele Soprano Woim 35A15 tặng kèm bao vải, capo nâng tông và máy lên dây điện tử",390000,4.0,1,Woim,,https://tiki.vn/dan-ukulele-soprano-woim-35a15-tang-kem-bao-vai-capo-nang-tong-va-may-len-day-dien-tu-p51029488.html?spid=51029506,"đàn guitar, ukulele",Nhạc cụ,2,Woim,WOIM World of Instrumental Music,Nhà Cửa - Đời Sống,"Đàn Ukulele Soprano Woim 35A15 Size 21 được làm từ chất liệu bền đẹp, chắc chắn, tránh được tình trạng bị biến dạng, cong vênh trong quá trình sử dụngĐàn cho chất âm vui nhộn vì Soprano nhỏ, nên nó t..."
255293527,Đàn Ukulele Tenor Mahalo MJ3VNA kèm bao,1562000,0.0,0,MAHALO,,https://tiki.vn/dan-ukulele-tenor-mahalo-mj3vna-kem-bao-p255293527.html?spid=255293565,"đàn guitar, ukulele",Nhạc cụ,2,MAHALO,NHẠC CỤ LÊ MINH,Nhà Cửa - Đời Sống,Các thợ thủ công chuyên nghiệp của chúng tôi đã lựa chọn bằng tay những loại gỗ tốt nhất có tông màu đẹp của Indonesia để mang đến cho bạn Dòng Seri Mahalo Java. Thân đàn bằng gỗ nato được chế tạo ...
50360600, Đàn Ukulele Soprano Woim 35A15 tặng kèm capo nâng tông,279000,4.2,33,Woim,,https://tiki.vn/dan-ukulele-soprano-woim-35a15-tang-kem-capo-nang-tong-p50360600.html?spid=50360610,"đàn guitar, ukulele",Nhạc cụ,2,Woim,WOIM World of Instrumental Music,Đàn ukulele,"Đàn Ukulele Soprano Woim 35A15 Size 21 được làm từ chất liệu bền đẹp, chắc chắn, tránh được tình trạng bị biến dạng, cong vênh trong quá trình sử dụngĐàn cho chất âm vui nhộn vì Soprano nhỏ, nên nó t..."
2172813,Combo Đàn Ukulele Soprano Màu Trơn KBD 33A15-Tr (Trắng) + Bao Đàn,279000,0.0,0,KBD,,https://tiki.vn/combo-dan-ukulele-soprano-mau-tron-kbd-33a15-tr-trang-bao-dan-p2172813.html?spid=2172815,"đàn guitar, ukulele",Nhạc cụ,2,KBD,Piano Lovers,Đàn ukulele,"Combo Đàn Ukulele Soprano Màu Trơn KBD 33A15-Tr (Trắng) + Bao Đàn với đàn được làm bằng gỗ bền đẹp, chắc chắn, không bị biến dạng, cong vênh trong quá trình sử dụng kèm bao đàn được may chắc chắn, tỉ..."
2172803,Combo Đàn Ukulele Soprano Màu Trơn KBD 33A15-Va (Vàng) + Bao Đàn,279000,0.0,0,KBD,,https://tiki.vn/combo-dan-ukulele-soprano-mau-tron-kbd-33a15-va-vang-bao-dan-p2172803.html?spid=2172805,"đàn guitar, ukulele",Nhạc cụ,2,KBD,Piano Lovers,Đàn ukulele,"Combo Đàn Ukulele Soprano Màu Trơn KBD 33A15-Va (Vàng) + Bao Đàn với đàn được làm bằng gỗ bền đẹp, chắc chắn, không bị biến dạng, cong vênh trong quá trình sử dụng kèm bao đàn được may chắc chắn, tỉ ..."
1418861,Đàn Ukulele soprano Vines UK21-30- Hàng nhập khẩu,900000,0.0,0,Vines,,https://tiki.vn/dan-ukulele-vines-uk21-30-p1418861.html?spid=1419991,"đàn guitar, ukulele",Nhạc cụ,2,Vines,Sol.g,Đàn ukulele,"Đàn Ukulele Vines UK21-30 là loại đàn được nhiều bạn trẻ ưa chuộng bởi thiết kế nhỏ gọn, kiểu dáng trẻ trung, và đặc biệt rất dễ sử dụng. Mặt đàn, lưng và hông đàn được làm bằng gỗ Sapele (cùng họ vớ..."
51031537,Đàn Ukulele Concert Woim kèm máy lên dây điện tử,429000,0.0,0,Woim,,https://tiki.vn/dan-ukulele-concert-woim-kem-may-len-day-dien-tu-p51031537.html?spid=51031551,"đàn guitar, ukulele",Nhạc cụ,2,Woim,WOIM World of Instrumental Music,Nhà Cửa - Đời Sống,"KHI MUA ĐÀN UKULELE CONCERT, BẠN SẼ ĐƯỢC TẶNG KÈM MÁY LÊN DÂY ĐIỆN TỬ: Máy lên dây điện tử ( tuner) chính xác và dễ dàng nhất cho việc lên dây đàn Ukulele, thiết bị này họat động bằng cách so sánh âm..."
173557755,Đàn Ukulele Concert Woim 33A19,369000,0.0,0,Woim,,https://tiki.vn/dan-ukulele-concert-woim-33a19-p173557755.html?spid=173557777,"đàn guitar, ukulele",Nhạc cụ,2,Woim,WOIM World of Instrumental Music,Nhà Cửa - Đời Sống,"KHI MUA ĐÀN UKULELE CONCERT, BẠN SẼ ĐƯỢC NHẬN NHIỀU QUÀ TẶNG: - Phụ kiện bao gồm : đàn ukulele concert + dây dự phòng + sách hướng dẫn gửi qua mail + phím gảy + thùng carton1 - Dây dự phòng được tặn..."
946331,Combo Đàn Ukulele Soprano Màu Trơn KBD 33A15-Hd (Hồng Đậm) + Bao Đàn,279000,0.0,0,KBD,,https://tiki.vn/combo-dan-ukulele-soprano-mau-tron-kbd-33a15-hd-hong-dam-bao-dan-p946331.html?spid=2141849,"đàn guitar, ukulele",Nhạc cụ,2,KBD,Piano Lovers,Đàn ukulele,"Combo Đàn Ukulele Soprano Màu Trơn KBD 33A15-Hd (Hồng Đậm) + Bao Đàn với đàn được làm bằng gỗ bền đẹp, chắc chắn, không bị biến dạng, cong vênh trong quá trình sử dụng kèm bao đàn được may chắc chắn,..."
