id,name,price,rating,review_count,brand,seller,url,kw,group,page,brand_detail,seller_detail,categories,short_description
273353758,Đàn Piano Điện Woim 88 Phím Nặng Cảm Ứng Lực Cho Bạn Tập Chuyên Piano Mọi Lứa Tuổi W-3101,3100000,4.8,5,Woim,,https://tiki.vn/dan-piano-dien-woim-88-phim-nang-cam-ung-luc-cho-ban-tap-chuyen-piano-moi-lua-tuoi-w-3101-p273353758.html?spid=273353760,đàn piano,Nhạc cụ,1,Woim,WOIM World of Instrumental Music,Đàn piano,"- Đàn Piano Điện Woim 88 Phím Nặng Cảm Ứng Lực Cho Bạn Tập Chuyên Piano Mọi Lứa Tuổi model W-3101.- Khác hẳn với 2 model tiền nhiệm của Woim là dòng Smart Edition và P-116, dòng W-3101 được chế tạo c..."
2822805,"Ghế đàn organ, piano",370000,4.6,39,Vines,,https://tiki.vn/ghe-dan-organ-piano-p2822805.html?spid=2822807,đàn piano,Nhạc cụ,1,Vines,Sol.g,Nhà Cửa - Đời Sống,"PF-F10 là loại ghế đàn dành cho organ hoặc pianoHình thức đẹpDễ dàng sử dụng, có thể gấp lại khi không dùng nữa ..."
210134525,Học Đàn Piano,106700,5.0,1,,,https://tiki.vn/hoc-dan-piano-p210134525.html?spid=210134526,đàn piano,Nhạc cụ,1,,Nhà sách Fahasa,Sách học Đàn Piano,"    Cuốn sách trình bày chi tiết lịch sử ra đời của đàn Piano, cách phân biệt vạch nhịp, số nhịp, đếm nhịp, cách tập đàn một tay và hai tay. Sau mỗi bài học , sách còn đính kèm những bài luyện tập ..."
210137229,Học Đàn Piano,125000,0.0,0,,,https://tiki.vn/hoc-dan-piano-p210137229.html?spid=274862100,đàn piano,Nhạc cụ,1,,Bamboo Books,Sách học Đàn Piano,"Cuốn sách trình bày chi tiết lịch sử ra đời của đàn Piano, cách phân biệt vạch nhịp, số nhịp, đếm nhịp, cách tập đàn một tay và hai tay. Sau mỗi bài học , sách còn đính kèm những bài luyện tập thiết t..."
50359277,Pedal đàn piano và organ cao cấp Woim PD101,185000,0.0,0,Woim,,https://tiki.vn/pedal-dan-piano-va-organ-cao-cap-woim-pd101-p50359277.html?spid=50359278,đàn piano,Nhạc cụ,1,Woim,WOIM World of Instrumental Music,Phụ kiện nhạc cụ khác,"Pedal đa năng - Pedal Woim PD101- Dùng được cho các loại đàn Electric Keyboards, Organ, Piano điện - Tích hợp nút chuyển chế độ để dùng cho từng loại nhạc cụ- Tích hợp giắc cắm đi kèm Pedal..."
270803849,Học Đàn Piano - Âm Nhạc,125000,0.0,0,,,https://tiki.vn/hoc-dan-piano-am-nhac-p270803849.html?spid=270803850,đàn piano,Nhạc cụ,1,,Bảo Châu Books,Sách học Đàn Piano,"Công ty phát hành: Cty Văn Hóa Văn LangNhà xuất bản: Hồng ĐứcTác giả: Brad HillLoại bìa: Bìa MềmSố trang: 207Năm xuất bản: 2022Cuốn sách trình bày chi tiết lịch sử ra đời của đàn Piano, cách p..."
278155064,[GIFT] Đồ chơi đàn piano,250000,0.0,0,APPETON,,https://tiki.vn/gift-do-choi-dan-piano-p278155064.html?spid=278155065,đàn piano,Nhạc cụ,1,APPETON,Appeton Official Store,Nhạc cụ đàn Piano,"- Âm nhạc làm cho chúng ta cảm thấy yêu đời và có cảm hứng làm việc hơn. Cách giúp chúng ta xả stress nhanh nhất, hiệu quả nhất chính là bằng âm nhạc. Các nhà khoa học đã chứng minh âm nhạc đóng một v..."
184075082,Sách Học Đàn Piano,98000,4.7,27,,,https://tiki.vn/sach-hoc-dan-piano-p184075082.html?spid=184075083,đàn piano,Nhạc cụ,1,,Tiki Trading,Sách học Đàn Piano,"Cuốn sách trình bày chi tiết lịch sử ra đời của đàn Piano, cách phân biệt vạch nhịp, số nhịp, đếm nhịp, cách tập đàn một tay và hai tay. Sau mỗi bài học , sách còn đính kèm những bài luyện tập thiết t..."
249678149,Học Đàn Piano - Vanlangbooks,98750,0.0,0,,,https://tiki.vn/hoc-dan-piano-p249678149.html?spid=249678150,đàn piano,Nhạc cụ,1,,Văn Lang Official Store,Sách học Đàn Piano,"Học Đàn Piano-VanlangbooksI.Giới thiệu sáchCuốn sách trình bày chi tiết lịch sử ra đời của đàn Piano, cách phân biệt vạch nhịp, số nhịp, đếm nhịp, cách tập đàn một tay và hai tay. Sau mỗi bài học ,..."
277043171,"Đàn Piano Gỗ 37 Phím Woim-Baby Bản Quốc Tế Cho Trẻ Tập Chơi Có Ghế, Chân Đế, Giá Nhạc, Cổng Cắm Headphone, Pedal Và Micro",2879000,0.0,0,Woim,,https://tiki.vn/dan-piano-go-37-phim-woim-baby-ban-quoc-te-cho-tre-tap-choi-co-ghe-chan-de-gia-nhac-cong-cam-headphone-pedal-va-micro-p277043171.html?spid=277043263,đàn piano,Nhạc cụ,1,Woim,WOIM World of Instrumental Music,Đàn piano điện tử,"- Lưu ý: shop đang có chương trình tặng kèm bộ hướng dẫn chơi đàn piano organ trọn đời và các buổi học với thầy Tún trị giá 450,000VNĐ. Sau khi nhận hàng và hoàn tất đơn, các bạn hãy liên hệ shop để ..."
