id,name,price,rating,review_count,brand,seller,url,kw,group,page,brand_detail,seller_detail,categories,short_description
131407882,bàn họcBàn Làm việc,850000,4.6,5,HG FURNITURE H i G,,https://tiki.vn/ban-hoc-ban-lam-viec-p131407882.html?spid=131407905,"nội thất phòng học, làm việc",Nội thất,1,HG FURNITURE H i G,AnAn house,Root,        SP : Bàn Làm Việc Liền Kệ Sách    SP : BLK03T    thước : 120cm(dài) x 60cm(rộng) x 75cm(cao)    mặt của bàn được làm từ gỗ công nghiệp MFC có độ bền cơ lý cao    Phủ bên ngoài là lớp m...
131408035,bàn họcBàn Làm việc,750000,4.7,3,HG FURNITURE H i G,,https://tiki.vn/ban-hoc-ban-lam-viec-p131408035.html?spid=131408059,"nội thất phòng học, làm việc",Nội thất,1,HG FURNITURE H i G,AnAn house,Root,        SP : Bàn Làm Việc Liền Kệ Sách    SP : BLK03T    thước : 100cm(dài) x 50cm(rộng) x 75cm(cao)    mặt của bàn được làm từ gỗ công nghiệp MFC có độ bền cơ lý cao    Phủ bên ngoài là lớp m...
96743686,"Bàn làm việc, bàn học VBLVG01 - Nội thất lắp ráp",3599000,0.0,0,Nội Thất Lắp Ráp VIENDONGADV,,https://tiki.vn/ban-lam-viec-ban-hoc-vblvg01-noi-that-lap-rap-viendong-adv-p96743686.html?spid=96743707,"nội thất phòng học, làm việc",Nội thất,1,Nội Thất Lắp Ráp VIENDONGADV,Nội thất lắp ráp Viễn Đông,Bàn ghế làm việc,"Bàn làm việc, bàn học có thiết kế đơn giản nhưng lại có thể đáp ứng được tốt mọi nhu cầu từ người dùng với mặt bàn khá rộng rãi. Cùng với đó, bàn làm việc cũng có giá sách kèm theo đem lại không ít ti..."
277881418,"Bàn Học Kết Hợp Kệ Sách Dài 140cm Để Phòng Ngủ, Góc Làm Việc SIB Decor (Không Gồm Ghế) BLV03",4050000,0.0,0,SIB DECOR,,https://tiki.vn/ban-hoc-ket-hop-ke-sach-dai-140cm-de-phong-ngu-goc-lam-viec-sib-decor-khong-gom-ghe-blv03-p277881418.html?spid=277881431,"nội thất phòng học, làm việc",Nội thất,1,SIB DECOR,SIB Decor,Bàn ghế làm việc,"* Lắp ráp và vận chuyển:+ Tại TP.HCM: 100% freeship. SIB Decor giao tận nơi, lắp ráp hoàn thiện cho khách hàng tại TP.HCM (trừ khu vực Cần Giờ) thường từ 1-3 ngày (thứ 2 - thứ 7). + Các tỉnh/Tp khác..."
131408049,"Bàn làm việc - VÀNG,120x60x75cm",650000,4.0,1,HG FURNITURE H i G,,https://tiki.vn/ban-lam-viec-p131408049.html?spid=131408066,"nội thất phòng học, làm việc",Nội thất,1,HG FURNITURE H i G,AnAn house,Root,"       -Bàn gập chân sắt gấp thuộc kiểu bàn làm việc đơn giản phù hợp với mọi không gian. Với ưu   điểm là tiện lợi dễ dàng, tiết kiệm không gian cũng như dễ dàng thu gọn bàn gập chính là một lựa..."
202640174,Bàn Học Bàn Làm Việc Viet Home Decor Gỗ Phong Cách Trẻ Trung 7010,3719250,0.0,0,Viet Home Decor,,https://tiki.vn/ban-hoc-ban-lam-viec-viet-home-decor-go-phong-cach-tre-trung-7010-p202640174.html?spid=202640179,"nội thất phòng học, làm việc",Nội thất,1,Viet Home Decor,Viet Home Decor,Nhà Cửa - Đời Sống,"TỰ HÀO LÀ MỘT TRONG NHỮNG CHUỖI XƯỞNG SẢN XUẤT NỘI THẤT LỚN Ở TPHCM.VỚI CÔNG NGHỆ MÁY MÓC HIỆN ĐẠI CÙNG ĐỘI NGŨ NHÂN VIÊN DÀY DẶN KINH NGHIỆM, ĐẾN VỚI VIET HOME DECOR ĐỂ TRẢI NGHIỆM SẢN PHẨM NỘI THẤT..."
275456024,"Bàn Làm Việc Góc Đặt Tại Phòng Học, Phòng Làm Việc Và Văn Phòng Thương Hiệu SIB Decor BLV110/111",1850000,0.0,0,SIB DECOR,,https://tiki.vn/ban-go-goc-tuong-chu-l-phoi-ke-sach-hien-dai-thuong-hieu-sib-decor-blv95-p275456024.html?spid=275457582,"nội thất phòng học, làm việc",Nội thất,1,SIB DECOR,SIB Decor,Bàn ghế làm việc,* Lắp ráp và vận chuyển:+ Giao hàng tiêu chuẩn: SIB Decor đóng gói và gửi tới đơn vị vận chuyển Tiki ngay sau khi nhận được đơn hàng. + Sản phẩm khách hàng tự lắp ráp: Bộ sản phẩm được đóng gói dạng...
275659343,"Bàn làm việc, bàn học  liền kệ gỗ MDF BLK401 - Nội thất lắp ráp Viễn Đông Adv",5280000,0.0,0,Nội Thất Lắp Ráp VIENDONGADV,,https://tiki.vn/ban-lam-viec-ban-hoc-lien-ke-go-mdf-blk401-noi-that-lap-rap-vien-dong-adv-p275659343.html?spid=275659368,"nội thất phòng học, làm việc",Nội thất,1,Nội Thất Lắp Ráp VIENDONGADV,Nội thất lắp ráp Viễn Đông,Bàn ghế làm việc,"Bàn làm việc liền kệ là một thiết kế nội thất thông minh, kết hợp giữa bàn làm việc và kệ lưu trữ, giúp tối ưu hóa không gian và tăng tính tiện ích cho người dùng.Thông số kỹ thuậtTên sản phẩm : Qu..."
91240426,"Bàn Học, Làm Việc CANA 9183 - Thương hiệu Viet Home Decor",2800000,0.0,0,Viet Home Decor,,https://tiki.vn/ban-hoc-lam-viec-cana-9183-p91240426.html?spid=91240427,"nội thất phòng học, làm việc",Nội thất,1,Viet Home Decor,Viet Home Decor,Bàn ghế làm việc,"TỰ HÀO LÀ MỘT TRONG NHỮNG CHUỖI XƯỞNG SẢN XUẤT NỘI THẤT LỚN Ở TPHCM.VỚI CÔNG NGHỆ MÁY MÓC HIỆN ĐẠI CÙNG ĐỘI NGŨ NHÂN VIÊN DÀY DẶN KINH NGHIỆM, ĐẾN VỚI VIET HOME DECOR ĐỂ TRẢI NGHIỆM SẢN PHẨM NỘI THẤT..."
200689606,Trọn bộ phòng làm việc và kệ sách Tundo màu sồi,7723000,5.0,1,Tundo,,https://tiki.vn/tron-bo-phong-lam-viec-va-ke-sach-tundo-mau-soi-p200689606.html?spid=200689607,"nội thất phòng học, làm việc",Nội thất,1,Tundo,Tundo Official,Bàn ghế làm việc,» Trọn Bộ Bao Gồm :Trọn Bộ Gồm 02  Sản PhẩmKệ Sách 5 Tầng + 2 Hộc Kéo - 01 CáiBàn Làm Việc + 3 Ngăn Kéo - 01 Cái Kích Thước Phủ Bì ( Ngang x Sâu x Cao )cmKệ Sách 5 Tầng + 2 Hộc Kéo  (90 x 40 x ...
100102850,"Bàn Làm Việc, Học Tập Cá Nhân Hoặc 2 Người Hiện Đại, Tiện Nghi Thương Hiệu SIB Decor BLV54",3990000,5.0,9,SIB DECOR,,https://tiki.vn/ban-lam-viec-hoc-tap-ca-nhan-hoac-2-nguoi-hien-dai-tien-nghi-sib-decor-cho-hoc-sinh-sinh-vien-van-phong-khong-gom-ghe-p100102850.html?spid=100102854,"nội thất phòng học, làm việc",Nội thất,2,SIB DECOR,SIB Decor,Bàn ghế làm việc,"* Lắp ráp và vận chuyển:+ Tại TP.HCM: 100% freeship. SIB Decor giao tận nơi, lắp ráp hoàn thiện cho khách hàng tại TP.HCM (trừ khu vực Cần Giờ) thường từ 1-3 ngày (thứ 2 - thứ 7).+ Các tỉnh/Tp khác:..."
