id,name,price,rating,review_count,brand,seller,url,kw,group,page,brand_detail,seller_detail,categories,short_description
8853602,Kính bảo hộ lao động INGCO HSG05,40000,5.0,1,iNGCO,,https://tiki.vn/kinh-bao-ho-lao-dong-ingco-hsg05-p8853602.html?spid=32376791,bảo hộ lao động,Sửa chữa nhà cửa,1,iNGCO,A2 Merita,Kính bảo hộ lao động,Thương hiệu: INGCOMặt kính ngăn được tia cực tím và chịu được sự va đập mạnhCó thể sử dụng làm kính mát khi đi du lịch ...
8945879,Kính bảo hộ lao động INGCO HSG02,35000,4.2,15,iNGCO,,https://tiki.vn/kinh-bao-ho-lao-dong-ingco-hsg02-p8945879.html?spid=32376872,bảo hộ lao động,Sửa chữa nhà cửa,1,iNGCO,A2 Merita,Kính bảo hộ lao động,Thương hiệu: INGCOMã sản phẩm: HSG02Thương hiệu: INGCOCó khung nhựa PVC mềm và nhẹ cũng như thiết kế không khí độc đáoCác ống kính PC có cường độ caoCó độ trong suốt...
277567178,"Áo bảo hộ lao động, chất liệu thoáng mát, bền đẹp - Mã C17 (BIỂN)",165000,5.0,1,Linchido,,https://tiki.vn/ao-bao-ho-lao-dong-chat-lieu-thoang-mat-ben-dep-ma-c17-bien-p277567178.html?spid=277567184,bảo hộ lao động,Sửa chữa nhà cửa,1,Linchido,Linchido Store,Quần áo bảo hộ lao động,"Chất liệu: Vải kaki chéo 2/1, không bị xù lông.Tính năng: Bảo vệ cơ thể người mặc trước các yếu tố môi trường tại nơi làm việc.Khả năng vệ sinh: Vải được làm từ chất liệu polyester cao cấp dễ vệ si..."
277465295,Áo kaki bảo hộ lao động kèm phản quang 2.5 CM màu xanh - XA0019,185000,5.0,1,Linchido,,https://tiki.vn/ao-kaki-bao-ho-lao-dong-kem-phan-quang-2-5-cm-mau-xanh-xa0019-p277465295.html?spid=277465301,bảo hộ lao động,Sửa chữa nhà cửa,1,Linchido,Linchido Store,Nhà Cửa - Đời Sống,"Chất liệu: Vải kaki , không bị xù lông.Tính năng: Bảo vệ cơ thể người mặc trước các yếu tố môi trường tại nơi làm việc.Khả năng vệ sinh: Vải được làm từ chất liệu kaki cao cấp dễ vệ sinh vết bẩn như..."
183370487,QUẦN DÀI BẢO HỘ LAO ĐỘNG TOLSEN SIZE từ S- XXXL - HÀNG CHÍNH HÃNG,636190,5.0,1,Tolsen,,https://tiki.vn/quan-dai-bao-ho-lao-dong-tolsen-size-tu-s-xxxl-hang-chinh-hang-p183370487.html?spid=183370492,bảo hộ lao động,Sửa chữa nhà cửa,1,Tolsen,THẾ GIỚI XÂY DỰNG,Quần áo bảo hộ lao động,"TOLSEN là một thương hiệu nổi tiếng ở Châu Âu, các sản phẩm của TOLSEN được sử dụng rộng rãi tại các nước trên thế giới bao gồm cả Bắc Mỹ, Châu Mỹ La Tinh, Trung Đông …, với nhà máy sản xuất tại China..."
277914847,"Kính bảo hộ lao động 3M cao cấp Mỹ 11621AF chống bụi, chống hóa chất, chống sương mờ, kính phun thuốc trừ sâu",125000,5.0,1,3M,,https://tiki.vn/kinh-bao-ho-lao-dong-3m-cao-cap-my-11621af-chong-bui-chong-hoa-chat-chong-suong-mo-kinh-phun-thuoc-tru-sau-p277914847.html?spid=277914848,bảo hộ lao động,Sửa chữa nhà cửa,1,3M,Bảo Hộ Lao Động ECo,Kính bảo hộ lao động,"Kính bảo hộ 3M 11621AF là loại kính chất lượng cao được thiết kế để bảo vệ mắt khỏi bụi, mảnh văng, hóa chất nhẹ, và tia UV, đồng thời có lớp phủ chống đọng sương (AF - Anti-Fog) giúp sử dụng thoải má..."
249470877,"Giày Bảo Hộ Lao Động Nam Thể Thao US ARMY (GUYISA 105) Cao Cấp, Chống Thấm Nước Và Trơn Trượt, Giày Chống Đinh Tiêu Chuẩn Châu Âu -HÀNG CHÍNH HÃNG",898000,4.7,32,US ARMY,,https://tiki.vn/giay-bao-ho-lao-dong-nam-the-thao-us-army-guyisa-105-cao-cap-chong-tham-nuoc-va-tron-truot-giay-chong-dinh-tieu-chuan-chau-au-hang-chinh-hang-p249470877.html?spid=249470887,bảo hộ lao động,Sửa chữa nhà cửa,1,US ARMY,US ARMY OFFICIAL,Nhà Cửa - Đời Sống,CAM KẾT CỦA USARMY:BẢNG SIZE CHUẨN THEO SỐ ĐO NGƯỜI VIỆT NAM.HOÀN 100% GIÁ TRỊ ĐƠN HÀNG NẾU KHÔNG GIỐNG MÔ TẢHỖ TRỢ MIỄN PHÍ ĐỔI - TRẢ SẢN PHẨM MỌI TRƯỜNG HỢP.Shop US ARMY chuyên phân phối các mẫ...
8851689,Kính bảo hộ lao động INGCO HSG04,33000,3.6,10,iNGCO,,https://tiki.vn/kinh-bao-ho-lao-dong-ingco-hsg04-p8851689.html?spid=32376710,bảo hộ lao động,Sửa chữa nhà cửa,1,iNGCO,A2 Merita,Kính bảo hộ lao động,"Thương hiệu: INGCOSử dụng chất liệu nhựa dẻo có độ bền cao.Tầm nhìn rộngThiết kế ôm trọn, bảo vệ mắt an toàn khi có vật lạ bay vào.Sử dụng được nhiều nhu cầu như bảo vệ khi hàn, chống chói, chống..."
277305733,"Áo bảo hộ lao động, chất liệu thoáng mát, bền đẹp - Mã C06 (Lá)",165000,0.0,0,Linchido,,https://tiki.vn/ao-bao-ho-lao-dong-chat-lieu-thoang-mat-ben-dep-ma-c06-la-p277305733.html?spid=277305792,bảo hộ lao động,Sửa chữa nhà cửa,1,Linchido,Linchido Store,Quần áo bảo hộ lao động,"Chất liệu: Vải kaki chéo 2/1, không bị xù lông.Tính năng: Bảo vệ cơ thể người mặc trước các yếu tố môi trường tại nơi làm việc.Khả năng vệ sinh: Vải được làm từ chất liệu polyester cao cấp dễ vệ si..."
277318379,"Áo bảo hộ lao động, chất liệu thoáng mát, bền đẹp - Mã C19 (Bích)",165000,0.0,0,Linchido,,https://tiki.vn/ao-bao-ho-lao-dong-chat-lieu-thoang-mat-ben-dep-ma-c19-bich-p277318379.html?spid=277318385,bảo hộ lao động,Sửa chữa nhà cửa,1,Linchido,Linchido Store,Quần áo bảo hộ lao động,"Chất liệu: Vải kaki chéo 2/1, không bị xù lông.Tính năng: Bảo vệ cơ thể người mặc trước các yếu tố môi trường tại nơi làm việc.Khả năng vệ sinh: Vải được làm từ chất liệu polyester cao cấp dễ vệ si..."
