id,name,price,rating,review_count,brand,seller,url,kw,group,page,brand_detail,seller_detail,categories,short_description
56537855,Bộ dụng cụ sửa chữa đa năng chính hãng HAKAWA HK-850,2190000,4.6,97,HAKAWA,,https://tiki.vn/bo-dung-cu-sua-chua-da-nang-chinh-hang-hakawa-hk-850-p56537855.html?spid=56537856,dụng cụ sửa chữa nhà cửa,Sửa chữa nhà cửa,1,HAKAWA,Thang Nhôm HAKAWA,Nhà Cửa - Đời Sống,"HAKAWALà thương hiệu Nhật Bản với kim chỉ nam hoạt động vì khách hàng, vì vậy mỗi sản phẩm trao đến tay khách hàng đều phải được nghiên cứu tỉ mỉ về nhu cầu cần và đủ để cho ra những sản phẩm tốt nh..."
275910324,"Bộ dụng cụ sửa chữa đa năng 40 món dùng để sửa xe máy, ô tô - Hàng chính hãng",125000,5.0,2,VSP,,https://tiki.vn/bo-dung-cu-sua-chua-da-nang-40-mon-dung-de-sua-xe-may-o-to-hang-chinh-hang-p275910324.html?spid=275910325,dụng cụ sửa chữa nhà cửa,Sửa chữa nhà cửa,1,VSP,Tin Học Hoàng Kim,Bộ dụng cụ đa năng,"Bộ dụng cụ sửa chữa đa năng 40 món dùng để sửa xe máy, ô tô - Hàng chính hãng - Bộ dụng cụ sửa chữa đa năng 40 món Aiwa được thiết kế bao gồm 39 dụng cụ và 1 hộp đựng tiện lợi trong đó có 39 dụng c..."
276583134,[Cao Cấp] Túi Đồ Nghề Dụng Cụ Sửa Chữa Nắp Vuông Có Ngăn Phụ Kéo Khóa màu đen xám KIRITO,280000,5.0,2,Kirito,,https://tiki.vn/cao-cap-tui-do-nghe-dung-cu-sua-chua-nap-vuong-co-ngan-phu-keo-khoa-mau-den-xam-kirito-p276583134.html?spid=276583120,dụng cụ sửa chữa nhà cửa,Sửa chữa nhà cửa,1,Kirito,Dụng Cụ Anh Dũng,Nhà Cửa - Đời Sống,"Túi đựng đồ nghề kỹ thuật đủ kích thước To - Vừa - Nhỏ thích hợp đựng đồ nghề kỹ thuật, dụng cụ sửa chữa gia đình: Búa, khoan, tuavit, kéo... LOẠI THIẾT KẾ ĐẶC BIỆT NÓ HÌNH HỘP VÀ CÓ THIẾT KẾ NGĂN R..."
274656790,"Bộ Dụng Cụ Mở Bulong Ốc Vít Đa Năng 46 Chi Tiết, Không Han Gỉ Bộ Dụng Cụ Sửa Chữa Ôtô Xe Máy 46 Món Đa Năng",112000,5.0,1,Juntool,,https://tiki.vn/bo-dung-cu-mo-bulong-oc-vit-da-nang-46-chi-tiet-khong-han-gi-bo-dung-cu-sua-chua-oto-xe-may-46-mon-da-nang-p274656790.html?spid=274656791,dụng cụ sửa chữa nhà cửa,Sửa chữa nhà cửa,1,Juntool,Tổng Kho MB,Bộ dụng cụ đa năng," CHỨC NĂNG CƠ BẢN CỦA SẢN PHẨM Bộ tô vít đa năng 46 chi tiết sẽ là dụng cụ hữu ích giúp bạn sửa chữa xe máy, xe đạp, ô tô hay trang trí nhà một cách nhanh chóng và tiện lợi nhất.  - Bộ sản phẩm gồm ..."
278275711,Bộ dụng cụ sửa chữa 168 chi tiết HKTHP21681,1109000,0.0,0,iNGCO,,https://tiki.vn/bo-dung-cu-sua-chua-168-chi-tiet-hkthp21681-p278275711.html?spid=278275712,dụng cụ sửa chữa nhà cửa,Sửa chữa nhà cửa,1,iNGCO,Phố Xinh,Bộ dụng cụ đa năng,"Bộ dụng cụ cầm tay 168 mónBao gồm:1 búa nhổ đinh 8Oz1 kìm kết hợp 7""1 kìm mũi dài 6""1 kìm bơm 10""1 kìm tuốt dây 8,5""1 tua vít SL5,5*1001 tua vít PH1*1002 tua vít ngắn: PH2*38 SL6,5*384 tua v..."
75832412,Kéo Cắt Tôn KhoNCC - Cắt Tấm Alu - Cán Kéo Xài Bền - Dụng Cụ Khi Cần Sửa Chữa Nhà Cửa - KDHS-6261-KCT - Hàng Chính Hãng,134000,5.0,1,KHONCC,,https://tiki.vn/keo-cat-ton-khoncc-cat-tam-alu-can-keo-xai-ben-dung-cu-khi-can-sua-chua-nha-cua-kdhs-6261-kct-hang-chinh-hang-p75832412.html?spid=75832413,dụng cụ sửa chữa nhà cửa,Sửa chữa nhà cửa,1,KHONCC,NhaCungCap,Nhà Cửa - Đời Sống,"Là thiết bị cắt kim loại bằng tay sử dụng lực đẩy đòn bẩy để cắt kim loại, tấm kim loại cũng như cắt các chi tiết nhựa khác.Kéo cắt tôn dùng để cắt những tấm tôn, tôn lạnh dày một cách dễ dàng mà kh..."
278108970,Đai Nam Châm Đeo Tay Giữ Đinh Ốc – Dụng Cụ Hỗ Trợ Sửa Chữa Nhà Cửa Tiện Lợi Cho Thợ,169000,0.0,0,OEM,,https://tiki.vn/dai-nam-cham-deo-tay-giu-dinh-oc-dung-cu-ho-tro-sua-chua-nha-cua-tien-loi-cho-tho-p278108970.html?spid=278108971,dụng cụ sửa chữa nhà cửa,Sửa chữa nhà cửa,1,OEM,HoangTrung Shop,Nội thất khác,"BĂNG ĐAI ĐEO TAY NAM CHÂM GIỮ ĐINH VÍT – HỖ TRỢ SỬA CHỮA ĐA NĂNG, HÀNG CAO CẤP LOẠI TỐT NHẤTGiải Pháp Tiện Lợi Cho Thợ Sửa Chữa Chuyên NghiệpBạn thường xuyên làm việc với đinh vít, ốc, bu lông và gặ..."
278440073,Bộ Sửa Chữa Đa Năng 77 Chi Tiết – Dụng Cụ Gia Đình & Cơ Khí – Cao Cấp 510777 HARDEN,2500000,0.0,0,Kirito,,https://tiki.vn/bo-sua-chua-da-nang-77-chi-tiet-dung-cu-gia-dinh-co-khi-cao-cap-510777-harden-p278440073.html?spid=278440074,dụng cụ sửa chữa nhà cửa,Sửa chữa nhà cửa,1,Kirito,Dụng Cụ Anh Dũng,Sửa chữa nhà cửa,"                            Bộ Dụng Cụ Sửa Chữa Đa Năng 77 Món – Chất Lượng Cao | Đầy Đủ Đầu Tuýp, Kìm, Tua Vít, Dao Rọc Giấy     Mô tả sản phẩm:     Bộ dụng cụ sửa chữa tổng hợp 77 chi tiế..."
275910118,Bộ dụng cụ sửa chữa đa năng 16 món - Repairing Tool Set - Hàng chính hãng,195000,0.0,0,Qualcomm,,https://tiki.vn/bo-dung-cu-sua-chua-da-nang-16-mon-repairing-tool-set-hang-chinh-hang-p275910118.html?spid=275910119,dụng cụ sửa chữa nhà cửa,Sửa chữa nhà cửa,1,Qualcomm,Tin Học Hoàng Kim,Bộ dụng cụ đa năng,Bộ dụng cụ sửa chữa đa năng 16 món - Repairing Tool Set - Hàng chính hãngBộ dụng cụ sửa chữa 16 món tiện lợi cho gia đình bạnBộ dụng cụ sửa chữa gia đình đa năng có tới 16 dụng cụ khác nhau nhỏ gọn...
276602139, Bộ dụng cụ sửa chữa Mannesmann Werkzeugbox 155-teilig Made in Germany,4190000,0.0,0,Mannesmann,,https://tiki.vn/bo-dung-cu-sua-chua-mannesmann-werkzeugbox-155-teilig-made-in-germany-p276602139.html?spid=276602140,dụng cụ sửa chữa nhà cửa,Sửa chữa nhà cửa,1,Mannesmann,Telovietnam,"Thùng đồ nghề, túi công cụ",Hộp đựng dụng cụ gồm 155 phần - được sắp xếp rõ ràng và tiết kiệm không gianỔn định và chắc chắn nhờ thép tấmHộp công cụ với hai ngăn kéo chạy trơn truNgăn nắp có khóaVới tay cầm thiết thực - luôn...
