id,name,price,rating,review_count,brand,seller,url,kw,group,page,brand_detail,seller_detail,categories,short_description
275883502,"Hóa chất vệ sinh dầu mỡ đa năng- Siêu sạch, an toàn, chính hãng giá rẻ nhất",2250000,0.0,0,Adana,,https://tiki.vn/hoa-chat-ve-sinh-dau-mo-da-nang-sieu-sach-an-toan-chinh-hang-gia-re-nhat-p275883502.html?spid=275883503,"sơn, dầu mỡ, hóa chất",Sửa chữa nhà cửa,1,Adana,Hóa chất tẩy rửa điều hòa,Hóa chất,"Hóa chất tẩy dầu mỡ đa năng siêu sạch, an toàn, hàng chính hãng, giá rẻ C90 Tẩy sạch, an toàn với tất cả các bề mặt, vật liệu như sắt thép, nhôm đồng, nhựa, cao ặt sàn nhà bếp, công xưởAn toàn với co..."
275883499,"Hóa chất vệ sinh dầu mỡ đa năng- Siêu sạch, an toàn, chính hãng giá rẻ nhất",2250000,0.0,0,Adana,,https://tiki.vn/hoa-chat-ve-sinh-dau-mo-da-nang-sieu-sach-an-toan-chinh-hang-gia-re-nhat-p275883499.html?spid=275883500,"sơn, dầu mỡ, hóa chất",Sửa chữa nhà cửa,1,Adana,Hóa chất tẩy rửa điều hòa,Hóa chất,"Hóa chất tẩy dầu mỡ đa năng siêu sạch, an toàn, hàng chính hãng, giá rẻ C90 Tẩy sạch, an toàn với tất cả các bề mặt, vật liệu như sắt thép, nhôm đồng, nhựa, cao ặt sàn nhà bếp, công xưởAn toàn với co..."
134267706,Hóa Chất Tẩy Rỉ Sắt Thép (2 Lít),250000,5.0,3,Antiwa,,https://tiki.vn/hoa-chat-tay-ri-sat-thep-2-lit-p134267706.html?spid=134267707,"sơn, dầu mỡ, hóa chất",Sửa chữa nhà cửa,1,Antiwa,Chống Thấm Antiwa,Hóa chất,"Rỉ sắt là chất màu nâu đỏ xuất hiện trên bề mặt sắt, thép khi để lâu ngoài môi trường do quá trình oxi hóa tạo nên. Rỉ sắt làm cho sắt và thép yếu đi nên cần phải loại bỏ ngay trước khi sử dụng để độ..."
102007363,"Sơn xịt ATM Spray đa năng chống ăn mòn và gỉ sét, dễ sử dụng xịt trên mọi chất liệu cao cấp",38000,5.0,2,ATM,,https://tiki.vn/son-xit-atm-spray-da-nang-chong-an-mon-va-gi-set-de-su-dung-xit-tren-moi-chat-lieu-cao-cap-p102007363.html?spid=112945361,"sơn, dầu mỡ, hóa chất",Sửa chữa nhà cửa,1,ATM,Tuấn Yến HCM,Sơn,"Sơn xịt ATM Spray đa năng chống ăn mòn và gỉ sét, dễ sử dụng xịt trên mọi chất liệu cao cấpSơn xịt ATM là hỗn hợp nhựa NC và Acrylic Lacquer phối hợp cùng chất tạo màu đặc biệt , được đóng gói dưới d..."
275754344,Hóa chất tẩy rửa dầu mỡ C90 Oil,2250000,0.0,0,Adana,,https://tiki.vn/hoa-chat-tay-rua-dau-mo-c90-oil-p275754344.html?spid=275754345,"sơn, dầu mỡ, hóa chất",Sửa chữa nhà cửa,1,Adana,Hóa chất tẩy rửa điều hòa,Hóa chất,"Tên gọi: Hóa chất tẩy rửa dầu mỡ C90 OilCông dụng:-Tẩy dầu mỡ bụi nhớt, cặn dầu, cặn bụi dầu, máy móc thiết bị công nghiệp-Tẩy dầu mỡ nhà bếp công nghiệp, mặt bếp, sàn nhà có dính dầu mỡ-Bụi dầu, ..."
275842654,Hóa chất tẩy dầu bụi dầu trên dàn trao đổi nhiệt an toàn siêu tiết kiệm,2250000,0.0,0,Adana,,https://tiki.vn/hoa-chat-tay-dau-bui-dau-tren-dan-trao-doi-nhiet-an-toan-sieu-tiet-kiem-p275842654.html?spid=275842655,"sơn, dầu mỡ, hóa chất",Sửa chữa nhà cửa,1,Adana,Hóa chất tẩy rửa điều hòa,Hóa chất,"Hóa chất tẩy dầu bụi dầu trên bề mặt dàn trao đổi nhiệtChuyên dùng:-Tẩy dầu mỡ, cặn nhớt cặn bụi, cặn dầu, cặn mủn hữu cơ bám dính trên bề mặt của dàn trao đổi nhiệt, dàn lạnh AHU, bề mặt máy móc,..."
78622845,SƠN PHỦ NỘI THẤT CAO CẤP TOA THOẢI MÁI LAU CHÙI BÓNG MỜ,159000,5.0,1,TOA,,https://tiki.vn/son-phu-noi-that-cao-cap-toa-thoai-mai-lau-chui-bong-mo-p78622845.html?spid=78622851,"sơn, dầu mỡ, hóa chất",Sửa chữa nhà cửa,1,TOA,Sơn Toa Tkg Hạnh Phúc,Sơn,"THÔNG SỐ KỸ THUẬTMàu sắc:Theo bảng màu và quạt màu TOAThành phần:Chất tạo màng (20% - 40%), Bột khoáng (15% - 30%), Nước (20% - 30%)Thời gian khô:- Khô bề mặt:30 phút- Thời gian sơn lớp kế tiế..."
132847077,"Sơn Bóng PU Tự Nhiên- Chống mối mọt,chống kiềm, ẩm mốc, Độ phủ cao Loại 1KG- SON Đồ Gỗ Cao Cấp - Hàng chính hãng",91000,4.5,10,SON Đồ Gỗ Cao Cấp,,https://tiki.vn/son-bong-pu-tu-nhien-chong-moi-mot-chong-kiem-am-moc-do-phu-cao-loai-1kg-son-do-go-cao-cap-hang-chinh-hang-p132847077.html?spid=132847915,"sơn, dầu mỡ, hóa chất",Sửa chữa nhà cửa,1,SON Đồ Gỗ Cao Cấp,Sơn Đồ Gỗ Việt Nam,Sơn,"TÊN SẢN PHẨM: Sơn Bóng PU Tự Nhiên - Chống mối mọt,chống kiềm, ẩm mốc, Độ phủ cao ( nhiều thịt ) - Loại 1Kg1. Đặc tính kỹ thuật của Bóng PU Tự Nhiên- Màu sắc: Tùy từng sản phẩm.- Độ bóng: 0 - 100%- K..."
275796682,"Chất tẩy dầu mỡ dùng cho bếp công nghiệp, lò nướng- tẩy sạch dầu mỡ cáu két lâu ngày, tiết kiệm chi phí, an toàn cho thiết bị và người sử dụng- hóa chất C90 Oil",2250000,0.0,0,Adana,,https://tiki.vn/chat-tay-dau-mo-dung-cho-bep-cong-nghiep-lo-nuong-tay-sach-dau-mo-cau-ket-lau-ngay-tiet-kiem-chi-phi-an-toan-cho-thiet-bi-va-nguoi-su-dung-hoa-chat-c90-oil-p275796682.html?spid=275796683,"sơn, dầu mỡ, hóa chất",Sửa chữa nhà cửa,1,Adana,Hóa chất tẩy rửa điều hòa,Hóa chất,"Chất tẩy dầu mỡ dùng cho bếp công nghiệp, lò nướng- tẩy sạch dầu mỡ cáu két lâu ngày, tiết kiệm chi phí, an toàn cho thiết bị và người sử dụngVới chiết xuất từ tự nhiên cùng các chất hoạt động bề mặt..."
275796882,"Hóa chất tẩy dầu mỡ máy móc cực mạnh- C90 Oil- công thức vượt trội tẩy siêu sạch, siêu nhanh - an toàn, tiết kiệm",2250000,0.0,0,Adana,,https://tiki.vn/hoa-chat-tay-dau-mo-may-moc-cuc-manh-c90-oil-cong-thuc-vuot-troi-tay-sieu-sach-sieu-nhanh-an-toan-tiet-kiem-p275796882.html?spid=275796883,"sơn, dầu mỡ, hóa chất",Sửa chữa nhà cửa,1,Adana,Hóa chất tẩy rửa điều hòa,Hóa chất,"Hóa chất tẩy dầu mỡ máy móc cực mạnh- C90 OilCông dụng:-Dùng trong tẩy rửa vệ sinh dầu mỡ máy, cặn dầu, cặn nhớt, cặn bụi dầu, trên bề mặt thiết bị máy móc, động cơ- Vệ sinh dầu mỡ trong bếp, dụng ..."
