id,name,price,rating,review_count,brand,seller,url,kw,group,page,brand_detail,seller_detail,categories,short_description
28624165,"Thang nhôm rút gọn SUMIKA SK440 - Chiều cao tối đa 4.4m, hợp kim nhôm cao cấp",2009000,4.6,346,Sumika,,https://tiki.vn/thang-nhom-rut-gon-sumika-sk440-chieu-cao-toi-da-4-4m-hop-kim-nhom-cao-cap-p28624165.html?spid=28624166,thang nhôm,Sửa chữa nhà cửa,1,Sumika,Home Star Store,Thang nhôm rút,"Thiết kế rút gọn, ứng dụng rộng rãiThang Nhôm Rút Gọn Sumika SK440 được thiết kế thông minh với kiểu rút gọn, bạn có thể sử dụng ở nhiều độ cao khác nhau bằng cách kéo lên, rút xuống linh hoạt. Sản ..."
83344636,Thang nhôm rút gọn NIKITA - Nhiều kích thước lựa chọn,1239000,5.0,17,Nikita,,https://tiki.vn/thang-nhom-rut-gon-nikita-nhieu-kich-thuoc-lua-chon-p83344636.html?spid=95253219,thang nhôm,Sửa chữa nhà cửa,1,Nikita,NIKITA Store,Thang nhôm rút,"THANG NHÔM RÚT ĐƠNNIKITA  THANG NHÔM RÚT ĐƠN NIKITAMang những ưu điểm của dòng thang dã chiến theo bạn đi đến mọi nơiTrọng lượng nhẹ, kích thước gọn giúp bạn dễ dang mang theo trên mọi phương t..."
270140007,"Thang nhôm rút gọn SUMIKA SKB320 - Chiều cao tối đa 3.2m, chiều cao rút gọn 0.78m, tải trọng 300kg",1463000,0.0,0,Sumika,,https://tiki.vn/thang-nhom-rut-gon-sumika-skb320-chieu-cao-toi-da-3-2m-chieu-cao-rut-gon-0-78m-tai-trong-300kg-p270140007.html?spid=270140008,thang nhôm,Sửa chữa nhà cửa,1,Sumika,SUMIKA Official Store,Thang nhôm rút,"Thang nhôm rút gọn SUMIKA SKB320 - Chiều cao tối đa 3.2m, chiều cao rút gọn 0.78m, tải trọng 300kg   Đặc điểm nối bật của thang rút nhôm SUMIKA SKB320 - Đai xanhĐể sản xuất một chiếc thang rút ..."
42097088,Thang nhôm  Nikita NKT-Nika25,2436000,4.7,3,Nikita,,https://tiki.vn/thang-nhom-nikita-nkt-nika25-p42097088.html?spid=95311691,thang nhôm,Sửa chữa nhà cửa,1,Nikita,NIKITA Store,Thang nhôm chữ A, THANG NHÔM KHÓA SẬP TỰ ĐỘNGNIKITA  NHIỀU KÍCH THƯỚC LỰA CHỌN   ĐẶC ĐIỂM THANG KHÓA SẬP CHỮ A - NIKITA    ỨNG DỤNG ĐA DẠNG TRONG CUỘC SỐNG  NIKITALà thương hiệu hàng đầu trong...
273122223,"Thang nhôm ghế chữ a Nikawa NKS , 4 bậc , nhập khẩu Nhật bảo hành chính hãng 18 tháng",1360000,5.0,2,Nikawa,,https://tiki.vn/thang-ghe-nikawa-nks-04-p273122223.html?spid=273122224,thang nhôm,Sửa chữa nhà cửa,1,Nikawa,Nikawa Official Store,Thang nhôm ghế," * CHỨNG NHẬN CHẤT LƯỢNG- Thang nhôm có giấy chứng nhận đạt tiêu chuẩn Châu u EN131, giấy chứng nhận GS, CE đã được phê duyệt.- Bậc ghế sản xuất bằng chất liệu nhôm T6063 đáp ứng tiêu chuẩn EU.- T..."
74570814,"Thang nhôm gấp 4 đoạn JUMBO B303, chữ A - 1.7m, chữ I - 3.5m, 14 tư thế sử dụng, tải trọng 300kg, sơn tĩnh điện",1597000,4.6,15,JUMBO Ladder,,https://tiki.vn/thang-nhom-gap-4-doan-jumbo-b303-chu-a-1-7m-chu-i-3-5m-14-tu-the-su-dung-tai-trong-300kg-son-tinh-dien-p74570814.html?spid=74570815,thang nhôm,Sửa chữa nhà cửa,1,JUMBO Ladder,Home Star Store,Nhà Cửa - Đời Sống,"Chiều cao tối đa chữ A là 1.7M, duỗi thẳng thành chữ I là 3.5M, 14 tư thế sử dụng.Được sơn tĩnh điện nên sẽ có tuổi thọ cao, độ bóng và mịn tuyêt đối. Có khả năng chống ăn mòn rất tốt kể cả sản phẩm..."
34709293,Thang nhôm Nikita NKT- NIKA20,1900000,4.6,33,Nikita,,https://tiki.vn/thang-nhom-nikita-nkt-nika20-p34709293.html?spid=34709294,thang nhôm,Sửa chữa nhà cửa,1,Nikita,NIKITA Store,Thang nhôm ghế,THANG NHÔM KHÓA SẬP TỰ ĐỘNGNIKITA  NHIỀU KÍCH THƯỚC LỰA CHỌN   ĐẶC ĐIỂM THANG KHÓA SẬP CHỮ A - NIKITA    ỨNG DỤNG ĐA DẠNG TRONG CUỘC SỐNG  NIKITALà thương hiệu hàng đầu trong l...
34438364,Thang nhôm tay vịn khung INOX Nikita NKT-IN04,1198000,5.0,13,Nikita,,https://tiki.vn/thang-nhom-tay-vin-khung-inox-nikita-nkt-in04-p34438364.html?spid=34438365,thang nhôm,Sửa chữa nhà cửa,1,Nikita,NIKITA Store,Thang nhôm ghế,"CHI TIẾT SẢN PHẨM CHI TIẾT SẢN PHẨM: Chiều cao sử dụng: 0,8 m Kích thước gấp gọn: 1.32 x 0.42 x 0.1 m Trọng lượng : 3,8 kg Số bậc : 04 bậc Kích thước bậc trên cùng: 13 x 24 cm Chất liệu : INOX ..."
34395296,Thang nhôm tay vịn khung INOX Nikita NKT-IN07,1089000,4.5,13,Nikita,,https://tiki.vn/thang-nhom-tay-vin-khung-inox-nikita-nkt-in07-p34395296.html?spid=34395298,thang nhôm,Sửa chữa nhà cửa,1,Nikita,NIKITA Store,Nhà Cửa - Đời Sống,"Thang nhôm tay vịn khung INOX Nikita NKT-IN07     KÍCH THƯỚC SẢN PHẨM  THÔNG SỐ CHI TIẾT  CHI TIẾT SẢN PHẨM  Thang ghế INOX được sản xuất theo mẫu Châu Âu  tiêu chuẩn EN 131, phầ..."
28659189,"Thang nhôm rút gọn SUMIKA SK510 - Chiều cao tối đa 5.1m, hợp kim nhôm cao cấp",1978000,4.7,134,Sumika,,https://tiki.vn/thang-nhom-rut-gon-sumika-sk510-chieu-cao-toi-da-5-1m-hop-kim-nhom-cao-cap-p28659189.html?spid=28659190,thang nhôm,Sửa chữa nhà cửa,1,Sumika,SUMIKA Official Store,Nhà Cửa - Đời Sống,"Thang rút nhôm Sumika SK510 rất thích hợp cho cả trong nhà, ngoài trời, một trong nhiều những lợi ích của thang rút nhôm đó chính là thiết kế cho phép chiều dài thang được tùy chỉnh đơn giản bằng cách..."
