id,name,price,rating,review_count,brand,seller,url,kw,group,page,brand_detail,seller_detail,categories,short_description
36874849,Thùng đựng đồ nghề Truper 19656,275000,4.5,22,truper,,https://tiki.vn/thung-dung-do-nghe-truper-19656-p36874849.html?spid=46602750,"thùng đồ nghề, túi công cụ",Sửa chữa nhà cửa,1,truper,Thiết Bị Dụng Cụ,"Thùng đồ nghề, túi công cụ",- Kích thước: 45 x 24 x 23cm- Có thể chịu tải trọng lớn- Có chốt gài khá chắc chắn- Thùng làm từ nhựa tổng hợp cao cấp nên không bị mài mòn theo thời gian- Trọng lượng: 1kg...
36938439,Thùng đựng đồ nghề Truper 11506,527000,4.3,72,truper,,https://tiki.vn/thung-dung-do-nghe-truper-11506-p36938439.html?spid=46602409,"thùng đồ nghề, túi công cụ",Sửa chữa nhà cửa,1,truper,Thiết Bị Dụng Cụ,Nhà Cửa - Đời Sống,- Kích thước: 59 x 25 x 27cm- Có thể chịu tải trọng lớn- Có chốt gài khá chắc chắn- Thùng làm từ nhựa tổng hợp cao cấp nên không bị mài mòn theo thời gian- Trọng lượng: 1kg...
276349168,"Hộp, Thùng đựng đồ nghề đủ size 16/18/20'' Kapusi Japan - Hộp đựng dụng cụ đa năng cầm tay",140000,4.5,2,KAPUSI,,https://tiki.vn/hop-thung-dung-do-nghe-du-size-16-18-20-kapusi-japan-hop-dung-dung-cu-da-nang-cam-tay-p276349168.html?spid=276349285,"thùng đồ nghề, túi công cụ",Sửa chữa nhà cửa,1,KAPUSI,Dụng Cụ Anh Dũng,"Thùng đồ nghề, túi công cụ",MÔ TẢ SẢN PHẨM* THÔNG SỐ KỸ THUẬT- Hộp đựng dụng cụ có 3 loại:+ Thùng đồ nghề KAPUSI 16'' (Cỡ nhỏ): 37 x 19 x 19cm + Thùng đồ nghề KAPUSI 18'' (Cỡ trung): 41 x 22 x 19cm + Thùng đồ nghề KA...
36876725,Thùng đựng đồ nghề Pretul 20533 - 19Inch,234000,4.6,63,pretul,,https://tiki.vn/thung-dung-do-nghe-pretul-20533-19inch-p36876725.html?spid=46602300,"thùng đồ nghề, túi công cụ",Sửa chữa nhà cửa,1,pretul,Thiết Bị Dụng Cụ,"Thùng đồ nghề, túi công cụ",Thùng đựng đồ nghề Pretul 20533 - 19Inch (48x22x22cm)Kích thước: DxRxC = 48x22x22cmTrọng lượng thùng: 1.2Kg...
72913163,Thùng đựng đồ nghề 14in (36x20x17cm) Truper - 19854 - CHA-14N,170000,4.8,8,truper,,https://tiki.vn/thung-dung-do-nghe-14in-36x20x17cm-truper-19854-cha-14n-p72913163.html?spid=72913164,"thùng đồ nghề, túi công cụ",Sửa chữa nhà cửa,1,truper,Thiết Bị Dụng Cụ,"Thùng đồ nghề, túi công cụ",hông số kĩ thuật- Mã sản phẩm: 19854- Thương hiệu: Truper- Xuất xứ thương hiệu: Mexico- Sản xuất: Trung Quốc- Chất liệu nhựa- Có thể chịu tải trọng tốt- Có chốt khóa - Kích thước: 36x20x17cm- Trọng lư...
72914839,Thùng đựng đồ nghề 16in (41x23x22cm) CHA-16NC Truper - 11141,245000,4.3,4,truper,,https://tiki.vn/thung-dung-do-nghe-16in-41x23x22cm-cha-16nc-truper-11141-p72914839.html?spid=72914840,"thùng đồ nghề, túi công cụ",Sửa chữa nhà cửa,1,truper,Thiết Bị Dụng Cụ,"Thùng đồ nghề, túi công cụ",Thông số kĩ thuật- Mã sản phẩm: 11141- Thương hiệu: Truper- Xuất xứ thương hiệu: Mexico- Chất liệu nhựa- Có thể chịu tải trọng tốt- Có chốt khóa - Kích thước: 41x23x22cm- Trọng lượng: 2kg...
278445922,Túi đựng đồ nghề sửa chữa thương hiệu Kapusi tools - TÚI ĐẾ VẢI,200000,4.0,1,KAPUSI,,https://tiki.vn/tui-dung-do-nghe-sua-chua-thuong-hieu-kapusi-tools-p278445922.html?spid=278445924,"thùng đồ nghề, túi công cụ",Sửa chữa nhà cửa,1,KAPUSI,Dụng Cụ Anh Dũng,Sửa chữa nhà cửa,       Size     15: 35x20x23cm     17:42x22x25cm     20:47x22x28cm     - Chất liệu: Túi vải bố có quai xách     2 Ưu điểm sản phẩm túi đồ nghề:     - Giỏ đựng dụng cụ chất liệu vải bố chắc c...
72913266,Thùng đựng đồ nghề 16in Truper 19790 (CHA-16N),230000,4.8,13,pretul,,https://tiki.vn/thung-dung-do-nghe-16in-truper-19790-cha-16n-p72913266.html?spid=72913267,"thùng đồ nghề, túi công cụ",Sửa chữa nhà cửa,1,pretul,Thiết Bị Dụng Cụ,"Thùng đồ nghề, túi công cụ",Thông số kĩ thuật- Mã sản phẩm: 19790- Thương hiệu: Truper- Xuất xứ thương hiệu: Mexico- Sản xuất: Trung Quốc- Chất liệu nhựa- Có thể chịu tải trọng tốt- Có chốt khóa - Kích thước: 41x23x22cm- Trọng l...
53551174,Thùng đồ nghề 23in - (59 x 25 x 27cm) Truper - CHP-23X,485000,4.5,19,truper,,https://tiki.vn/thung-do-nghe-23in-59-x-25-x-27cm-truper-chp-23x-p53551174.html?spid=53551175,"thùng đồ nghề, túi công cụ",Sửa chữa nhà cửa,1,truper,Thiết Bị Dụng Cụ,Nhà Cửa - Đời Sống,Thùng đựng đồ nghề Truper 11506 (CHP-23X)Thùng đựng đồ nghề Truper 11506 có kích thước là 59 x 25 x 27cm (23 inch) khá là rộng rã tha hồ mà đựng đồ nghề cầm tay. Sản phẩm được làm từ chất liệu nhựa t...
248566126,"Túi đựng đồ nghề Mini, Túi đồ nghề mẫu mới 3 ngăn hàng nhập khẩu - Điện Lạnh Thuận Dung",150000,4.8,4,Thuận Dung,,https://tiki.vn/tui-dung-do-nghe-mini-tui-do-nghe-mau-moi-3-ngan-hang-nhap-khau-dien-lanh-thuan-dung-p248566126.html?spid=248566130,"thùng đồ nghề, túi công cụ",Sửa chữa nhà cửa,1,Thuận Dung,VẬT TƯ ĐIỆN LẠNH THUẬN DUNG,"Thùng đồ nghề, túi công cụ"," Túi đựng đồ nghề Mini, Túi đồ nghề mẫu mới 3 ngăn ĐIỆN LẠNH THUẬN DUNG Cam KếtTất cả sản phẩm đều được test và đóng gói nghiêm chỉnh trước khi chuyển cho kháchHình sản phẩm là hình thật Shop chụp ..."
