id,name,price,rating,review_count,brand,seller,url,kw,group,page,brand_detail,seller_detail,categories,short_description
276642764,Combo Trang trí nhà đón Noel,315000,0.0,0,3M,,https://tiki.vn/combo-trang-tri-nha-don-noel-p276642764.html?spid=276642766,trang trí nhà cửa khác,Trang trí nhà cửa,1,3M,Vinacare Store,Trang trí nhà cửa khác,"Mẹo dọn dẹp nhà cửa trước Tết không chỉ giúp không gian trở nên gọn gàng, sạch sẽ một cách nhanh chóng và hiệu quả, mà còn tạo ra một môi trường sống thoải mái và tích cực cho cả gia đình. Dưới đây là..."
275522772,"Chậu sen đá trang trí - Cây giả, hoa lụa Decor trang trí nhà cửa",155000,4.0,1,ZooZoo,,https://tiki.vn/chau-sen-da-trang-tri-cay-gia-hoa-lua-decor-trang-tri-nha-cua-p275522772.html?spid=275522776,trang trí nhà cửa khác,Trang trí nhà cửa,1,ZooZoo,1 Click,Hoa trang trí,"Chậu sen đá trang trí - Cây giả, hoa lụa trang trí nhà cửaMời bạn ghé thăm gian hàng shop để khám phá các sản phẩm & ưu đãi hấp dẫn.ƯU ĐIỂM SẢN PHẨM :Cây sen đá phù hợp trang trí cả ngoài &am..."
275567868,"Cụm rong mốc trang trí cắm điểm siêu xinh - Cây giả, hoa lụa Decor trang trí nhà cửa",48000,0.0,0,ZooZoo,,https://tiki.vn/cum-rong-moc-trang-tri-cam-diem-sieu-xinh-cay-gia-hoa-lua-decor-trang-tri-nha-cua-p275567868.html?spid=275567869,trang trí nhà cửa khác,Trang trí nhà cửa,1,ZooZoo,1 Click,Hoa trang trí,"Cụm rong mốc trang trí cắm điểm siêu xinh - Cây giả, hoa lụa Decor trang trí nhà cửaƯU ĐIỂM SẢN PHẨM :Cây sẽ không bao giờ khô héo và rụng.Không cần tốn công chăm sóc, tưới hay tỉa cây.Tính ..."
275543878,"Thảm cỏ nhân tạo 3cm -Cây giả, hoa lụa Decor trang trí nhà cửa",149000,0.0,0,ZooZoo,,https://tiki.vn/tham-co-nhan-tao-3cm-cay-gia-hoa-lua-decor-trang-tri-nha-cua-p275543878.html?spid=275543879,trang trí nhà cửa khác,Trang trí nhà cửa,1,ZooZoo,1 Click,Hoa trang trí,"Thảm cỏ nhân tạo 3cm -Cây giả, hoa lụa Decor trang trí nhà cửaGhé thăm gian hàng của shop để khám phá các ưu đãi và sản phẩm hấp dẫn.Thông tin sản phẩm:Thảm cỏ có ngọn cao 3cm.Màu sắc xanh mướ..."
276715635,"Chậu cây hàng rào gỗ nâu trang trí nhà cửa, nhà hàng, cafe - Cây giả, hoa lụa Decor trang trí nhà cửa",388000,0.0,0,ZooZoo,,https://tiki.vn/chau-cay-hang-rao-go-nau-trang-tri-nha-cua-nha-hang-cafe-cay-gia-hoa-lua-decor-trang-tri-nha-cua-p276715635.html?spid=276715637,trang trí nhà cửa khác,Trang trí nhà cửa,1,ZooZoo,1 Click,Hoa trang trí,"ƯU ĐIỂM SẢN PHẨM :Chất liệu cao cấp, giống thật 99%.Ứng dụng trong trang trí Đạo cụ chụp ảnh sản phẩm trang trí bàn ăn, nhà bếp, quán cafe trà sữ, trang trí tủ bằng trang điểm giá sách...Tuổi..."
276663895,"Cây thần diệu giả 170cm không chậu trang trí, decor nhà cửa, quán cafe",1613000,0.0,0,ZooZoo,,https://tiki.vn/cay-than-dieu-gia-170cm-khong-chau-trang-tri-decor-nha-cua-quan-cafe-p276663895.html?spid=276663896,trang trí nhà cửa khác,Trang trí nhà cửa,1,ZooZoo,1 Click,Hoa trang trí,"Giá sản phẩm đã làm thành cây hoàn thiện không chậu ƯU ĐIỂM SẢN PHẨM :Chất liệu cao cấp, giống thật 99%.Ứng dụng trong trang trí Đạo cụ chụp ảnh sản phẩm, trang trí bàn ăn,nhà bếp, quán cafe tr..."
278520905,"Mô hình tháp effiel trang trí nhà cửa decor bàn ăn, đàn piano, nhà bếp, phòng khách, bàn làm việc - Hàng chính hãng",119000,0.0,0,SUZIN,,https://tiki.vn/mo-hinh-thap-effiel-trang-tri-nha-cua-decor-ban-an-dan-piano-nha-bep-phong-khach-ban-lam-viec-hang-chinh-hang-p278520905.html?spid=278520906,trang trí nhà cửa khác,Trang trí nhà cửa,1,SUZIN,Hoàng Hải Store,Mô hình trang trí nhà cửa,"Thiết kế độc đáo, tinh tế, sang trọngLàm nổi bật không gian phòng làm việc, nhà bếp, kệ tivi, đàn pianoKích thước sản phẩm: 9cm x 22cmTrọng lượng 0.11kg ..."
275491140,"Quả thông khô trang trí Noel - Cây giả, hoa lụa trang trí nhà cửa",4000,0.0,0,ZooZoo,,https://tiki.vn/qua-thong-kho-trang-tri-noel-cay-gia-hoa-lua-trang-tri-nha-cua-p275491140.html?spid=275491142,trang trí nhà cửa khác,Trang trí nhà cửa,1,ZooZoo,1 Click,Hoa trang trí,"Quả thông khô trang trí Noel - Cây giả, hoa lụa trang trí nhà cửaMời bạn ghé thăm gian hàng shop để khám phá các sản phẩm & ưu đãi hấp dẫn.ƯU ĐIỂM SẢN PHẨM :Quả thông khô được sử dụng làm phụ..."
276643088,Combo nhà cửa gọn gàng đón Tết,739000,0.0,0,3M,,https://tiki.vn/combo-nha-cua-gon-gang-don-tet-p276643088.html?spid=276643090,trang trí nhà cửa khác,Trang trí nhà cửa,1,3M,Vinacare Store,Trang trí nhà cửa khác,"Mẹo dọn dẹp nhà cửa trước Tết không chỉ giúp không gian trở nên gọn gàng, sạch sẽ một cách nhanh chóng và hiệu quả, mà còn tạo ra một môi trường sống thoải mái và tích cực cho cả gia đình. Dưới đây là..."
276663215,"Hàng rào lá xanh nhân tạo - Tấm lá vạn niên thanh 1m*3m trang trí nhà cửa ban công - Cây giả, hoa lụa Decor trang trí nhà cửa",347000,0.0,0,ZooZoo,,https://tiki.vn/hang-rao-la-xanh-nhan-tao-tam-la-van-nien-thanh-1m-3m-trang-tri-nha-cua-ban-cong-cay-gia-hoa-lua-decor-trang-tri-nha-cua-p276663215.html?spid=276663216,trang trí nhà cửa khác,Trang trí nhà cửa,1,ZooZoo,1 Click,Hoa trang trí,Mời bạn ghé thăm gian hàng shop để khám phá các sản phẩm & ưu đãi hấp dẫn.ƯU ĐIỂM SẢN PHẨM :Hàng Rào Lá nhân tạo được dệt thành tấm lưới nhựa khổ 1m x3m có thể được tháo ra hoặc hoán đổi cho nh...
275544518,"Vòng trang trí Tết - Khung decor hoa -Kích thước 40cm - Cây giả, hoa lụa Decor trang trí nhà cửa - Mẫu 1",198000,0.0,0,ZooZoo,,https://tiki.vn/vong-trang-tri-tet-khung-decor-hoa-kich-thuoc-40cm-cay-gia-hoa-lua-decor-trang-tri-nha-cua-p275544518.html?spid=275544520,trang trí nhà cửa khác,Trang trí nhà cửa,2,ZooZoo,1 Click,Hoa trang trí,"Vòng trang trí Tết - Khung decor hoa -Kích thước 40cm - Cây giả, hoa lụa Decor trang trí nhà cửaMời bạn ghé thăm gian hàng shop để khám phá các sản phẩm & ưu đãi hấp dẫn.Ưu điểm và công dụng :..."
275544085,"Vòng trang trí Tết - Khung decor hoa -Kích thước 40cm - Cây giả, hoa lụa Decor trang trí nhà cửa - Mẫu 2",198000,0.0,0,ZooZoo,,https://tiki.vn/vong-trang-tri-tet-khung-decor-hoa-kich-thuoc-40cm-cay-gia-hoa-lua-decor-trang-tri-nha-cua-p275544085.html?spid=275544089,trang trí nhà cửa khác,Trang trí nhà cửa,2,ZooZoo,1 Click,Hoa trang trí,"Vòng trang trí Tết - Khung decor hoa -Kích thước 40cm - Cây giả, hoa lụa Decor trang trí nhà cửaMời bạn ghé thăm gian hàng shop để khám phá các sản phẩm & ưu đãi hấp dẫn.Ưu điểm và công dụng :..."
275477912,"Dương xỉ trang trí - Dài 25cm - Đường kính 50cm - Cây giả, hoa lụa Decor trang trí nhà cửa",52000,0.0,0,ZooZoo,,https://tiki.vn/duong-xi-trang-tri-dai-25cm-duong-kinh-50cm-cay-gia-hoa-lua-decor-trang-tri-nha-cua-p275477912.html?spid=275477916,trang trí nhà cửa khác,Trang trí nhà cửa,2,ZooZoo,1 Click,Hoa trang trí,"Dương xỉ trang trí - Dài 25cm - Đường kính 50cm - Cây giả, hoa lụa Decor trang trí nhà cửaMời bạn truy cập gian hàng của shop để khám phá nhiều ưu đãi & sản phẩm hấp dẫn.ƯU ĐIỂM SẢN PHẨM :Chấ..."
276660513,"Thảm rêu giả làm tường sen đá, tiểu cảnh - Cây giả, hoa lụa Decor trang trí nhà cửa",563000,0.0,0,ZooZoo,,https://tiki.vn/tham-reu-gia-lam-tuong-sen-da-tieu-canh-cay-gia-hoa-lua-decor-trang-tri-nha-cua-p276660513.html?spid=276660515,trang trí nhà cửa khác,Trang trí nhà cửa,2,ZooZoo,1 Click,Hoa trang trí,"Thảm rêu giả làm tường sen đá, tiểu cảnh - Cây giả, hoa lụa Decor trang trí nhà cửaGhé thăm gian hàng của shop để khám phá các ưu đãi và sản phẩm hấp dẫn.THÔNG TIN SẢN PHẨM :Phân loại : rêu trơn ..."
273464203,Nhà Tuyết Trang Trí Giáng Sinh Size Nhỏ - Chaang Chiia LP-NT-N,295600,0.0,0,Fahasa,,https://tiki.vn/nha-tuyet-trang-tri-giang-sinh-size-nho-chaang-chiia-lp-nt-n-p273464203.html?spid=273464204,trang trí nhà cửa khác,Trang trí nhà cửa,2,Fahasa,Nhà sách Fahasa,Root,    Nhà Tuyết Trang Trí Giáng Sinh Size Nhỏ - Chaang Chiia LP-NT-N   Sản phẩm phù hợp để trang trí Noel và cũng có thể sử dụng như đạo cụ chụp ảnh theo chủ đề Noel.   Nhà tuyết trang trí noel là ...
275543821,"Vải công phượng, vải decor trang trí khổ 1,6m - Cây giả, hoa lụa Decor trang trí nhà cửa.",120000,0.0,0,ZooZoo,,https://tiki.vn/vai-cong-phuong-vai-decor-trang-tri-kho-1-6m-cay-gia-hoa-lua-decor-trang-tri-nha-cua-p275543821.html?spid=275543822,trang trí nhà cửa khác,Trang trí nhà cửa,2,ZooZoo,1 Click,Hoa trang trí,"Vải công phượng, vải decor trang trí khổ 1,6m - Cây giả, hoa lụa Decor trang trí nhà cửa.THÔNG TIN SẢN PHẨM :Vải chăn con công trang trí đc 2 mặt đều đỏ sẫm và đỏ nhạt.Khổ vải 83cm x 1m6 có thể..."
275543829,"Set 24 quả châu trang trí noel, quả trang trí cây thông - Cây giả, hoa lụa Decor trang trí nhà cửa",165000,0.0,0,ZooZoo,,https://tiki.vn/set-24-qua-chau-trang-tri-noel-qua-trang-tri-cay-thong-cay-gia-hoa-lua-decor-trang-tri-nha-cua-p275543829.html?spid=275543831,trang trí nhà cửa khác,Trang trí nhà cửa,2,ZooZoo,1 Click,Hoa trang trí,"SET 24 QUẢ CHÂU TRANG TRÍ CÂY THÔNG NOEL:Set đỏ: gồm 18 quả với 3 kích thước 2cm, 6cm, 8cm.Set bạc: gồm 24 quả với 4 kích thước 2cm, 4cm, 6cm, 8cm.Set đỏ + bạc: gồm 24 quả (12 đỏ +12 bạc) với..."
275547855,"Vòng hoa giả treo cửa - đường kính 35 đến 45 cm - hoàn thiện y hình - Cây giả, hoa lụa Decor trang trí nhà cửa - Vòng hoa hồng",340000,0.0,0,ZooZoo,,https://tiki.vn/vong-hoa-gia-treo-cua-duong-kinh-35-den-45-cm-hoan-thien-y-hinh-cay-gia-hoa-lua-decor-trang-tri-nha-cua-p275547855.html?spid=275547857,trang trí nhà cửa khác,Trang trí nhà cửa,2,ZooZoo,1 Click,Hoa trang trí,"Vòng hoa giả treo cửa - đường kính 35 đến 45 cm - hoàn thiện y hình - Cây giả, hoa lụa Decor trang trí nhà cửaMời bạn ghé thăm gian hàng shop để khám phá các sản phẩm & ưu đãi hấp dẫn.ƯU ĐIỂM SẢ..."
