id,name,price,rating,review_count,brand,seller,url,kw,group,page,brand_detail,seller_detail,categories,short_description
277450645,"Đuôi đèn cảm ứng chuyển động hồng ngoại, đui đèn cảm biến chuyển động hồng ngoại",142000,0.0,0,PaKaSa,,https://tiki.vn/duoi-den-cam-ung-chuyen-dong-hong-ngoai-dui-den-cam-bien-chuyen-dong-hong-ngoai-p277450645.html?spid=277450647,đèn cảm ứng,Đèn & thiết bị chiếu sáng,1,PaKaSa,Phụ Kiện Store 76,Đèn cảm ứng,ui đèn cảm ứng chuyển động  thông minh là thiết bị cảm biến hồng ngoại nhận diện sự chuyển động của con người dùng để bật tắt đèn chiếu sáng khi có chuyển động của con người trong vùng đui cảm ứng hồn...
71526385,"Đèn LED cảm ứng, cảm biến thông minh không dây, Pin sạc, nhận diện người có nam châm gắn tường xoay 360 độ làm đèn học, cho phòng ngủ, nhà vệ sinh, cho tủ quần áo, cầu thang, ban công, hành lang - MH2011",165000,4.5,33,MIHOCO,,https://tiki.vn/den-led-cam-ung-cam-bien-thong-minh-khong-day-pin-sac-nhan-dien-nguoi-co-nam-cham-gan-tuong-xoay-360-do-lam-den-hoc-cho-phong-ngu-nha-ve-sinh-cho-tu-quan-ao-cau-thang-ban-cong-hanh-lang-mh2011-p71526385.html?spid=71526389,đèn cảm ứng,Đèn & thiết bị chiếu sáng,1,MIHOCO,Minh House,Nhà Cửa - Đời Sống,"Đèn LED cảm ứng, cảm biến thông minh không dây, Pin sạc, nhận diện người có nam châm gắn tường xoay 360 độ làm đèn học, cho phòng ngủ, nhà vệ sinh, cho tủ quần áo, cầu thang, ban công, hành langĐặc ..."
116962756,Đèn cảm ứng chuyển động thông minh Baseus Sunshine Series - Wardrobe Edition,250000,5.0,1,Baseus,,https://tiki.vn/den-cam-ung-chuyen-dong-thong-minh-baseus-sunshine-series-wardrobe-edition-p116962756.html?spid=135498900,đèn cảm ứng,Đèn & thiết bị chiếu sáng,1,Baseus,Việt Chất Store,Đèn cảm ứng,"       - Đèn cảm ứng chuyển động thông minh Baseus Sunshine Series với thiết kế cơ động, nhỏ gọn cùng với những tính năng thông minh giúp cho ngôi nhà và không gian sinh hoạt của bạn thông minh và..."
68601700,"Đèn cảm ứng chuyển động thông minh Baseus Sunshine Series - WARDROBE Edition (800mAh, Human body Induction/ PIR Intelligent Motion Sensor LED Nightlight) - Hàng chính hãng",250000,4.8,4,Baseus,,https://tiki.vn/den-cam-ung-chuyen-dong-thong-minh-baseus-sunshine-series-wardrobe-edition-800mah-human-body-induction-pir-intelligent-motion-sensor-led-nightlight-hang-chinh-hang-p68601700.html?spid=135499268,đèn cảm ứng,Đèn & thiết bị chiếu sáng,1,Baseus,Việt Chất Store,Nhà Cửa - Đời Sống,Tính năng cơ bản Đèn cảm ứng chuyển động thông minh Baseus Sunshine Series (Human body Induction/ PIR Intelligent Motion Sensor LED Nightlight)- Đèn cảm ứng chuyển động thông minh Baseus Sunshine Ser...
276108364,"Đèn LED cảm biến chuyển động cảm biến thông minh, ánh sáng bảo vệ mắt, sạc pin USB đời mới, dán tường, tủ quần áo, cầu thang, phòng ngủ… Cảm Ứng không dây ",98000,4.0,1,LuckyJQR,,https://tiki.vn/den-led-cam-bien-chuyen-dong-cam-bien-thong-minh-anh-sang-bao-ve-mat-sac-pin-usb-doi-moi-dan-tuong-tu-quan-ao-cau-thang-phong-ngu-cam-ung-khong-day-p276108364.html?spid=276108365,đèn cảm ứng,Đèn & thiết bị chiếu sáng,1,LuckyJQR,OM LUCKY WAHIK,Đèn cảm ứng,"Mô tả sản phẩmĐèn cảm ứng, đèn cảm biến chuyển động , cảm ứng thông minh, cảm biến chuyển động, ánh sáng bảo vệ mắt, sạc pin USB đời mới, dán tường, tủ quần áo, cầu thang, phòng ngủ Đặc điểm nổi ..."
76041355,Combo 2 bóng đèn thần cảm ứng pin sạc thổi tắt sáng,156000,4.6,5,HBH,,https://tiki.vn/combo-2-bong-den-than-cam-ung-pin-sac-thoi-tat-sang-p76041355.html?spid=76041356,đèn cảm ứng,Đèn & thiết bị chiếu sáng,1,HBH,Shop HBH247,Nhà Cửa - Đời Sống,"Cây đèn thần kỳ cảm ứng điện tử cực độc đáo với thiết kế bộ cảm biến thổi tắt, chỉ cần thổi nhẹ là chiếc đèn dầu điện tử có thể dừng sáng. Một món quà rất sáng tạo và độc đáo…Hình ảnh chiếc đèn dầu ..."
88257149,Đèn LED chiếu gương cảm biến Model:,279400,4.3,15,Rạng Đông,,https://tiki.vn/den-led-chieu-guong-cam-bien-model-p88257149.html?spid=88257150,đèn cảm ứng,Đèn & thiết bị chiếu sáng,1,Rạng Đông,Đại Phát Tài,Đèn cảm ứng,ĐÈN LED CHIẾU GƯƠNG - CÔNG NGHỆ - HIỆN ĐẠIChào đón tân binh mới của Rạng Đông đã chính thức có mặt trên thị trường! Đèn hoạt động ở 2 chế độ:️ Chế độ On (Đèn thường) - Đèn luôn sáng sau khi được cấp n...
54344808,"Đèn led cảm ứng 6 bóng sạc pin, ứng dụng phong phú: đèn ngủ, đèn trần, đèn tủ",47500,4.3,13,OEM,,https://tiki.vn/den-led-cam-ung-6-bong-sac-pin-ung-dung-phong-phu-den-ngu-den-tran-den-tu-p54344808.html?spid=70660389,đèn cảm ứng,Đèn & thiết bị chiếu sáng,1,OEM,Ghế Nam Việt,Nhà Cửa - Đời Sống,"Cảm biến cơ thể người, chế độ thắp sáng liên tục, ánh sáng diệu nhẹ, ấm cúmTiết kiệm năng lượngLoại Đèn : Cảm Ứng Chuyển ĐộngKiểu Dáng :Tròn Chất Liệu : Nhựa ( mặt sau bằng nam châm)Màu Sắc : Trắ..."
67811819,"Đèn LED Cảm Biến Chuyển Động Nhiều Kích Cỡ, Cảm Ứng Hồng Ngoại 3 Chế Độ",151950,4.6,188,OEM,,https://tiki.vn/den-led-cam-bien-chuyen-dong-nhieu-kich-co-cam-ung-hong-ngoai-3-che-do-p67811819.html?spid=67811827,đèn cảm ứng,Đèn & thiết bị chiếu sáng,1,OEM,Ghế Nam Việt,Nhà Cửa - Đời Sống,"Thiết kế thẩm mỹ siêu mỏng chỉ dày 15mm.Phát sáng vô cùng tốt, phù hợp gắn ở hành lang, tủ quần áo, tủ bếp, kho hay bất cứ nơi nào thiếu ánh sáKhả năng cảm ứng siêu nhạy trong đêm phạm vi từ 3 đến 6m...."
276620858,đèn LED cảm ứng EUFY Made in Germany Hàng chính hãng,445000,0.0,0,Eufy,,https://tiki.vn/den-led-cam-ung-eufy-made-in-germany-hang-chinh-hang-p276620858.html?spid=276620860,đèn cảm ứng,Đèn & thiết bị chiếu sáng,1,Eufy,Telovietnam,Đèn cảm ứng,"Set đèn LED cảm ứng EUFY cho mọi nơi (phòng ngủ, hành lang,tủ quần áo, phòng trẻ em...) tiết kiệm điện và ko cần bật tắt nhiều. Mẫu đèn Eufy này được đánh giá tốt trên thị trường Châu Âu.1 set đèn gồm..."
