id,name,price,rating,review_count,brand,seller,url,kw,group,page,brand_detail,seller_detail,categories,short_description
178474641,Đèn tường đồng ngoài trời DT,880000,4.0,1,HH HA HIEP LIGHTING,,https://tiki.vn/den-tuong-dong-ngoai-troi-dt-p178474641.html?spid=178474655,đèn ngoài trời,Đèn & thiết bị chiếu sáng,1,HH HA HIEP LIGHTING,ĐÈN TRANG TRÍ HÀ HIỆP,Root,"       DT LUXURY   Chất liệu: đồng nguyên chất   Mầu sắc: vàng đồng   Số lượng :01c   Nguồn điện: 220v   Kích thước:   Phong cách: châu âu   Nguồn sáng:đui e 27,đã cho dù là bóng   Bảo hàn..."
195745569,"Đèn tường ngoài trời MONSKY DURRA chống nước, siêu sáng.",295000,5.0,1,MONSKY,,https://tiki.vn/den-tuong-ngoai-troi-monsky-durra-chong-nuoc-sieu-sang-p195745569.html?spid=195745570,đèn ngoài trời,Đèn & thiết bị chiếu sáng,1,MONSKY,Monsky Lighting,Nhà Cửa - Đời Sống,"Thông tin sản phẩm:-Điện áp: 220V-Công suốt: 10-Chất liệu: kim loại sơn tĩnh điện+ nhựa cao cấp-Kích thước: 26x12,5x12,5 (cm)-Bảo hành: 12 tháng ĐÈN TRANG TRÍ NỘI THẤT CAO CẤP MONSKY CAM KẾT:•..."
178472095,Đèn tường ngoài trời DT,235000,0.0,0,HH HA HIEP LIGHTING,,https://tiki.vn/den-tuong-ngoai-troi-dt-p178472095.html?spid=178472099,đèn ngoài trời,Đèn & thiết bị chiếu sáng,1,HH HA HIEP LIGHTING,ĐÈN TRANG TRÍ HÀ HIỆP,Root,       DT LUXURY   Chất liệu: Đèn bằng kim loại tổng hợp sơn tĩnh điện mầu đen   Số lượng: 1c   Kích thước:   Nguon Điện: 220v   Phong cách: châu âu   Đui : đã tụ hợp led năng lượng vàng   ...
201622698,ĐÈN LED GẮN TƯỜNG NGOÀI TRỜI 2x5W (LWA919) KINGLED,610000,0.0,0,KingLED,,https://tiki.vn/den-led-gan-tuong-ngoai-troi-2x5w-lwa919-kingled-p201622698.html?spid=201622700,đèn ngoài trời,Đèn & thiết bị chiếu sáng,1,KingLED,Shop Dũng An,Đèn led/hắt,* THÔNG SỐ KỸ THUẬTMã SP : LWA919Công Suất : 10wNguồn Điện : 220V/50HzÁnh Sáng : VàngNhiệt Độ Màu : 3000KKích Thước : 9*20*9 cmChip LED : CREEĐộ Hoàn Màu : CRI> 80Chất Liệu : Nhôm cao cấp...
178480550,Đèn tường ngoài trời DT,235000,0.0,0,HH HA HIEP LIGHTING,,https://tiki.vn/den-tuong-ngoai-troi-dt-p178480550.html?spid=178480553,đèn ngoài trời,Đèn & thiết bị chiếu sáng,1,HH HA HIEP LIGHTING,ĐÈN TRANG TRÍ HÀ HIỆP,Root,       DT LUXURY   Chất liệu: Đèn bằng kim loại tổng hợp sơn tĩnh điện mầu đen   Số lượng: 1c   Kích thước:   Nguon Điện: 220v   Phong cách: châu âu   Đui : đã tụ hợp led năng lượng vàng   ...
178479711,Đèn tường ngoài trời DT,242000,0.0,0,HH HA HIEP LIGHTING,,https://tiki.vn/den-tuong-ngoai-troi-dt-p178479711.html?spid=178479718,đèn ngoài trời,Đèn & thiết bị chiếu sáng,1,HH HA HIEP LIGHTING,ĐÈN TRANG TRÍ HÀ HIỆP,Đèn trụ sân vườn,"       Mô tả sản phẩm   Chất liệu: khung nhựa cao cấp, chao mika trắng   Mầu sắc: Khung đen, chao trắng   Số lượng :01c   Nguồn điện: 220v   Kích thước:   Phong cách: châu âu   Nguồn sáng:đ..."
274856643,"Đèn tường ngoài trời SOLARNOVA chạy bằng năng lượng mặt trời, chống nước bên ngoài từ hoàng hôn đến bình minh với cảm biến chuyển động. Sản phẩm bao gồm 2 chế độ chiếu sáng. Đèn tường ngoài không dây hiện đại cho sân nhà",1000000,0.0,0,SOLARNOVA,,https://tiki.vn/solar-light-p274856643.html?spid=274856644,đèn ngoài trời,Đèn & thiết bị chiếu sáng,1,SOLARNOVA,Smart SolarNova,Đèn năng lượng mặt trời,SOLARNOVA là chuyên gia và nhà cải tiến hàng đầu về các giải pháp năng lượng và chiếu sáng thông minh bằng năng lượng mặt trời. Đội ngũ của chúng tôi có hơn 13 năm kinh nghiệm trong ngành năng lượng m...
66127015,"Đèn trụ cổng FIDER trang trí ngoài trời, sân vườn sang trọng.",599000,1.0,1,MONSKY,,https://tiki.vn/den-tru-cong-fider-trang-tri-ngoai-troi-san-vuon-sang-trong-p66127015.html?spid=66127016,đèn ngoài trời,Đèn & thiết bị chiếu sáng,1,MONSKY,Monsky Lighting,Nhà Cửa - Đời Sống,Đèn cổng trang trí hiện nay thuộc một trong những mẫu đèn trang trí ngoại thất được nhiều khách hàng lựa chọn và trở thành một xu hướng tiết kiệm điện năng mới. Thiết kế của đèn rất đa dạng với nhiều ...
178472824,"Đèn vườn cửa ngoài trời, đèn cây dẫn lối, đèn đường, đèn vườn, đèn ngoài trời DT",602000,0.0,0,HH HA HIEP LIGHTING,,https://tiki.vn/den-vuon-cua-ngoai-troi-den-cay-dan-loi-den-duong-den-vuon-den-ngoai-troi-dt-p178472824.html?spid=178472833,đèn ngoài trời,Đèn & thiết bị chiếu sáng,1,HH HA HIEP LIGHTING,ĐÈN TRANG TRÍ HÀ HIỆP,Đèn trụ sân vườn,       Mô tả sản phẩm   Chất liệu: khung là nhôm sơn tĩnh điện mầu đen   Mầu sắc:đen   Số lượng :01c   Nguồn điện: 220v   Kích thước: h 60cm   Phong cách: châu âu   Nguồn sáng: kể cả bóng ...
178478924,"Đèn vườn cửa ngoài trời, đèn cây dẫn lối, đèn đường, đèn vườn, đèn ngoài trời DT",602000,0.0,0,HH HA HIEP LIGHTING,,https://tiki.vn/den-vuon-cua-ngoai-troi-den-cay-dan-loi-den-duong-den-vuon-den-ngoai-troi-dt-p178478924.html?spid=178478940,đèn ngoài trời,Đèn & thiết bị chiếu sáng,1,HH HA HIEP LIGHTING,ĐÈN TRANG TRÍ HÀ HIỆP,Root,       Mô tả sản phẩm   Chất liệu: khung là nhôm sơn tĩnh điện mầu đen   Mầu sắc:đen   Số lượng :01c   Nguồn điện: 220v   Kích thước: h 60cm   Phong cách: châu âu   Nguồn sáng: kể cả bóng ...
