id,name,price,rating,review_count,brand,seller,url,kw,group,page,brand_detail,seller_detail,categories,short_description
26670490,Kệ Góc Nhà Tắm Chống Nước,194000,4.3,659,IGA,,https://tiki.vn/ke-goc-nha-tam-chong-nuoc-p26670490.html?spid=26670491,kệ nhà tắm,Đồ dùng & thiết bị nhà tắm,1,IGA,IGA Nội Thất Thông Minh,Kệ nhà tắm,"Kệ Góc Nhà Tắm Chống NướcKích thước: 120cm x 23cm x 23cmChất liệu: Nhựa Composite chống nước tuyệt đối, dễ dàng vệ sinh. Không phải mùn gỗ ép như các sản phẩm kém chất lượng sẽ có mùi hôi khó ..."
138440035,Hộp/ Kệ Đựng Vật Dụng Nhà Tắm Hình Mái Nhà  Sang Trọng Được Chọn Màu ( Tặng Kèm 3 Ly ) - PaKaSa,299390,5.0,1,PaKaSa,,https://tiki.vn/hop-ke-dung-vat-dung-nha-tam-hinh-mai-nha-sang-trong-duoc-chon-mau-tang-kem-3-ly-pakasa-p138440035.html?spid=138440039,kệ nhà tắm,Đồ dùng & thiết bị nhà tắm,1,PaKaSa,Phụ Kiện Store 76,Kệ nhà tắm,"Hộp/ Kệ Đựng Vật Dụng Nhà Tắm Hình Mái Nhà Sang Trọng Được Chọn Màu ( Tặng Kèm 3 Ly ) - PaKaSaChất liệu: Nhựa ABSMàu sắc: màu hồng, màu xanhKích thước: 27*34 cmNhiều công dụng: ngăn lớn đựng được ..."
45702884,kệ nhà tắm 6015 - Màu,175000,5.0,3,SMLIFE,,https://tiki.vn/ke-nha-tam-6015-p45702884.html?spid=45702886,kệ nhà tắm,Đồ dùng & thiết bị nhà tắm,1,SMLIFE,SMLIFE,Kệ nhà tắm,Phòng tắm luôn là một không gian sinh hoạt không thể thiếu trong nhà bạn. Để sắp xếp sao cho ngăn nắp và tiện lợi nhất với các vật dụng trong phòng tắm thì việc lắp đặt một kệ treo tường chứa đồ là mộ...
7830424,Kệ nhà tắm 4515 (set 4),550000,5.0,1,SMLIFE,,https://tiki.vn/ke-nha-tam-4515-set-4-p7830424.html?spid=7830426,kệ nhà tắm,Đồ dùng & thiết bị nhà tắm,1,SMLIFE,SMLIFE,Kệ nhà tắm,Phòng tắm luôn là một không gian sinh hoạt không thể thiếu trong nhà bạn. Để sắp xếp sao cho ngăn nắp và tiện lợi nhất với các vật dụng trong ph&og...
7830418,Kệ nhà tắm 4515 (set 2),275000,4.3,4,SMLIFE,,https://tiki.vn/ke-nha-tam-4515-set-2-p7830418.html?spid=7830422,kệ nhà tắm,Đồ dùng & thiết bị nhà tắm,1,SMLIFE,SMLIFE,Kệ nhà tắm,Phòng tắm luôn là một không gian sinh hoạt không thể thiếu trong nhà bạn. Để sắp xếp sao cho ngăn nắp và tiện lợi nhất với các vật dụng trong ph&og...
7830434,Kệ nhà tắm 6015 (Set 2),350000,5.0,6,SMLIFE,,https://tiki.vn/ke-nha-tam-6015-set-2-p7830434.html?spid=7830438,kệ nhà tắm,Đồ dùng & thiết bị nhà tắm,1,SMLIFE,SMLIFE,Kệ nhà tắm,Phòng tắm luôn là một không gian sinh hoạt không thể thiếu trong nhà bạn. Để sắp xếp sao cho ngăn nắp và tiện lợi nhất với các vật dụng trong ph&og...
26664978,Kệ Góc Nhà Tắm Chống Nước,194000,4.1,175,IGA,,https://tiki.vn/ke-goc-nha-tam-chong-nuoc-p26664978.html?spid=26664979,kệ nhà tắm,Đồ dùng & thiết bị nhà tắm,1,IGA,IGA Nội Thất Thông Minh,Kệ nhà tắm,"     Kệ Góc Nhà Tắm Chống NướcKích thước: 120cm x 23cm x 23cmChất liệu: Nhựa Composite chống nước tuyệt đối, dễ dàng vệ sinh. Không phải mùn gỗ ép như các sản phẩm kém chất lượng sẽ có mùi hôi khó..."
153261602,Kệ Góc 2 Tầng Nhà Tắm Hợp Kim Nhôm Cao Cấp - Hàng Loại 1 - Chính Hãng,131000,4.5,7,MINIIN,,https://tiki.vn/ke-goc-2-tang-nha-tam-hop-kim-nhom-cao-cap-hang-loai-1-chinh-hang-p153261602.html?spid=153261603,kệ nhà tắm,Đồ dùng & thiết bị nhà tắm,1,MINIIN,Smarthome29,Kệ nhà tắm," Kệ Góc 2 Tầng Nhà Tắm Hợp Kim Nhôm Cao Cấp - Hàng Loại 1 - Chính HãngKệ thiết kế 2 tầng, giúp bạn sắp xếp gọn gàng xà bông, sữa tắm, dầu gội, sữa rửa mặt, bông tắmTÍNH NĂNG SẢN PHẨM- Thiết kế nhỏ ..."
7830429,Kệ nhà tắm 4525 (set 2),390000,5.0,1,SMLIFE,,https://tiki.vn/ke-nha-tam-4525-set-2-p7830429.html?spid=7830433,kệ nhà tắm,Đồ dùng & thiết bị nhà tắm,1,SMLIFE,SMLIFE,Kệ nhà tắm,Phòng tắm luôn là một không gian sinh hoạt không thể thiếu trong nhà bạn.Để sắp xếp sao cho ngăn nắp và tiện lợi nhất với các vật dụng trong phòng tắm thì việc lắp đặt một kệ treo tường chứa đồ là mộ...
7827422,Kệ nhà tắm chữ L45,195000,5.0,1,SMLIFE,,https://tiki.vn/ke-nha-tam-chu-l45-p7827422.html?spid=7963852,kệ nhà tắm,Đồ dùng & thiết bị nhà tắm,1,SMLIFE,SMLIFE,Kệ nhà tắm,Phòng tắm luôn là một không gian sinh hoạt không thể thiếu trong nhà bạn. Để sắp xếp sao cho ngăn nắp và tiện lợi nhất với các vật dụng trong ph&og...
