id,name,price,rating,review_count,brand,seller,url,kw,group,page,brand_detail,seller_detail,categories,short_description
36560509,Bình Nhựa Đựng Nước Lock&Lock ABF659YEL (520ml),158000,4.5,39,LocknLock,,https://tiki.vn/binh-nhua-dung-nuoc-lock-lock-abf659-520ml-p36560509.html?spid=36560511,bình đựng nước,Đồ dùng phòng ăn,1,LocknLock,Tiki Trading,Bình đựng nước,"Đặc điểm nổi bậtBình Nhựa Đựng Nước Lock&Lock ABF659 (520ml) chắt lọc nhanh các loại hoa quả thành Detox giúp thanh lọc cơ thể.Chất liệu thân thiện với môi trường, an toàn cho sức khỏe.Có thể ..."
114623121,Bình đựng nước Pearl Metal Life Gourier - Made in Japan,145000,5.0,1,Pearl Metal,,https://tiki.vn/binh-dung-nuoc-pearl-metal-life-gourier-made-in-japan-p114623121.html?spid=114623148,bình đựng nước,Đồ dùng phòng ăn,1,Pearl Metal,Khải Minh Store,Nhà Cửa - Đời Sống,"CAM KẾT KHI MUA HÀNG TẠI KHAI MINH STOREChất lượng chuẩn, đúng hình ảnh, đúng tính năng như mô tảNhận hàng – Kiểm Tra – Thanh toánKhi nhận được hàng, Quý khách vui lòng đánh giá sản phẩm bằng số sa..."
171873833,"BÌNH ĐỰNG NƯỚC VỎ LÚA MẠNH AN TOÀN, CAO CẤP IN HÌNH XƯƠNG RỒNG, TOTORO (Giao Hàng Theo Mẫu Ngẫu Nhiên)",45000,0.0,0,Quảng Thanh,,https://tiki.vn/binh-dung-nuoc-vo-lua-manh-an-toan-cao-cap-in-hinh-xuong-rong-totoro-giao-hang-theo-mau-ngau-nhien-p171873833.html?spid=171873834,bình đựng nước,Đồ dùng phòng ăn,1,Quảng Thanh,Quảng Thanh Official Store,Nhà Cửa - Đời Sống,"BÌNH ĐỰNG NƯỚC VỎ LÚA MẠNHAN TOÀN, CAO CẤP IN HÌNH XƯƠNG RỒNG, TOTORO (Giao Hàng Theo Mẫu Ngẫu Nhiên)Set bình thủy tinh dày dặn an toàn, sạch sẽ hơn bình nhựa rất nhiềuCác nàng đi tập , đi làm, đi c..."
276846779,Bình Đựng Nước Thể Thao 650ML Chất Liệu Nhựa PP Nguyên Sinh An Toàn - Hàng Chính Hãng,80000,5.0,3,Gro-Fa,,https://tiki.vn/binh-dung-nuoc-the-thao-650ml-chat-lieu-nhua-pp-nguyen-sinh-an-toan-hang-chinh-hang-p276846779.html?spid=276846781,bình đựng nước,Đồ dùng phòng ăn,1,Gro-Fa,Liên Minh 1974,Bình đựng nước,Bình Nước Nhựa Thể Thao Dung Tích 650mlBạn đang tìm kiếm một bình nước tiện lợi và an toàn cho các hoạt động thể thao?Bình Nước Nhựa Sport Dung Tích 650ml chính là giải pháp lý tưởng. Với chất liệu ...
15984253,Combo 4 Bình Đựng Nước NAKAYA Dung Tích (4 x 1L),143313,4.5,4,NAKAYA,,https://tiki.vn/combo-4-binh-dung-nuoc-nakaya-dung-tich-4-x-1l-p15984253.html?spid=19774494,bình đựng nước,Đồ dùng phòng ăn,1,NAKAYA,Asobu AU,Nhà Cửa - Đời Sống,"THÔNG TIN VỀ BÌNH ĐỰNG NƯỚC NAKAYA DUNG TÍCH 1 LÍT - AN TOÀN, TIỆN LỢI- Bình Đựng Nước NAKAYA Dung Tích 1L được nhập khẩu chính hãng 100% từ Nhật Bản- Bình Đựng Nước NAKAYA với thân bình được làm bằ..."
57763337,"BÌNH ĐỰNG NƯỚC VỎ LÚA MẠNH AN TOÀN, CAO CẤP IN HÌNH XƯƠNG RỒNG, TOTORO (Giao Hàng Theo Mẫu Ngẫu Nhiên)",15000,4.2,93,OEM,,https://tiki.vn/binh-dung-nuoc-vo-lua-manh-an-toan-cao-cap-in-hinh-xuong-rong-totoro-giao-hang-theo-mau-ngau-nhien-p57763337.html?spid=78291226,bình đựng nước,Đồ dùng phòng ăn,1,OEM,Tổng Kho MB,Bình đựng nước,"BÌNH ĐỰNG NƯỚC VỎ LÚA MẠNH AN TOÀN, CAO CẤP IN HÌNH XƯƠNG RỒNG, TOTORO (Giao Hàng Theo Mẫu Ngẫu Nhiên)Set bình thủy tinh dày dặn an toàn, sạch sẽ hơn bình nhựa rất nhiềuCác nàng đi tập , đi làm, đi ..."
274016927,Bình Đựng Nước Nhựa Trong Thể Thao HELLO WATER Cute Dễ Thương 780ml Có Vạch Chia Và Quai Xách,54000,5.0,2,fofaHome,,https://tiki.vn/binh-dung-nuoc-nhua-trong-the-thao-hello-water-cute-de-thuong-780ml-co-vach-chia-va-quai-xach-p274016927.html?spid=274016931,bình đựng nước,Đồ dùng phòng ăn,1,fofaHome,Tổng Kho MB,Bình đựng nước,TÍNH NĂNG NỔI BẬT:️ CHẤT LIỆU CAO CẤP VÀ AN TOÀN- Sử dụng nhựa PP & PC dày chắc chắn và an toàn với sức khỏe️ THIẾT KẾ HIỆN ĐẠI VÀ ĐA NĂNG- Thiết kế thân BÌNH ĐỰNG NƯỚC có khả năng chống mài m...
13442265,Set 2 Bình Đựng Nước Komax Cao Cấp Hàn Quốc (700ml),123000,5.0,1,Komax,,https://tiki.vn/set-2-binh-dung-nuoc-komax-cao-cap-han-quoc-700ml-p13442265.html?spid=13442266,bình đựng nước,Đồ dùng phòng ăn,1,Komax,Asobu AU,Bình đựng nước,"Bình đựng nước Komax cao cấp Hàn QuốcChất liệu : [Nắp]Polypropylene (PP), [Thân] Polyethylene terephthalate (PET) cao cấp, tuyệt đối an toàn trong quá trình sử dụng.Kích thước: Bình 700ml :Ф80*200..."
50748748,"Bình đựng nước cao cấp Biwa - (1,6L)",88000,5.0,7,Inochi,,https://tiki.vn/binh-dung-nuoc-cao-cap-biwa-1-6l-p50748748.html?spid=81290813,bình đựng nước,Đồ dùng phòng ăn,1,Inochi,Gia dụng tiện ích store,Bình đựng nước,"Bình đựng nước cao cấp Biwa - (1,6L)=== NGUỒN GỐC CỦA SẢN PHẨM === Yokohama, thành phố nổi tiếng với các món mì ramen đặc trưng. Một điều đáng chú ý là phụ nữ Yokohama dù ý nhị, kín đáo nhưng lại rấ..."
172811372,"Bình Đựng Nước Chia Vạch Khung Giờ Cute, Nhựa Tritan Cao Cấp Với Màu 3D Siêu Chất ,Bình Nước Bụng Bự 3D- Chính Hãng MINIIN- Tặng Kèm Dây Đeo Và 2 Khăn Lau",75000,4.2,10,MINIIN,,https://tiki.vn/binh-dung-nuoc-chia-vach-khung-gio-cute-nhua-tritan-cao-cap-voi-mau-3d-sieu-chat-binh-nuoc-bung-bu-3d-chinh-hang-miniin-tang-kem-day-deo-va-2-khan-lau-p172811372.html?spid=172811374,bình đựng nước,Đồ dùng phòng ăn,1,MINIIN,Smarthome29,Nhà Cửa - Đời Sống,"Bình Đựng Nước Chia Vạch Khung Giờ Cute, Nhựa Tritan Cao Cấp Với Màu 3D Siêu Chất ,Bình Nước Bụng Bự 3D- Chính Hãng MINIIN- Tặng Kèm Dây Đeo Và 2 Khăn LauƯu điểm:- Bình đựng nước dung tích bình có t..."
50745666,"Bình đựng nước cao cấp Biwa - (1,2L) ",66500,4.7,7,Inochi,,https://tiki.vn/binh-dung-nuoc-cao-cap-biwa-1-2l-p50745666.html?spid=73198018,bình đựng nước,Đồ dùng phòng ăn,2,Inochi,Smarthome29,Bình đựng nước,"Bình đựng nước cao cấp Biwa - (1,2L) === NGUỒN GỐC CỦA SẢN PHẨM === Yokohama, thành phố nổi tiếng với các món mì ramen đặc trưng. Một điều đáng chú ý là phụ nữ Yokohama dù ý nhị, kín đáo nhưng lại r..."
57046106,Bình Đựng Nước Lock&Lock Easy Grip Dung Tích 1.5L HAP814,59000,4.8,167,LocknLock,,https://tiki.vn/binh-dung-nuoc-lock-lock-easy-grip-dung-tich-1-5l-hap814-p57046106.html?spid=72585132,bình đựng nước,Đồ dùng phòng ăn,2,LocknLock,LATH SHOP,Bình đựng nước,"Dung tích: 1,2L (245mmx95mm) ; 1.5L (286x95mm)Chất liệu cao cấp, an toànSản phẩm được làm từ nhựa PET với độ bền cao, hạn chế nứt vỡ trong quá trình sử dụng. Chất liệu này không chứa BPA, không màu, k..."
278229778,"Bình đựng nước EDZARD viền bạc 1,8L Hafng chính hãng",2190000,0.0,0,Highgate,,https://tiki.vn/binh-dung-nuoc-edzard-vien-bac-1-8l-hafng-chinh-hang-p278229778.html?spid=278229779,bình đựng nước,Đồ dùng phòng ăn,2,Highgate,Telovietnam,Bình đựng nước,"Chính hãng EDZARD – nội địa ĐứcBình không nắp dung tích 1.8L cao 30cm, đường kính 14cm được thổi thủ công pha lê, vành mạ bạch kim nguyên chất.Thích hợp đựng nước cam tươi, nước chanh, nước lọc vào ..."
14762920,Bình Đựng Nước NAKAYA Dung Tích 1L,37500,0.0,0,NAKAYA,,https://tiki.vn/binh-dung-nuoc-nakaya-dung-tich-1l-p14762920.html?spid=248680007,bình đựng nước,Đồ dùng phòng ăn,2,NAKAYA,Hàng tiêu dùng nhập khẩu Shop,Bình đựng nước,■ CAM KẾT CỦA NHÀ BÁN [SHOP HÀNG TIÊU DÙNG NHẬP KHẨU CHUYÊN NHẬP KHẨU & PHÂN PHỐI HÀNG TIÊU DÙNG CHÍNH HÃNG UY TÍN - CHẤT LƯỢNG]1. Shop cam kết chỉ bán hàng nhập khẩu chính hãng 100% với chất lư...
128665278,Bình Đựng Nước Sports Cup Phong Cách Thể Thao Có Ống Hút Dung Tích 2L Dễ Thương Có Vạch Báo Giờ Uống Nước,68000,5.0,1,OEM,,https://tiki.vn/binh-dung-nuoc-sports-cup-phong-cach-the-thao-co-ong-hut-dung-tich-2l-de-thuong-co-vach-bao-gio-uong-nuoc-p128665278.html?spid=270511742,bình đựng nước,Đồ dùng phòng ăn,2,OEM,Tổng Kho MB,Bình đựng nước,"        Bình Đựng Nước Sports Cup Phong Cách Thể Thao Có Ống Hút Dung Tích 2L Dễ Thương Có Vạch Báo Giờ Uống Nước    Thông tin sản phẩm   - Chất liệu: Nhựa cao cấp, không chứa bất BPA, DEHP, an ..."
167649337,BÌNH HELLO MASTER THỦY TINH ĐỰNG NƯỚC,11000,5.0,1,OEM,,https://tiki.vn/binh-hello-master-thuy-tinh-dung-nuoc-p167649337.html?spid=217427458,bình đựng nước,Đồ dùng phòng ăn,2,OEM,Tổng Kho MB,Bình đựng nước,MÔ TẢ :BÌnh nước thủy tinh HELLO MASTER dung tích thực tế 400ml đường kính thân 6.6cm chiều cao 22cm đường kính miệng 4.2cmVới thiết kế đơn giản bình thủy tinh có in chữ HELLO MASTER đủ màu và nắp ...
16690674,Bình đựng nước thủy tinh đẹp 500ml,15000,4.6,43,OEM,,https://tiki.vn/binh-dung-nuoc-thuy-tinh-dep-500ml-p16690674.html?spid=58214830,bình đựng nước,Đồ dùng phòng ăn,2,OEM,Tổng Kho MB,Bình đựng nước,"Hãy sử dụng bình thủy tinh thay thế cho bình nhựa, ly nhựa để bảo vệ môi trường bạn nhé.Cùng tạo thói quen tốt: xách bình đi mua trà sữa, sinh tố để hưởng ứng hot trend “Tuổi trẻ vì môi trường” nào!!!..."
14972329,Combo 2 Bình Đựng Nước NAKAYA Dung Tích 1L,68000,0.0,0,NAKAYA,,https://tiki.vn/combo-2-binh-dung-nuoc-nakaya-dung-tich-1l-p14972329.html?spid=248679952,bình đựng nước,Đồ dùng phòng ăn,2,NAKAYA,Asobu AU,Bình đựng nước,"THÔNG TIN VỀ BÌNH ĐỰNG NƯỚC NAKAYA DUNG TÍCH 1 LÍT - AN TOÀN, TIỆN LỢI- Bình Đựng Nước NAKAYA Dung Tích 1L được nhập khẩu chính hãng 100% từ Nhật Bản- Bình Đựng Nước NAKAYA với thân bình được làm bằ..."
278096592,Bình Đựng Nước 1400ml Hình Gấu Dễ Thương Tôn Lên Cá Tính Trẻ Trung Năng Động,95000,0.0,0,Damas,,https://tiki.vn/binh-dung-nuoc-1400ml-hinh-gau-de-thuong-ton-len-ca-tinh-tre-trung-nang-dong-p278096592.html?spid=278096602,bình đựng nước,Đồ dùng phòng ăn,2,Damas,DAMAS Official Store,Bình đựng nước,"BÌNH NƯỚC HÌNH GẤU DỄ THƯƠNG 1400ML  TẶNG KÈM STICKER CUTE – SỐ LƯỢNG CÓ HẠN  Dung tích siêu khủng 1400ml – tha hồ mang theo đi học, đi làm, tập gym hay đi chơi mà không lo thiếu nước! Thiết kế hình..."
277626011, Bình đựng nước Highgate Collection 1L Hàng chính hãng,485000,0.0,0,Highgate,,https://tiki.vn/binh-dung-nuoc-highgate-collection-1l-hang-chinh-hang-p277626011.html?spid=277626012,bình đựng nước,Đồ dùng phòng ăn,2,Highgate,Telovietnam,Bình đựng nước," Bình Highgate 1L có thể dùng đựng nước hoặc biến tấu thành bình hoa trang trí tuyệt đẹp. Chất liệu thủy tinh cao cấp – Sang xịn mịn Bền đẹp, chịu va đập tốt Vân hạt li ti độc đáo – bắt sáng lấp..."
275701205,"Bình Đựng Nước Cute Nhỏ Gọn Tiện Lợi Phong Cách Thể Thao Năng Động, Bình Nước Cho Bé Dễ Thương 780ml Hello Water",63000,0.0,0,fofaHome,,https://tiki.vn/binh-dung-nuoc-cute-nho-gon-tien-loi-phong-cach-the-thao-nang-dong-binh-nuoc-cho-be-de-thuong-780ml-hello-water-p275701205.html?spid=275701589,bình đựng nước,Đồ dùng phòng ăn,3,fofaHome,Hadu Home,Bình đựng nước,"Bình đựng nước cute nhỏ gọn tiện lợi phong cách thể thao năng động, bình nước cho bé dễ thương 780ml Hello WaterCông dụng :* Mang đi học, đi làm, đi tập thể dục để có thể nhớ uống đủ nước hàng ngày..."
249668306,Bình Nước 2L 2000ML Cao Cấp Bình Đựng Nước Có Ống Hút (Giao Màu Ngẫu Nhiên),72000,0.0,0,fofaHome,,https://tiki.vn/binh-nuoc-2l-2000ml-cao-cap-binh-dung-nuoc-co-ong-hut-giao-mau-ngau-nhien-p249668306.html?spid=275588926,bình đựng nước,Đồ dùng phòng ăn,3,fofaHome,Tổng Kho MB,Bình đựng nước,"Lần trc ai cũng hỏi bình 2 lít thì đây nhé! Hàng nhựa chịu lực tốt. Sáng đổ 1 phát 2L mang đi làm đi tập cả ngày k lo k đủ số lượng nạp vào cơ thể.Dung tích : 2000ml (2 lít)Màu sắc: hồng, tím, xanh ..."
11405209,Bình đựng nước Komax cao cấp Hàn Quốc,66000,1.5,2,Komax,,https://tiki.vn/binh-dung-nuoc-komax-cao-cap-han-quoc-p11405209.html?spid=11405211,bình đựng nước,Đồ dùng phòng ăn,3,Komax,Asobu AU,Bình đựng nước,"Bình đựng nước Komax cao cấp Hàn QuốcChất liệu : [Nắp]Polypropylene (PP), [Thân] Polyethylene terephthalate (PET) cao cấp, tuyệt đối an toàn trong quá trình sử dụng.Kích thước:Bình 700ml :Ф80*200..."
278685138,Bình Đựng Nước Tupperware Lohas 550ml,275000,0.0,0,Tupperware,,https://tiki.vn/binh-dung-nuoc-tupperware-lohas-550ml-p278685138.html?spid=278685152,bình đựng nước,Đồ dùng phòng ăn,3,Tupperware,Tupperware KyuMin Biên Hòa,Bình đựng nước,"Tupperware Lohas 550ml – Giải pháp tiện lợi, nhỏ gọn cho thói quen uống nước hàng ngàyBình nước Lohas Premium Eco Bottle 550ml mang đến giải pháp tiện lợi, bền bỉ và thanh lịch cho thói quen uống nướ..."
275738200,Túi đựng bình nước KEITH Ti1405/ Ti1404/ Ti1403,204000,0.0,0,Keith Titanium,,https://tiki.vn/tui-dung-binh-nuoc-keith-ti1405-ti1404-ti1403-p275738200.html?spid=275738206,bình đựng nước,Đồ dùng phòng ăn,3,Keith Titanium,Quân Camp,Bình đựng nước,"THÔNG TIN SẢN PHẨM:- Thương hiệu: Keith Titanium- Xuất xứ: Trung Quốc- Chất liệu: Vải scuba- Kích thước: Ø 2.4 × 10.2 inches (Ø 60 × 260 mm)- Trọng lượng: 33,5gTúi đựng bình nước KEITH được làm ..."
200802345,Bình đựng nước thủy tinh 1.5l,228850,0.0,0,CRYSTAN,,https://tiki.vn/binh-dung-nuoc-thuy-tinh-1-5l-p200802345.html?spid=200802379,bình đựng nước,Đồ dùng phòng ăn,3,CRYSTAN,VIPDECOR,Bình đựng nước,"  BÌNH NƯỚC THỦY TINH   Chất thủy tinh thổi thủ công, có độ giãn nở cao theo nhiệt độ, bạn hoàn toàn có thể ướp lạnh trong tủ lạnh rồi mang ra ngoài, chế thêm nước sôi vào cũng không bị nứt vỡ do th..."
