id,name,price,rating,review_count,brand,seller,url,kw,group,page,brand_detail,seller_detail,categories,short_description
276613325,"Phụ kiện đựng chai nước, giá để ly trên xe hơi xe du lich gấp gọn tiện lợi - Hàng chính hãng",49000,5.0,1,Gro-Fa,,https://tiki.vn/phu-kien-dung-chai-nuoc-gia-de-ly-tren-xe-hoi-xe-du-lich-gap-gon-tien-loi-hang-chinh-hang-p276613325.html?spid=275425255,"ly, cốc và phụ kiện ly",Đồ dùng phòng ăn,1,Gro-Fa,Liên Minh 1974,Phụ kiện ô tô,"Được làm bằng nhựa ABS cao cấp, nhỏ gọn và nhẹ, bền khi sử dụng.Không gian hoàn hảo để bạn dễ dàng tiếp cận chai nước uống đóng hộp và các vật dụng nhỏ khác.Nó có thể được cố định ở bất kỳ vị trí nào ..."
275616331,Phụ kiện TÚI của Ly YETI giữ nhiệt,16000,0.0,0,ATNKADDS,,https://tiki.vn/phu-kien-tui-cua-ly-yeti-giu-nhiet-p275616331.html?spid=275616332,"ly, cốc và phụ kiện ly",Đồ dùng phòng ăn,1,ATNKADDS,Best Amooy,"Túi đựng bình, ly","Tên sản phẩm : Phụ kiện TÚI của Ly YETI giữ nhiệtMàu sắc: Đỏ Hồng CaroTúi đựng ly giữ nhiệt Yeti 500ml, 900ml. Chất liệu co giàn, khóa bấm chắc chắn giúp bạn đem ra ngoài rất tiện lợi. Túi có chức n..."
277543240,Phụ kiện ống hút cho ly cốc Stanley Quencher H2.0 Flowstate Tumbler 30oz 40oz,108000,5.0,1,Stanley,,https://tiki.vn/phu-kien-ong-hut-cho-ly-coc-stanley-quencher-h2-0-flowstate-tumbler-30oz-40oz-p277543240.html?spid=274404476,"ly, cốc và phụ kiện ly",Đồ dùng phòng ăn,1,Stanley,Quân Camp,Nhà Cửa - Đời Sống,"THÔNG TIN SẢN PHẨM:- Thương hiệu: Stanley- Xuất xứ: Trung Quốc- Chất liệu: Nhựa (không chứa BPA)- Kích thước: chiều dài 30,5 cm- Trọng lượng: 10g- Số lượng: 1 cáiỐng hút thay thế cho cốc giữ nh..."
274414680,Phụ kiện ống hút cho ly cốc Stanley Quencher (473ml 15oz /680ml 23oz),108000,0.0,0,Stanley,,https://tiki.vn/phu-kien-ong-hut-cho-ly-coc-stanley-quencher-473ml-15oz-680ml-23oz-p274414680.html?spid=274414681,"ly, cốc và phụ kiện ly",Đồ dùng phòng ăn,1,Stanley,Quân Camp,Ống hút,THÔNG TIN SẢN PHẨM:- Thương hiệu: Stanley- Xuất xứ: Trung Quốc- Chất liệu: Nhựa (không chứa BPA)- Kích thước: chiều dài 21.6cm- Trọng lượng: 10g- Số lượng: 1 cáiỐng hút thay thế cho cốc giữ nhi...
216122099,"Bộ dụng cụ rửa ly, máy rửa ly, phụ kiện rửa bình chai lọ cốc chén đa năng gắn chậu rửa nhà bếp lavabo Legaxi",80000,0.0,0,Legaxi,,https://tiki.vn/bo-dung-cu-rua-ly-may-rua-ly-phu-kien-rua-binh-chai-lo-coc-chen-da-nang-gan-chau-rua-nha-bep-lavabo-legaxi-p216122099.html?spid=216122103,"ly, cốc và phụ kiện ly",Đồ dùng phòng ăn,1,Legaxi,Legaxi Official,Phụ kiện nhà bếp khác, BỘ DỤNG CỤ RỬA LY (Không kèm van T và dây cấp nước)- Kích thước : 14x13x2.8 cm - Chất liệu : Nhựa ABS- Màu:  Đen  - Bộ sản phẩm gồm: 1 khay rửa Công dụng: - Máy rửa cốc tự động rửa kỹ cặn bẩn ...
262566570,Ly Giữ Nhiệt  900ml Chống Tràn Tiện Lợi Tặng Kèm Bộ Phụ Kiện 2 Ống Hút Tái Sử Dụng Cọ Rửa Và Túi Đựng Hàng Chính Hãng,79000,0.0,0,TOK DO DO TOKDODO TOK DO DO,,https://tiki.vn/ly-giu-nhiet-900ml-chong-tran-tien-loi-tang-kem-bo-phu-kien-2-ong-hut-tai-su-dung-co-rua-va-tui-dung-hang-chinh-hang-p262566570.html?spid=262566574,"ly, cốc và phụ kiện ly",Đồ dùng phòng ăn,1,TOK DO DO TOKDODO TOK DO DO,TOKDODO Official Store,Bình giữ nhiệt,"Ly nước giữ nhiệt với dung tích: 900ml Sản phẩm gồm có: 1 bình inox 900ml, ống hút inox, 1 cây cọ rửa, 1 túi đựng bình Sản phẩm có nắp thông minh cao cấp, giữ ống hút, cách nhiệt, ..."
276425768,Phụ kiện nắp cốc giữ nhiệt Hydro Flask Medium Closeable Press-In Lid Cap,358800,0.0,0,Hydro Flask,,https://tiki.vn/phu-kien-nap-coc-giu-nhiet-hydro-flask-medium-closeable-press-in-lid-cap-p276425768.html?spid=276425769,"ly, cốc và phụ kiện ly",Đồ dùng phòng ăn,1,Hydro Flask,Quân Camp,Bình giữ nhiệt,"THÔNG TIN SẢN PHẨM:- Thương hiệu: Hydro Flask (Top thương hiệu bình giữ nhiệt bán hàng đầu tại Mỹ, được thành lập năm 2009, trụ sở đặt ở Tây Bắc Thái Bình Dương – Bend, Oregon)- Xuất xứ: Sản xuất tạ..."
276591057,Gía úp ly cốc dày đẹp Khay Úp Ly Nhựa Tiện Dụng,98000,0.0,0,LuckyJQR,,https://tiki.vn/khay-up-ly-chen-mau-trang-gia-up-coc-day-dep-co-khay-nhua-hung-nuoc-khay-dung-co-ro-thoat-nuoc-sieu-mong-nhe-phu-hop-trang-tri-decor-phong-hien-dai-sang-chanh-va-tien-dung-p276591057.html?spid=276591058,"ly, cốc và phụ kiện ly",Đồ dùng phòng ăn,1,LuckyJQR,OM LUCKY WAHIK,Khay úp ly,"Khay úp cốc bàn uống nước, kệ đựng cốc nhựa Việt Nhật HAKI DN442 Thông tin sản phẩm+ Kích thước: 26 x 23 x 3 cm+ Màu sắc: Hồng / Trắng / Xanh+ Chất liệu: Nhựa PP an toàn, bền bỉ+ Xuất xứ: Việt N..."
146249749,Khay đựng ly cốc ( đa năng) tráng gương giao ngẫu nhiên_AVN 45,389850,0.0,0,AVN Kiwi,,https://tiki.vn/khay-dung-ly-coc-da-nang-trang-guong-giao-ngau-nhien_avn-45-p146249749.html?spid=146249750,"ly, cốc và phụ kiện ly",Đồ dùng phòng ăn,1,AVN Kiwi,Gia dung thong minh Anh Vu,Nhà Cửa - Đời Sống,Khay được Ly cốc đựng đồ Mỹ phẩm mặt tráng gương sáng trọng và phù hợp sử dụng vào nhiều việc.Coa thể làm quà biếu tặng sang trọng...
191806928,BỘ 6 LY TT CHUYÊN DỤNG CHO COCKTAIL 400ML  | CỐC THỦY TINH HỌA TIẾT NỔI CAO CẤP | Ly 400ml dáng trụ Decor 2022,253000,0.0,0,CRYSTAN,,https://tiki.vn/bo-6-ly-tt-chuyen-dung-cho-cocktail-400ml-coc-thuy-tinh-hoa-tiet-noi-cao-cap-ly-400ml-dang-tru-decor-2022-p191806928.html?spid=191806929,"ly, cốc và phụ kiện ly",Đồ dùng phòng ăn,1,CRYSTAN,GD Anh Nguyen,Ly cocktail,"       Whisky là loại rượu mạnh được sản xuất bằng cách lên men và chưng cất các loại ngũ cốc như: lúa mạch, lúa mì, lúa mạch đen, bắp, lúa kiều mạch… nên thường có màu vàng. Hầu hết Whisky trên t..."
