id,name,price,rating,review_count,brand,seller,url,kw,group,page,brand_detail,seller_detail,categories,short_description
107098875,"Móc gỗ treo tường trang trí, móc gỗ treo quần áo, phụ kiện  Anzzar, decor phòng ngủ",50000,4.5,31,anzzar,,https://tiki.vn/moc-go-treo-tuong-trang-tri-moc-go-treo-quan-ao-phu-kien-anzzar-decor-phong-ngu-p107098875.html?spid=107098877,phụ kiện phòng ngủ,Đồ dùng phòng ngủ,1,anzzar,ANZZAR HOME,Kẹp quần áo,THÔNG SỐ:- Kích thước:+ size 1: loại 2 móc+ size 2: loại 4 móc+ size 3: loại 5 móc+ size 4: loại 6 móc+ size 5: loại 7 móc+ size 6: loại 8 móc- Chất liệu: Gỗ thông nhập khẩu Newzealand loại 1....
254901213,Combo phòng ngủ mã 002,18800000,0.0,0,OEM,,https://tiki.vn/combo-phong-ngu-ma-002-p254901213.html?spid=278556877,phụ kiện phòng ngủ,Đồ dùng phòng ngủ,1,OEM,MỘC CHÂM,Root,     ...
3151799,Trọn bộ 7 phụ kiện phòng tắm cao cấp Maoy (JM00600),2060000,0.0,0,Maoy,,https://tiki.vn/tron-bo-7-phu-kien-phong-tam-cao-cap-maoy-jm00600-p3151799.html?spid=3151801,phụ kiện phòng ngủ,Đồ dùng phòng ngủ,1,Maoy,Crov Việt Nam,Nhà Cửa - Đời Sống,"Trọn bộ 7 phụ kiện phòng tắm cao cấp Maoy (JM00600)- Bộ sản phẩm mang lại nhiều tiện ích cho phòng tắm, rất cần thiết trong mỗi gia đình. Trọn bộ phụ kiện gồm có các sản phẩm: Móc Đơn Treo Phòng Tắm..."
20286263,Phụ Kiện chống ngáy ngủ HHQ P25,32000,3.0,1,OEM,,https://tiki.vn/phu-kien-chong-ngay-ngu-hhq-p25-p20286263.html?spid=51540583,phụ kiện phòng ngủ,Đồ dùng phòng ngủ,1,OEM,Muasam247,Thời Trang,"Sản phẩm giúp thanh lọc không khí, điều hòa hơi thở cho khỏi bị ngáy khi ngủ rất hiệu quả và an toàn.giúp bạn và người thân xung quanh có được những giấc ngủ yên tĩnh và sâu giấc.sử dụng dễ dàng tiệ..."
3007945,Trọn bộ 7 phụ kiện phòng tắm cao cấp Maoy (JM80000),1890000,0.0,0,Maoy,,https://tiki.vn/tron-bo-7-phu-kien-phong-tam-cao-cap-maoy-jm80000-p3007945.html?spid=3007947,phụ kiện phòng ngủ,Đồ dùng phòng ngủ,1,Maoy,Crov Việt Nam,Nhà Cửa - Đời Sống,"Trọn bộ 7 phụ kiện phòng tắm cao cấp Maoy (JM80000)- Bộ sản phẩm mang lại nhiều tiện ích cho phòng tắm, rất cần thiết trong mỗi gia đình. Trọn bộ phụ kiện gồm có các sản phẩm: Móc Đơn Treo Phòng Tắm..."
43342869,Phụ kiện chống ngáy ngủ kẹp mũi,44000,4.1,9,OEM,,https://tiki.vn/phu-kien-chong-ngay-ngu-kep-mui-p43342869.html?spid=49301947,phụ kiện phòng ngủ,Đồ dùng phòng ngủ,1,OEM,Muasam247,"Hỗ trợ giấc ngủ, giảm ngáy",Tại sao bạn nên chọn mua sản phẩm kẹp mũi chống ngáy ngủ Chất liệu được làm hoàn toàn từ silicon mềm dẻo không có mùi không gây độc hại với dây chuyền sản xuất tiến tiến cao cấp đảm bảo về chất lượng ...
3103001,Trọn bộ 7 phụ kiện phòng tắm cao cấp Maoy (JM79000),1580000,0.0,0,Maoy,,https://tiki.vn/tron-bo-7-phu-kien-phong-tam-cao-cap-maoy-jm79000-p3103001.html?spid=3103003,phụ kiện phòng ngủ,Đồ dùng phòng ngủ,1,Maoy,Crov Việt Nam,Nhà Cửa - Đời Sống,"Trọn bộ 7 phụ kiện phòng tắm cao cấp Maoy (JM79000)- Bộ sản phẩm mang lại nhiều tiện ích cho phòng tắm, rất cần thiết trong mỗi gia đình. Trọn bộ phụ kiện gồm có các sản phẩm: Móc Đơn Treo Phòng Tắm..."
70547210,Bộ phụ kiện phòng tắm 6 món phong cách Châu Âu Cao Cấp- Hàng Chính Hãng,1250000,4.7,3,MORADO,,https://tiki.vn/bo-phu-kien-phong-tam-6-mon-phong-cach-chau-au-cao-cap-hang-chinh-hang-p70547210.html?spid=70547211,phụ kiện phòng ngủ,Đồ dùng phòng ngủ,1,MORADO,Mora,Nhà Cửa - Đời Sống,"Bộ phụ kiện phòng tắm 7 món phong cách Châu Âu Cao Cấp- Hàng Chính HãngPhụ kiện phòng tắm Inox SUS 304 chất lượng cao, với một bộ sản phẩm 7 món đồng bộ thiết kế hiện đại, tinh tế và sang trọng cho ..."
52407918,COMBO NỘI THẤT PHÒNG NGỦ,11990000,0.0,0,NỘI THẤT GIÁ SỈ ,,https://tiki.vn/combo-noi-that-phong-ngu-p52407918.html?spid=52407919,phụ kiện phòng ngủ,Đồ dùng phòng ngủ,1,NỘI THẤT GIÁ SỈ ,Noi That Xuan Hanh Phuc,Nhà Cửa - Đời Sống,Trọn gói phòng ngủ bao gồm : 1 Giường D2020 X R1600 X C300/8001 Tủ đầu giường D500 X R400 X C500 1 Tủ áo D1200 X R500 X C22001 Bàn trang điểm D780 X R400 X C750 1 Kệ mỹ phẩm D200 X R150 X C600 1...
52574252,COMBO NỘI THẤT PHÒNG NGỦ,28990000,0.0,0,NỘI THẤT GIÁ SỈ ,,https://tiki.vn/combo-noi-that-phong-ngu-p52574252.html?spid=52574253,phụ kiện phòng ngủ,Đồ dùng phòng ngủ,1,NỘI THẤT GIÁ SỈ ,Noi That Xuan Hanh Phuc,Nội thất phòng ngủ khác,"1 Giường 1.6M + 2 hộc kéo ( D2072 X R1840 X C350/800) 1 Tủ áo N1.8m X C 2.2M ( Tủ áo D1500 X R500 X C2200 , 1 Quạt góc : D300 X R480 X C2200)1 Tủ đầu giường (D500 X R400 X C500)1 bàn trang điểm tre..."
