id,name,price,rating,review_count,brand,seller,url,kw,group,page,brand_detail,seller_detail,categories,short_description
163715184,"[Bộ 3 món] muỗng, đũa, nĩa lúa mạch HENRYSA - Chính Hãng",44340,5.0,1,HENRYSA Bạn của mọi nhà,,https://tiki.vn/bo-3-mon-muong-dua-nia-lua-mach-henrysa-chinh-hang-p163715184.html?spid=163715186,"đũa, muỗng, nĩa",Đồ dùng phòng ăn,1,HENRYSA Bạn của mọi nhà,Gia Dụng Henry,Nhà Cửa - Đời Sống,...
107278155,"Muỗng, Nĩa, Dao gỗ dừa | ongtre (Vietnam)",29000,4.0,1,ongtre,,https://tiki.vn/muong-nia-dao-go-dua-ongtre-vietnam-p107278155.html?spid=107278159,"đũa, muỗng, nĩa",Đồ dùng phòng ăn,1,ongtre,ONGTRE,Muỗng/thìa,"❁ Muỗng, Nĩa, Dao gỗ dừa | ongtre (Vietnam).Sản phẩm được nhập khẩu trực tiếp bởi ongtre (không qua bất kỳ 1 trung gian nào).Sản phẩm được dùng trong các bữa ăn của gia đình,________❁ THÔNG TIN ..."
253057479,"Bộ Muỗng,Đũa, Nĩa Cá Nhân Kèm Hộp Đựng Bằng Gỗ Mang Đi Tiện Dụng - Đồ Dùng Gia Dụng Thương Hiệu Trường Sơn",109000,0.0,0,Trường Sơn,,https://tiki.vn/bo-muong-dua-nia-ca-nhan-kem-hop-dung-bang-go-mang-di-tien-dung-do-dung-gia-dung-thuong-hieu-truong-son-p253057479.html?spid=253057480,"đũa, muỗng, nĩa",Đồ dùng phòng ăn,1,Trường Sơn,Đồ gia dụng nhà bếp bằng gỗ,Bộ muỗng nĩa,"THÔNG TIN SẢN PHẨMTên sản phẩm: Hộp Đũa, Muỗng, Nĩa Cá Nhân - Thương Hiệu Trường Sơn- Kích thước sân phẩm: + Đũa: 25 cm+ Muỗng: 18,5 x 3,5 cm+ Nĩa: 18,5 x 2,6 cm+ Hộp: 26 x 5.5 x 3.3 cm- Chất l..."
273604373,Combo muỗng (thìa) + nĩa gỗ dùng 1 lần - 25 combo/túi,24069,5.0,1,New Star Paper,,https://tiki.vn/combo-muong-thia-nia-go-dung-1-lan-25-combo-tui-p273604373.html?spid=273604375,"đũa, muỗng, nĩa",Đồ dùng phòng ăn,1,New Star Paper,newstarpaper,Nĩa,Sản phẩm đạt chuẩn xuất khẩu của CÔNG TY TNHH SX-TM NGÔI SAO Nĩa + muỗngChất liệu: gỗChiều dài: 16cmChiều ngang: 3.2cmĐộ dày: 0.18cmQUY CÁCH 25 combo/túiHẠN SỬ DỤNG: 36 thángBẢO QUẢN NƠI KHÔ RÁO️Hàn...
270821983,Bộ Đũa Muỗng Nĩa Inox Cán Gỗ Kèm Hộp Đựng Bằng Lúa Mạch Sang Trọng Thanh Lịch - Chính Hãng,65000,4.3,6,lilahome,,https://tiki.vn/bo-dua-muong-nia-inox-can-go-kem-hop-dung-bang-lua-mach-sang-trong-thanh-lich-chinh-hang-p270821983.html?spid=270821984,"đũa, muỗng, nĩa",Đồ dùng phòng ăn,1,lilahome,Lilahome,Đũa,"Bộ Đũa Muỗng Nĩa Inox Cán Gỗ Kèm Hộp Đựng Bằng Lúa Mạch Sang Trọng Thanh Lịch - Chính HãngBộ đũa muỗng nĩa inox, cán bằng gỗ là lựa chọn hoàn hảo cho bữa ăn của bạn. Với chất liệu inox cao cấp, bộ đũ..."
273978815,Bộ Muỗng Đũa Nĩa Lúa Mạch Tặng Kèm Hộp Đựng Xịn Xò - Hàng chính hãng ,39000,5.0,3,PaKaSa,,https://tiki.vn/bo-muong-dua-nia-lua-mach-tang-kem-hop-dung-xin-xo-hang-chinh-hang-p273978815.html?spid=273978816,"đũa, muỗng, nĩa",Đồ dùng phòng ăn,1,PaKaSa,Phụ Kiện Store 76,Bộ muỗng nĩa,"Gồm: 1 muỗng, 1 nĩa, 1 đôi đũaKích thước hộp : 23 x 19.5 x 5.5 cmKích thước đũa : 18.5 cm. muỗng : 16.5 cm. nĩa : 16.5cmChất liệu: vỏ nhựa, bộ muỗng đũa inoxĐiểm nổi bật bộ muỗng đũa du lịch- Bộ ..."
274801567,Bộ Đũa Muỗng Nĩa Kèm Hộp Lúa Mạch PaKaSa - Hàng Chính Hãng (giao màu ngẫu nhiên),39000,5.0,3,PaKaSa,,https://tiki.vn/bo-dua-muong-nia-kem-hop-lua-mach-pakasa-hang-chinh-hang-giao-mau-ngau-nhien-p274801567.html?spid=274801568,"đũa, muỗng, nĩa",Đồ dùng phòng ăn,1,PaKaSa,Phụ Kiện Store 76,"Đũa, muỗng, nĩa","Hộp Đựng Muỗng Đũa Lúa MạchGồm: 1 muỗng, 1 nĩa, 1 đôi đũaKích thước hộp : 23 x 19.5 x 5.5 cmKích thước đũa : 18.5 cm. muỗng : 16.5 cm. nĩa : 16.5cmChất liệu: vỏ nhựa, bộ muỗng đũa inoxĐiểm nổi bậ..."
277717849,"Bộ 12 Muỗng Đũa Inox Sáng Bóng – Không Gỉ, Chống Oxi Hóa – Thiết Kế Sang Trọng - HÀNG CHÍNH HÃNG MINIIN",89100,0.0,0,MINIIN,,https://tiki.vn/bo-12-muong-dua-inox-sang-bong-khong-gi-chong-oxi-hoa-thiet-ke-sang-trong-hang-chinh-hang-miniin-p277717849.html?spid=277717850,"đũa, muỗng, nĩa",Đồ dùng phòng ăn,1,MINIIN,Smarthome29,Bộ muỗng nĩa,"Bộ 12 Muỗng Đũa Inox Sáng Bóng – Không Gỉ, Chống Oxi Hóa – Thiết Kế Sang TrọngThông tin sản phẩm:Tên sản phẩm: Bộ hộp 12 muỗng đũa inox cao cấpSố lượng: 6 muỗng + 6 đôi đũa (12 món)Chất liệu: Inox..."
274827848,Bộ Đũa Muỗng Nĩa Lúa Mạch Cao Cấp Có Hộp Đựng (giao màu ngẫu nhiên) - Hàng chính hãng ,29000,0.0,0,PaKaSa,,https://tiki.vn/bo-dua-muong-nia-lua-mach-cao-cap-co-hop-dung-giao-mau-ngau-nhien-hang-chinh-hang-p274827848.html?spid=274827849,"đũa, muỗng, nĩa",Đồ dùng phòng ăn,1,PaKaSa,Phụ Kiện Store 76,"Đũa, muỗng, nĩa","Bộ Đũa Muỗng Nĩa Lúa Mạch Cao CấpVới dòng chất liệu độc đáo được kết thành từ bột lúa mạch, bên shop mong muốn gửi đến bạn một sản phẩm an toàn cho sức khỏe của bé và thân thiện với môi trường.Bộ đũ..."
191267185,Thìa cafe - Nĩa(Rĩa) size Bé | THÌA NĨA INOX CÁN SỨ,20700,0.0,0,CRYSTAN,,https://tiki.vn/thia-cafe-nia-ria-size-be-thia-nia-inox-can-su-p191267185.html?spid=191267194,"đũa, muỗng, nĩa",Đồ dùng phòng ăn,1,CRYSTAN,GD Anh Nguyen,"Đũa, muỗng, nĩa","   Cán được làm bằng sứ cao cấp    Thân được làm từ inox 304    Kiểu dáng hiện đại, sang trọng còn giúp tô điểm thêm cho bàn ăn và không gian bếp.  ..."
