id,name,price,rating,review_count,brand,seller,url,kw,group,page,brand_detail,seller_detail,categories,short_description
99929265,Bộ đồ thờ gia tiên men rạn_MS002,3250000,5.0,1,Bát Tràng,,https://tiki.vn/bo-do-tho-gia-tien-men-ran_ms002-p99929265.html?spid=107653615,bộ đồ thờ,Đồ thờ cúng,1,Bát Tràng,Bát Tràng Ceramic,Root,       Thông tin sản phẩm:   Bát hương phi 16cm   Đế bát hương phi 16cm   Mâm bồng   Đèn dầu   Lọ huệ   Chóe   ...
113104464,Bộ đồ thờ cúng đá cẩm thạch trắng,1090000,5.0,1,Thủy Hòa,,https://tiki.vn/bo-do-tho-cung-da-cam-thach-trang-p113104464.html?spid=113104465,bộ đồ thờ,Đồ thờ cúng,1,Thủy Hòa,Thủy Hòa Official Store,Bộ đồ thờ,"Chất liệu: Đá cẩm thạch trắngBao gồm: - 1 bình hoa ( Cao 20cm; Đường kính 9,5cm )- 1 dĩa đựng trái cây ( Cao 9cm; Đường kính 20cm )- 1 lư hương ( Cao 10cm; Đường kính 10cm )- 1 bộ 5 ly nước thờ cúng (..."
142090709,Bộ đồ thờ cúng đá cẩm thạch trắng,1040000,5.0,2,Thủy Hòa,,https://tiki.vn/bo-do-tho-cung-da-cam-thach-trang-p142090709.html?spid=142090710,bộ đồ thờ,Đồ thờ cúng,1,Thủy Hòa,Thủy Hòa Official Store,Bộ đồ thờ,"Chất liệu: Đá cẩm thạch trắngBao gồm: - 1 bình hoa ( Cao 20cm; Đường kính 9,5cm )- 1 dĩa đựng trái cây ( Cao 9cm; Đường kính 20cm )- 1 lư hương ( Cao 20cm; Đường kính 13cm )Khối lượng: 9,3 kg..."
89421217,Bộ đồ thờ men rạn cổ gốm sứ Bát Tràng,850000,5.0,2,Bát Tràng,,https://tiki.vn/bo-do-tho-men-ran-co-gom-su-bat-trang-p89421217.html?spid=89421224,bộ đồ thờ,Đồ thờ cúng,1,Bát Tràng,Gốm sứ Gia Hưng Bát tràng,Root,       Bộ sản phẩm bao gồm:   Tên sản phẩm Số lượng   Bát hương phi 14 1   Đế bát hương (bằng gỗ hương) 1   Lọ cắm hoa thọ đào cao 26cm 1   Ống đựng hương cao 18cm 1   Chóe thờ cao 15cm 1  ...
178217023,Bộ đồ thờ cúng đá cẩm thạch trắng,1440000,5.0,1,Thủy Hòa,,https://tiki.vn/bo-do-tho-cung-da-cam-thach-trang-p178217023.html?spid=178217024,bộ đồ thờ,Đồ thờ cúng,1,Thủy Hòa,Thủy Hòa Official Store,Bộ đồ thờ,"Chất liệu: Đá cẩm thạch trắngBao gồm: - 1 bình hoa ( Cao 20cm; Đường kính 9,5cm )- 1 dĩa đựng trái cây ( Cao 9cm; Đường kính 20cm )- 1 lư hương ( Cao 12cm; Đường kính 12cm )- Cặp chân đèn ( Cao 25cm )..."
142109176,Bộ đồ thờ cúng đá cẩm thạch trắng,860000,5.0,1,Thủy Hòa,,https://tiki.vn/bo-do-tho-cung-da-cam-thach-trang-p142109176.html?spid=142109177,bộ đồ thờ,Đồ thờ cúng,1,Thủy Hòa,Thủy Hòa Official Store,Bộ đồ thờ,"Chất liệu: Đá cẩm thạch trắngBao gồm: - 1 bình hoa ( Cao 20cm; Đường kính 9,5cm )- 1 dĩa đựng trái cây ( Cao 9cm; Đường kính 20cm )- 1 lư hương ( Cao 12cm; Đường kính 12cm )Khối lượng: 6 kg..."
263250891,bộ đồ thờ gỗ mít,17000000,0.0,0,OEM,,https://tiki.vn/bo-do-tho-go-mit-p263250891.html?spid=278543211,bộ đồ thờ,Đồ thờ cúng,1,OEM,MỘC CHÂM,Root,"       Bàn thờ triện đặc gỗ gụ đủ kích thước   - Hàng có sẵn, được kiểm tra mộc trước khi hoàn thiện, còn nhiều mẫu khác, xin mời khách đến tham quan   Giá bán ( trọn gói hoàn thiện & vận ch..."
263248860,bộ đồ thờ gỗ mít,17000000,0.0,0,OEM,,https://tiki.vn/bo-do-tho-go-mit-p263248860.html?spid=278542594,bộ đồ thờ,Đồ thờ cúng,1,OEM,MỘC CHÂM,Root,"       **** NỘI THẤT BÌNH LONG rất hân hạnh được phục vụ quý khách!***   Bàn thờ triện đặc gỗ gụ đủ kích thước   - Hàng có sẵn, được kiểm tra mộc trước khi hoàn thiện, còn nhiều mẫu khác, xin mờ..."
25491407,Bộ bát đĩa đồ thờ đầy đủ men lam 17 chi tiết,750000,4.3,3,Bát Tràng,,https://tiki.vn/bo-bat-dia-do-tho-day-du-men-lam-17-chi-tiet-p25491407.html?spid=71919201,bộ đồ thờ,Đồ thờ cúng,1,Bát Tràng,Cửa hàng gốm sứ Bát Tràng,Nhà Cửa - Đời Sống,"BỘ BÁT ĐĨA THỜ CÚNG ĐẦY ĐỦ GỒM CÁC CHI TIẾT SAU:6 bát cơm nhỏ  rộng 10 cm, cao 4 cm  kèm 1 bát nước chấm nhỏ hơn chút xíu.6 đĩa tròn có kính thước to nhỏ khác nhau và 1 đĩa bầu dục.2 bát tô nhỏ đự..."
91276092,Bộ đồ thờ men rạn đắp nổi hoa sen - ban thờ 1.27m,6250000,0.0,0,Bát Tràng,,https://tiki.vn/product-p91276092.html?spid=93249425,bộ đồ thờ,Đồ thờ cúng,1,Bát Tràng,Gốm sứ Gia Hưng Bát tràng,Root,"       Thông tin sản phẩm   Sản phẩm thích hợp cho bàn thờ có kích thước lớn 1,27m   Chất liệu: men rạn   Sản phẩm bao gồm   1 bát hương sen 18cm   1 chân bát hương sen 18cm   2 lọ hoa sen d..."
