id,name,price,rating,review_count,brand,seller,url,kw,group,page,brand_detail,seller_detail,categories,short_description
276451593,Hộp Nhang Trầm Hương -Giao Màu Ngẫu Nhiên,93000,5.0,3,PaKaSa,,https://tiki.vn/hop-nhang-tram-huong-giao-mau-ngau-nhien-p276451593.html?spid=275695204,"hương, nhang",Đồ thờ cúng,1,PaKaSa,Phụ Kiện Store 76,Nhà Cửa - Đời Sống,"Sản xuất từ nguồn trầm hương được khai thác tại vùng núi Sử dụng nguyên liệu hoàn toàn tự nhiên, không hương liệu, phẩm màuMùi hương trầm tự nhiên dịu, ngọt, an toàn cho sức khỏe khi sử dụngBảo quản n..."
45404047,"[ĐẶC BIỆT] Nhang Xanh Trầm Hương Cao Cấp 15 năm -100g - mùi thơm tự nhiên, dịu ngọt của trầm - Nhang Thiền",125000,4.6,77,Nhang Xanh,,https://tiki.vn/dac-biet-nhang-xanh-tram-huong-cao-cap-15-nam-100g-mui-thom-tu-nhien-diu-ngot-cua-tram-nhang-thien-p45404047.html?spid=45404051,"hương, nhang",Đồ thờ cúng,1,Nhang Xanh,Nhang Xanh,Nhà Cửa - Đời Sống,"NHANG THƠM TRẦM HƯƠNG 15 NĂMDòng Nhang Thơm Cao Cấp mới này được làm từ gỗ trầm hương, là loại gỗ quý hiếm, hội tụ linh khí trời đất, mang những công dụng tuyệt vời cho sức khỏe thông qua hương thơm ..."
272479890,"Combo 5 hộp nhang Sen 5 mùi hương 38cm- 90 cây/hộp - Nhang sạch nhang xanh - nhang chung cư, ít khói, dịu nhẹ",470000,5.0,1,Liên Tâm,,https://tiki.vn/combo-5-hop-nhang-sen-5-mui-huong-38cm-90-cay-hop-nhang-sach-nhang-xanh-nhang-chung-cu-it-khoi-diu-nhe-p272479890.html?spid=272479895,"hương, nhang",Đồ thờ cúng,1,Liên Tâm,Nhang Sen Liên Tâm,"Hương, nhang",NHANG SEN THUẦN KHIẾT LIÊN TÂM - một giải pháp tâm linh an lành cho những gia đình hiện đại  Combo 5 hộp nhang Sen 5 mùi hương - Độ dài 38cm - 90 cây/hộp - nhang sạch hoàn toàn thiên nhiên Thành p...
113588893,"Combo 3 hộp nhang sen Liên Tâm 3 mùi hương - 38cm - 90 cây/hộp - Nhang sạch ít khói, hương thơm dịu nhẹ",234000,5.0,3,Liên Tâm,,https://tiki.vn/combo-3-hop-nhang-sen-lien-tam-3-mui-huong-38cm-90-cay-hop-nhang-sach-it-khoi-thom-diu-p113588893.html?spid=113588894,"hương, nhang",Đồ thờ cúng,1,Liên Tâm,Nhang Sen Liên Tâm,"Hương, nhang",NHANG SEN THUẦN KHIẾT LIÊN TÂM  Một giải pháp tâm linh cho gia đình hiện đạiThông tin chi tiết về sản phẩmCombo 3 hộp 3 mùi hương - 38cm - 90 cây - Nhang sạch hoàn toàn thiên nhiên️️Thành phần: ...
113582475,"Combo 3 hộp nhang sen Liên Tâm 3 mùi hương - 20.5cm - 160 cây/hộp - Nhang sạch ít khói, hương thơm dịu nhẹ",235000,4.5,2,Liên Tâm,,https://tiki.vn/combo-3-hop-nhang-sen-lien-tam-3-mui-huong-20-5cm-160-cay-hop-nhang-sach-it-khoi-thom-diu-p113582475.html?spid=113582476,"hương, nhang",Đồ thờ cúng,1,Liên Tâm,Nhang Sen Liên Tâm,"Hương, nhang",NHANG SEN THUẦN KHIẾT LIÊN TÂM  Một giải pháp tâm linh cho gia đình hiện đạiThông tin chi tiết về sản phẩmCombo 3 hộp 3 mùi hương - 20.5cm - 160 cây - Nhang sạch hoàn toàn thiên nhiên️Thành phần:...
113586679,"Combo 3 hộp nhang sen Liên Tâm 3 mùi hương - 29cm - 200 cây/hộp - Nhang sạch ít khói, hương thơm dịu nhẹ",345000,5.0,2,Liên Tâm,,https://tiki.vn/combo-3-hop-nhang-sen-lien-tam-3-mui-huong-29cm-200-cay-hop-nhang-sach-it-khoi-thom-diu-p113586679.html?spid=113586680,"hương, nhang",Đồ thờ cúng,1,Liên Tâm,Nhang Sen Liên Tâm,"Hương, nhang",NHANG SEN THUẦN KHIẾT LIÊN TÂM  Một giải pháp tâm linh cho gia đình hiện đại  Thông tin chi tiết về sản phẩmCombo 3 hộp 3 mùi hương - 29cm - 200 cây - Nhang sạch hoàn toàn thiên nhiên️️Thành ph...
192850377,"Nhang Nụ Trầm Hương, Loại Lan Tỏa, Nhang Sạch Thuần Thiên Nhiên",100000,5.0,1,Trầm Hương Ông Đồ,,https://tiki.vn/nu-tram-huong-loai-lan-toa-hop-38-nu-nhang-sach-thuan-thien-nhien-p192850377.html?spid=192850379,"hương, nhang",Đồ thờ cúng,1,Trầm Hương Ông Đồ,Trầm Hương Ông Đồ,"Hương, nhang","Xin Lưu Ý: Trầm Hương Ông Đồ là dòng nhang sạch, tỏa hương nhẹ nhàng khác biệt với nhang tẩm hóa chất thường có mùi thơm ngào ngạt. Khi chưa thắp, nếu ngửi trực tiếp, nhang sẽ có mùi gỗ, dễ khiến bạn ..."
192850374,"Nhang Nụ Trầm Hương, Loại Lắng Đọng, Nhang Sạch Thuần Thiên Nhiên",160000,5.0,2,Trầm Hương Ông Đồ,,https://tiki.vn/nu-tram-huong-loai-lang-dong-hop-38-nu-nhang-sach-thuan-thien-nhien-p192850374.html?spid=192850375,"hương, nhang",Đồ thờ cúng,1,Trầm Hương Ông Đồ,Trầm Hương Ông Đồ,"Hương, nhang","Xin Lưu Ý: Trầm Hương Ông Đồ là dòng nhang sạch, tỏa hương nhẹ nhàng khác biệt với nhang tẩm hóa chất thường có mùi thơm ngào ngạt. Khi chưa thắp, nếu ngửi trực tiếp, nhang sẽ có mùi gỗ, dễ khiến bạn ..."
272479448,"Nhang Trầm Hương Liên Tâm - Nhang sạch nhang xanh - nhang chung cư, ít khói, dịu nhẹ - Nhiều độ dài",145000,5.0,1,Liên Tâm,,https://tiki.vn/nhang-tram-huong-lien-tam-nhang-sach-nhang-xanh-nhang-chung-cu-it-khoi-diu-nhe-nhieu-do-dai-p272479448.html?spid=272479450,"hương, nhang",Đồ thờ cúng,1,Liên Tâm,Nhang Sen Liên Tâm,Nhà Cửa - Đời Sống,NHANG TRẦM HƯƠNG THUẦN KHIẾT LIÊN TÂM  Một giải pháp tâm linh cho gia đình hiện đại Thông tin chi tiết về sản phẩm Nhang Trầm Hương Thuần Khiết Liên Tâm - nhang sạch hoàn toàn thiên nhiên ️Thàn...
192850376,"Nhang Trầm Hương 30cm, Loại Dịu Nhẹ, Nhang Sạch Thuần Thiên Nhiên",50000,5.0,1,Trầm Hương Ông Đồ,,https://tiki.vn/nhang-tram-huong-30-cm-loai-diu-nhe-hop-80-cay-nhang-sach-thuan-thien-nhien-p192850376.html?spid=192850378,"hương, nhang",Đồ thờ cúng,1,Trầm Hương Ông Đồ,Trầm Hương Ông Đồ,"Hương, nhang","Xin Lưu Ý: Dịu nhẹ là dòng nhang phổ thông có Chi Phí Thấp, hướng khách hàng quen dần với dòng nhang sạch nên tỉ lệ trầm trong nhang vừa đủ để toả hương thoang thoảng chứ không thơm nồng nàn như những..."
