id,name,price,rating,review_count,brand,seller,url,kw,group,page,brand_detail,seller_detail,categories,short_description
101361035,Bộ 10 Bát thờ Bát Tràng rồng phượng đường kính 11cm,195000,4.0,1,Bát Tràng,,https://tiki.vn/bo-10-bat-tho-bat-trang-rong-phuong-duong-kinh-11cm-p101361035.html?spid=113116353,kỷ chén thờ,Đồ thờ cúng,1,Bát Tràng,Bát Tràng Ceramic,Vật dụng trang trí,"- Bát thờ Bát Tràng- Bộ sản phẩm gồm 10 cái bát thờ- Bát thờ không chỉ mang ý nghĩa cho sự đầy đủ, trang nghiêm mà còn được sử dụng cúng cơm cho các bậc bề trên vào ngày giỗ, ngày lễ, tết…..."
25491407,Bộ bát đĩa đồ thờ đầy đủ men lam 17 chi tiết,750000,4.3,3,Bát Tràng,,https://tiki.vn/bo-bat-dia-do-tho-day-du-men-lam-17-chi-tiet-p25491407.html?spid=71919201,kỷ chén thờ,Đồ thờ cúng,1,Bát Tràng,Cửa hàng gốm sứ Bát Tràng,Nhà Cửa - Đời Sống,"BỘ BÁT ĐĨA THỜ CÚNG ĐẦY ĐỦ GỒM CÁC CHI TIẾT SAU:6 bát cơm nhỏ  rộng 10 cm, cao 4 cm  kèm 1 bát nước chấm nhỏ hơn chút xíu.6 đĩa tròn có kính thước to nhỏ khác nhau và 1 đĩa bầu dục.2 bát tô nhỏ đự..."
198857395,Bộ ấm chén thờ men rạn gốm Bát Tràng,350000,0.0,0,Gốm Sứ Bát Tràng,,https://tiki.vn/bo-am-chen-tho-men-ran-gom-bat-trang-p198857395.html?spid=198857397,kỷ chén thờ,Đồ thờ cúng,1,Gốm Sứ Bát Tràng,Gốm sứ Gia Hưng Bát tràng,Bộ đồ thờ,Bộ ấm chén thờ là một trong những vật phẩm thờ cúng quan trọng và cần thiết khi muốn thiết lập một bộ đồ thờ gia tiên trong nhà. Bộ ấm trà thờ cúng được sử dụng để pha trà và dâng lên thần linh và gia...
191388466,Set Ban Thờ Men Rạn Đắp Nổi Bát Tràng 127cm,6380000,0.0,0,Gốm Sứ Bát Tràng,,https://tiki.vn/set-ban-tho-men-ran-dap-noi-bat-trang-127cm-p191388466.html?spid=195776417,kỷ chén thờ,Đồ thờ cúng,1,Gốm Sứ Bát Tràng,Cửa hàng gốm sứ Bát Tràng,Bộ đồ thờ,Set Ban Thờ Men Rạn Đắp Nổi được làm thủ công bởi bàn tay nghệ sĩ của những nghệ nhân làng gốm Bát Tràng Kích thước : 127cmBao gồm :+ Bát Hương 18cm kèm đế :1 chiếc+ Bát Hương 16cm kèm đế :2 chiếc+ C...
191389544,Set Ban Thờ Men Rạn Đắp Nổi Bát Tràng 89cm,3950000,0.0,0,Gốm Sứ Bát Tràng,,https://tiki.vn/set-ban-tho-men-ran-dap-noi-bat-trang-89cm-p191389544.html?spid=195776367,kỷ chén thờ,Đồ thờ cúng,1,Gốm Sứ Bát Tràng,Cửa hàng gốm sứ Bát Tràng,Bộ đồ thờ,Set Ban Thờ Men Rạn Đắp Nổi được làm thủ công bởi bàn tay nghệ sĩ của những nghệ nhân làng gốm Bát Tràng Kích thước : 89cmBao gồm :+Bát Hương 16cm kèm đế :1 chiếc+Chóe 16cm : 3 chiếc+Mâm Bổng 25cm : ...
101360654,Bộ ấm chén thờ men rạn đắp nổi Bát Tràng,345000,0.0,0,Bát Tràng,,https://tiki.vn/bo-am-chen-tho-men-ran-dap-noi-bat-trang-p101360654.html?spid=169691104,kỷ chén thờ,Đồ thờ cúng,1,Bát Tràng,Cửa hàng gốm sứ Bát Tràng,Bộ đồ thờ,"       - Sản phẩm bao gồm:   + 1 ấm, 3 chén, 1 đĩa kê lớn (quý khách vui lòng chọn trong bước đặt hàng)   + 1 ấm, 5 chén, 1 đĩa kê lớn (quý khách vui lòng chọn trong bước đặt hàng)   - Chất liệ..."
24531605,Kỷ Ngai 3 Chén Thờ Men Xanh Vẽ Sen,240000,0.0,0,Bát Tràng,,https://tiki.vn/ky-ngai-3-chen-tho-men-xanh-ve-sen-p24531605.html?spid=59531032,kỷ chén thờ,Đồ thờ cúng,1,Bát Tràng,Cửa hàng gốm sứ Bát Tràng,Kỷ chén thờ,"Kỷ chén thờ là gì?  Vị trí đặt lỷ chén thờ?Kỷ chén thờ là gì? Ý nghĩa của kỷ 3 chén?Muối, gạo, nước là 3 lễ cúng không thể thiếu trên ban thờ. Ngoài nước đựng trong chóe, bình thường khi dâng lễ gia..."
101360638,Bộ 6 Bát thờ Bát Tràng men rạn đắp nổi,350000,0.0,0,Bát Tràng,,https://tiki.vn/bo-6-bat-tho-bat-trang-men-ran-dap-noi-p101360638.html?spid=141496617,kỷ chén thờ,Đồ thờ cúng,1,Bát Tràng,Cửa hàng gốm sứ Bát Tràng,Bộ đồ thờ,"Bát thờ Bát Tràng- Kích thước: Đường kính bát 10cm- Sản phẩm bao gồm: 6 bát thờ- Chất liệu: Gốm men rạn Bát Tràng, họa tiết đắp nổi- Bát thờ Bát Tràng được nung ở nhiệt độ 1200 đến 1300 độ C nên c..."
89224855,Combo 10 Bát thờ cúng vẽ rồng & hoa chanh,300000,0.0,0,Bát Tràng,,https://tiki.vn/product-p89224855.html?spid=106766917,kỷ chén thờ,Đồ thờ cúng,1,Bát Tràng,Bát Tràng Ceramic,Root,"       Combo 10 Bát thờ cúng vẽ rồng , vẽ hoa chanh   Kích thước   ..."
101042910,Combo 10 Bát thờ cúng vẽ rồng & hoa chanh,175000,1.0,1,Bát Tràng,,https://tiki.vn/combo-10-bat-tho-cung-ve-rong-hoa-chanh-p101042910.html?spid=124944255,kỷ chén thờ,Đồ thờ cúng,1,Bát Tràng,Cửa hàng gốm sứ Bát Tràng,Nhà Cửa - Đời Sống,"       Combo 10 Bát thờ cúng vẽ rồng , vẽ hoa chanh   Kích thước   ..."
85044818,Combo bộ đồ thờ ban thần tài gốm sứ Bát Tràng,899000,0.0,0,Bát Tràng,,https://tiki.vn/combo-bo-do-tho-ban-than-tai-gom-su-bat-trang-p85044818.html?spid=97506780,kỷ chén thờ,Đồ thờ cúng,2,Bát Tràng,Dũng Hà 2268,Root,       Combo bộ đồ thờ ban thần tài loại 1   Gốm sứ Bát Tràng cao cấp   Sản phẩm bao gồm:   1-Bát hương   2-Mâm bồng fi 25   3-Ống hương fi20   4-Lọ cắm hoa fi20   5-Choé 3 hũ (đựng Gạo- Mu...
25733308,Bộ bát đĩa bàn thờ 17 chi tiết ( Vàng Kim),999000,0.0,0,Bát Tràng,,https://tiki.vn/bo-bat-dia-ban-tho-17-chi-tiet-vang-kim-p25733308.html?spid=25733309,kỷ chén thờ,Đồ thờ cúng,2,Bát Tràng,Dũng Hà 2268,Nhà Cửa - Đời Sống,"BỘ BÁT ĐĨA THỜ CÚNG ĐẦY ĐỦ GỒM CÁC CHI TIẾT SAU:6 bát cơm nhỏ  rộng 10 cm, cao 4 cm  kèm 1 bát nước chấm nhỏ hơn chút xíu. men mầu VàngHọa tiết của bộ này có viền kim loại ở himhf tượng Rồng Phượn..."
41882657,02 đèn thờ sứ Bát Tràng,280000,0.0,0,Bát Tràng,,https://tiki.vn/02-den-tho-su-bat-trang-p41882657.html?spid=63932036,kỷ chén thờ,Đồ thờ cúng,2,Bát Tràng,Cửa hàng gốm sứ Bát Tràng,Vật dụng trang trí,"ản phẩm gồm 02 chiếc Đèn thờ dầu men lam vẽ phong cảnh chính hãng Bát TràngChất liệu: gốm sứ cao cấp Bát TràngHọa tiết: Vẽ thủ công bằng tay, nghệ thuật tinh xảoThiết kế: tinh tế, cổ truyềnLoại me..."
